"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","9133","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi","R. Affonso","2011","01","10","R. Affonso; A. Zanin","46","2010","04","16","Brasil","Santa Catarina","Florianópolis","Trilha Jacatirão, lado direito da subida, Unidade de Conservação Ambiental Desterro-UCAD, Ilha de Santa Catarina.","-48.517778","-27.525783","48º31'4''W","27º31'547''S","17","17","Habitat: beira da mata Habito: herbácea","CRI002148","CRI002148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","9145","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi","R. Affonso","2011","03","16","R. Affonso; A. Zanin","188","2011","03","16","Brasil","Santa Catarina","Itajaí","Estrada para Cunhas.","-48.670833","-26.919444","48º40'15''W","26º55'10''S","7","7","Habitat: beira da Estrada Habito: herbácea","CRI002149","CRI002149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","9144","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi","R. Affonso","2011","03","16","R. Affonso; A. Zanin","198","2011","03","16","Brasil","Santa Catarina","Araquari","Próximo ao colégio Agrícola.","-48.733333","-26.39","48º44'0''W","26º23'24''S","11","11","Habitat: borda da mata Habito: herbácea","CRI002147","CRI002147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1321534","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi",NA,NA,NA,NA,"A. Fendler","889","1877",NA,NA,"Trinidad and Tobago",NA,NA,"Trinidad",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01321534","NY01321534_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1321536","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi",NA,NA,NA,NA,"F. W. Hunnewell","19907","1953","02","01","Trinidad and Tobago",NA,NA,"Tobago: woods, reservoir.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01321536","NY01321536_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 00:23:00-03","NY","NYBG","1321537","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri",NA,NA,NA,NA,NA,"W. E. Broadway","4016","1910","07","15","Trinidad and Tobago",NA,NA,"Botanic Station. Tobago.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536161' target='other'> <mi>dwc_moreinfo</mi></a>","NY01321537","NY01321537_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 00:23:00-03","NY","NYBG","1321535","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri",NA,NA,NA,NA,NA,"W. E. Broadway","4016","1910","07","15","Trinidad and Tobago",NA,NA,"Botanic Station. Tobago.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01321535","NY01321535_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1747885","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi","A. C. Araújo",NA,NA,NA,"D. C. Zappi","1822","2010","03","03","Brazil","Minas Gerais","Santana do Pirapama","Serra do Cipó, Capela de São José, Cachoeira do Quartel.","-43.7783","-18.975",NA,NA,"660",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747885","NY01747885_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1747910","PreservedSpecimen","Plantae","Cyperaceae","Scleria","gaertneri","Scleria gaertneri","Raddi","A. C. Araújo",NA,NA,NA,"A. C. Araújo","1869","2010","03","12","Brazil","Minas Gerais","Santana do Pirapama","Serra do Cipó, Coberto Pequeno, Cabeceira do Rio Coberto, antiga estrada para a mina de manganês.","-43.8053","-18.9119",NA,NA,"743",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2012549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747910","NY01747910_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","612520","PreservedSpecimen","Plantae","Cyperaceae","Scleria","melaleuca","Scleria melaleuca","Rchb. ex Schltdl. & Cham.",NA,NA,NA,NA,"K. Mizoguchi","1563","1981","03","08","Brazil","São Paulo",NA,"Cidade Caracatatuba. (coastal town)","-45.36512","-23.624917",NA,NA,NA,NA,"Herb. Oomoto Kameyama Botanical Garden No. 23099 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612520","NY00612520_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
