"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:58-03","UNESC","CRI","3706","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Marcos Sobral","Vanilde Citadini-Zanette","2020","1993","01","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009087","CRI009087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","1555","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","S. M. Silva","R. R. B. Negrelle",NA,"1992","06","26","Brasil","Santa Catarina","Itapoá",NA,"-48.6175","-26.071111","48º37'3''W","26º4'16''S",NA,NA,"CRI009081","CRI009081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:58-03","UNESC","CRI","3020","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,"Raquel Rejane Bonatto Negrelle; C. Londero","781","1993","03","02","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI009086","CRI009086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:58-03","UNESC","CRI","3019","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,"Raquel Rejane Bonatto Negrelle","198","1992","05","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI009085","CRI009085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:03-03","UNESC","CRI","4184","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,NA,NA,"1999","11","29","Brasil",NA,"-",NA,NA,NA,NA,NA,NA,NA,"CRI009075","CRI009075","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:58-03","UNESC","CRI","3365","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1961","1993","05","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009079","CRI009079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:58-03","UNESC","CRI","3021","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Raquel Rejane Bonatto Negrelle","Raquel Rejane Bonatto Negrelle; C. Fava","611","1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.616389","-26.1175","48º36'59''W","26º7'3''S","5","5","CRI009083","CRI009083","1994","01","01","Habitat: mata Atlântica (formação terras baixas) Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:58-03","UNESC","CRI","13081","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Korte, A","Korte, A.; Kniess, A.","3375","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí. Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","CRI011677",NA,"2010","05","21","Florística IFFSC 577 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; Fruto roxo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:58-03","UNESC","CRI","3171","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1800","1993","07","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","CRI009088","CRI009088","1994","01","01","Habitat: interior de mata atlântica secundária de encosta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:03-03","UNESC","CRI","1762","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Marcos Sobral","V. C. Zanette; C. M. Martinello e A. Alii Mohamad","1739","1993","01","22","Brasil","Santa Catarina","Orleans",NA,"-49.288056","-28.358611","49º17'17''W","28º21'31''S","110","110","CRI009082","CRI009082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
