"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","1802409","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","M. G. Vieira","618","1979","10","25","South America","Brazil","Rondônia","a 4 Km próximo de Vilhena","-60.166667","-12.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2029026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802409","NY01802409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03123360","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","N. C. Bigio","1277","2017","12","07","South America","Brazil","Rondônia","Na beira da BR-364.","-60.3861","-12.5256","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3317178' target='other'> <mi>dwc_moreinfo</mi></a>","NY03123360","NY03123360_01","N. C. Bigio","Vilhena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:55:04-03","NBC","NL-BOTANY","U.1372481","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","Dubs B",NA,"1996","01","02","Southern America","Brazil","Mato Grosso",NA,"-57.983333","-13.966667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1372481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1372481","NL-U1372481","Anderson WR",NA,"Magnoliopsidae","-57.983333","-13.966667","U 0112654",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:45:35-03","UFMS","CGMS","58289","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","G. Hatschbach; A. Pott; V.J. Pott; E. Barbosa","63917","1995","10","26",NA,"Brasil","Mato Grosso","Rodovia MT-175, Reserva do Cabaçal a Chapada dos Parecis, entre Km 35 e Fazenda Santiago.","-58.4664001464844","-15.0797004699707",NA,NA,"CGMS001020",NA,"W.R. Anderson","Reserva do Cabaçal",NA,NA,NA,NA,"PARATYPUS","28332","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:39-03","MBM","MBM","185763","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","Hatschbach, G.; Pott, A.; Pott, V.; Barboza, E.; Pott, A.; Pott, V.; Barboza, E.","63917","1995","10","26","Southern America","Brazil","Mato Grosso","Rodovia MT 175, Chapada dos Parecis, entre km 35 e Fazenda Santiago","-58.4664001464844","-15.0797004699707",NA,"Subarbusto, 30 cm, flor amarela. Solo arenoso. Dos gerais; Subarbusto, 30cm, flor amarela.; Gerais, solo arenono.","MBM185763","MBM185763",NA,"Reserva do Cabaçal",NA,NA,NA,NA,"ISOTYPE","28332","auto",NA,NA,NA,NA,NA,NA
"6","2015-03-11 22:26:00-03","MO","MOBOT","2850451","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R. Anderson","M.G. Vieira|James L. Zarucchi|R.H. Petersen|José F. Ramos|C.D.A. da Mota","Vieira 618","1979","10","25","South America","Brazil","Amazonas","T.F. de Rndónia a 4 km Próximo de Vilhena.","-60.1666667","-12.75",NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"7","2015-09-26 06:12:00-03","MO","MOBOT","1151072","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R. Anderson","Ademar Soto|S.N. Panfil|Moore|Soliz","Soto 470","1997","1","5","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado colectas generales de Huanchaca I","-60.81277","-13.89472",NA,NA,NA,NA,"W.R. Anderson (MICH)","Velasco",NA,NA,NA,NA,NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","940595","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R. Anderson","Bonifacio Mostacedo C.|Luzmila Arroyo P.|S. Cabrera|H. Gonzáles|Juan Surubí","Mostacedo C. 1720","1994","5","12","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado. 1,5 km S de la pista Noel Kempff M. Sabana arbolada con Duguetia furfurea, Aristida riparia, Jacaranda sp. Suelo rojizo, arenoso.","-60.81277","-13.89861",NA,NA,NA,NA,"W.R. Anderson (MICH)","Velasco",NA,NA,NA,NA,"Holotype",NA,NA,NA,"290.00000000",NA,NA,NA,NA
"9","2021-03-15 18:28:18-03","USP","SPF","159700","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","Hatschbach, G; Pott, A; Pott, V; Barbosa, E","63917","1995","10","26",NA,"Brasil","Mato Grosso","Rod. MT 175 - Reserva do Cabaçal a Chapada dos Parecis, entre km 35 e Fazenda Santiago.","-58.4664001464844","-15.0797004699707",NA,"Subarbusto, 30 cm, flor amarela.; Dos gerais; solo arenoso.","SPF00159700",NA,"Anderson, WR","Reserva do Cabaçal",NA,NA,NA,NA,"isotype","28332","auto",NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:31:49-03","UEFS","HUEFS","71508","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Byrsonima","lanulosa","Byrsonima lanulosa","W.R.Anderson","Hatschbach, G.","63917","1995","10","26",NA,"Brasil","Mato Grosso","Rod.MT-175,Reserva do Cabaçal a Chapada dos Parecis,entre km 35 e fazenda Santiago.","-58.4664001464844","-15.0797004699707",NA,NA,"HUEFS0071508","HUEFS0071508",NA,"Reserva do Cabaçal","Rosanae",NA,NA,NA,"Parátipo","28332","auto",NA,NA,NA,NA,NA,NA
