"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","minimumElevationInMeters","maximumElevationInMeters","order","class"
"1","2020-11-04 11:12:11-03","ESALQ","ESA","114458","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","Alves, F.M.","Alves, F.M.","531.0","2008","11","11","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","ESA114458","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:02:22-03","FURB","FURB","62091","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","van de Werff, H.","Vergne, M.C.; van de Werff, H.; Ponte, T.A; Cruz, M.","165","2015","11","28","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","FURB62091","auto","van der Werff","2015","11","28","Trilha do Tapinoã. Estação Ecológica de Santa Lúcia","Imature fruits Habito: Árvore","FURB62091",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:31:25-03","MBM","MBM","408272","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","Werff, H. van der","Vergne, M.C.; Werff, H. van der; Pontes, T.A.; Cruz, M.; Werff, H. van der; Pontes, T.A.; Cruz, M.","165","2015","11","28","Brazil","Espírito Santo","Santa Teresa","-40.536389","-19.969722",NA,"MBM408272",NA,"van der Werff",NA,NA,NA,"Estação Biológica de Santa Lúcia, trilha do Tapinoã","Tree 30 m, fruits imature.","MBM408272","Southern America","-40.536389","-19.969722",NA,NA,NA,NA,NA,NA
"4","2017-05-05 14:11:00-03","MO","MOBOT","100969926","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum",NA,"Matheus C. Vergne|H. van der Werff|A. Pontes|M. Cruz","Vergne 165","2015","11","28","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"van der Werff",NA,NA,NA,"Santa Lúcia. Estação Ecológica de Santa Lúcia, Trilha do Tapinoã.",NA,NA,"South America",NA,NA,"1",NA,NA,NA,NA,NA
"5","2011-02-22 17:15:00-03","MO","MOBOT","1810582","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","E. Bausen","H.Q. Boudet Fernandes","Boudet Fernandes 2392","1988","2","3","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"van der Werff",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"Isotype",NA,NA,NA,NA
"6","2011-02-22 17:15:00-03","MO","MOBOT","1840559","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum",NA,"H.Q. Boudet Fernandes","Boudet Fernandes 2600","1988","10","6","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"van der Werff",NA,NA,NA,"Santa Teresa, Valsugana Velha, Estação Biológica de Santa Lúcia. Floresta pluvial baixo montana. Margem esquerda do Rio Timbui. Mata.",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1840563","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum",NA,"* BOUDET-FERNANDES","BOUDET-FERNANDES 2601","1988","10","6","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"van der Werff",NA,NA,NA,"Santa Teresa, V. Velha. Estação Biológica de Santa Lúcia. Floresta pluvial baixo montana. Mata, alto de encosta. Margem esquerda do Rio Timbuí.",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1840596","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum",NA,"* BOUDET-FERNANDES","BOUDET-FERNANDES 2399","1988","3","7","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"van der Werff",NA,NA,NA,"Santa Teresa, Santa Lúcia (propredade de Pedro Coli). Floresta de encosta. Mata primaria.",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-28 04:12:00-03","MO","MOBOT","1840605","PreservedSpecimen","Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","H. van der Werff (MO)","H.Q.B. Fernandes|Ariane L. Peixoto|H. van der Werff","Fernandes 3038","1990","11","12","Brazil","Espírito Santo",NA,"-40.53333","-19.96666",NA,NA,NA,"van der Werff",NA,NA,NA,"Mun. Santa Teresa, Valsugana Velha, Estação Biológica de Santa Lúcia. Floresta pluvial baixo-montana. Bacia do rio Timbuí. Mata primária. Topo de encosta. Vertente à esquerda do rio.",NA,NA,"South America",NA,NA,NA,NA,"550.00000000","800.00000000",NA,NA
"10","2020-07-10 09:46:42-03","MBML","MBML-HERBARIO","4408",NA,"Plantae",NA,"Lauraceae","Williamodendron","cinnamomeum","Williamodendron cinnamomeum","H. Van der Werff/1993","H. Q. Boudet Fernandes","2392","1988","03","02","Brasil","Espírito Santo","Santa Teresa","-40.552778","-19.953333",NA,"MBML004408",NA,"van der Werff",NA,NA,NA,"Penha","Nome vulgar: canela limão. Árvore 20m, fuste 15m X 30cm, casca cinzenta inteira esfoliada, ápice dos ramos, nervuras e pecíolo foliares com indumento velutino cor de canela. Botões verdes. Heliófila, margem de córrego.","MBML004408_1 MBML004408_2",NA,"40W33'10","19S57'12",NA,"HOLOTIPO",NA,NA,NA,NA
