"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4122544","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","G. H. H. Tate","895","1928","08","South America","Venezuela","Aguita. Slopes of Mount Duida","945","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4440468' target='other'> <mi>dwc_moreinfo</mi></a>","NY04122544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559260","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","R. Callejas Posada","9872","1991","02","South America","Colombia","Corregimiento Nutibara, Sitio Murrí, vía Nutibara-La Blanquita, Alto de Cuevas, finca El Palmar","1970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559260","R. Callejas Posada","13","Antioquia","Frontino","-76.4","6.67","2080","NY00559260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4122545","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","B. Maguire","29835","1950","12","South America","Venezuela","Cerro Huachamacari, Río Cunucunuma, at base of upper escarpment","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4440469' target='other'> <mi>dwc_moreinfo</mi></a>","NY04122545",NA,"05","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559265","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","G. G. Hatschbach","46683","1983","08","South America","Brazil","Ibatiba, 22 km L","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559265","R. Callejas Posada","03","Espírito Santo","Muniz Freire","-41.4131","-20.4644","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559264","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","G. G. Hatschbach","6626","1960","01","South America","Brazil","Rio Guaraguassú","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559264",NA,"03","Paraná","Paranaguá","-48.5092","-25.5203","20","NY00559264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4122548","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","B. Maguire","46911","1962","08","South America","Venezuela","in mixed montane forest below La Escalera","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4440472' target='other'> <mi>dwc_moreinfo</mi></a>","NY04122548",NA,"20","Bolívar",NA,NA,NA,"800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4122541","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","B. Maguire","36887","1953","12","South America","Venezuela","Cerro de la Neblina, Río Yatua, 2-3 km. south of Camp 3","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4440465' target='other'> <mi>dwc_moreinfo</mi></a>","NY04122541",NA,"24","Amazonas",NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559262","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","G. G. Hatschbach","30891","1972","12","South America","Brazil","Rio dos Padres",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559262","R. Callejas Posada","01","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4122543","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","B. Maguire","37363","1954","01","South America","Venezuela","Cerro de la Neblina, Río Yatua, southeast of Camp 3","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4440467' target='other'> <mi>dwc_moreinfo</mi></a>","NY04122543",NA,"24","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","559261","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","R. Callejas Posada","1837","1983","12","South America","Brazil","4 km al N de Rio Caraguaçu",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559261","G. Mathieu","01","Paraná","Paranaguá","-49","-25.5",NA,"NY00559261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
