"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2072047","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","L. Coradin","973","1977","11","03","South America","Brazil","Roraima","Along Boa Vista - Mucajaí road (BR-174), Km 6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2211687' target='other'> <mi>dwc_moreinfo</mi></a>","NY02072047","NY02072047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2072048","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","G. A. Black","51-13725","1951","09","25","South America","Brazil","Roraima","Territorio do Rio Branco. Boa Vista, campo perto de Mecejana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2211688' target='other'> <mi>dwc_moreinfo</mi></a>","NY02072048","NY02072048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02072045","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","R. de S. Secco","192","1982","05","14","South America","Brazil","Pará","Marabá, N5, arredores do lago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2211685' target='other'> <mi>dwc_moreinfo</mi></a>","NY02072045","NY02072045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2072046","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","R. de S. Secco","238","1982","05","17","South America","Brazil","Pará","Marabá, N1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2211686' target='other'> <mi>dwc_moreinfo</mi></a>","NY02072046","NY02072046_01","-50.2921486","-6.0253411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00898426","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","G. M. Magalhaes","4346","1943","02","05","South America","Brazil","Minas Gerais","entre Catas Altas e Sta. Rita. Lagôa da Chapada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898426","NY00898426_01","-43.4153","-19.9594","A. M. Giulietti","Santa Bárbara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:11-03","UFBA","ALCB","030626","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","Silva, BAW da; et al.","08","1997","08","12","Southern America","Brasil","Bahia","Região Metropolitana Salvador, Porto Sauípe",NA,"5 cm. Aquática. Folhas simples, membranáceas. Flores com capítulos alvos. Frequente.","ALCB011467","ALCB011467","-38.283333","-12.6","Chagas, ECO","Dias D'Ávila","2016","05","04","-38.283333","-12.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-22 16:26:28-03","UFPB","JPB","33103","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R. Br.","Thomas, WW; Barbosa, MR","14052","2004","07","23","Southern America","Brasil","Paraíba","Lajedo de Pai Mateus, Fazenda Lajedo São Mateus, ca. 18Km S of BR-412 on road to Cabaceiras. Lajedo Pai Mateus. Large Sandstone outcrop and associated depressions, seepage slopes and reservoir.",NA,"; DESC: In mats in water of catch basin on top of outcrop. Heads gray",NA,NA,"-36.296667","-7.381111","Giulietti, AM","Cabaceiras","2008","11","17","-36.296667","-7.381111","530","530",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:55:05-03","UFOP","OUPR","13105","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R.Br.","Damazio, L.B.","s.n.","1907","03","25",NA,"Brasil","Minas Gerais","Perto de Antônio Pereira. Na margem de uma pequena lagoa.",NA,NA,NA,NA,"-43.5080986022949","-20.2875003814697","Oliveira, A.","Ouro Preto","2014","07","01",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:43:59-03","UFMG","BHCB","158281","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R. Br.","Arruda, AJ; Silva, LVC; Mota, NFO","700","2012","03","12","Southern America","Brasil","Pará","Serra da Bocaina",NA,"Campo graminoso sobre canga.",NA,NA,"-49.9325","-6.324722",NA,"Parauapebas",NA,NA,NA,"-49.9325","-6.324722","742","742",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:43:59-03","UFMG","BHCB","158236","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R. Br.","Arruda, AJ; Silva, LVC; Mota, NFO","654","2012","03","08","Southern America","Brasil","Pará","Serra da Bocaina",NA,"Campo graminoso sobre canga.",NA,NA,"-49.889444","-6.3075",NA,"Parauapebas",NA,NA,NA,"-49.889444","-6.3075","742","742",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-11 11:43:59-03","UFMG","BHCB","125710","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","cinereum","Eriocaulon cinereum","R. Br.","Carmo, FF","309","2007","03","10","Southern America","Brasil","Minas Gerais","Serra de Capanema, C2",NA,"Afloramento de canga, em lagoa sazonal","BHCB021093",NA,"-43.581117","-20.218631",NA,"Itabirito","2014","07","01","-43.581117","-20.218631","1807","1807",NA,NA,NA,NA,NA,NA,NA,NA
