"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","519537","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","W. W. Thomas","12749","2001","11","04","South America","Brazil","Bahia","Itacaré","Fazenda Capitao. 7.9 km W of junction BA 001 on road from Itacaré to Ubaitaba","-39.0884","-14.344317","40","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519537","NY00519537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","642438","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","J. G. Jardim","3103","2000","10","29","South America","Brazil","Bahia","Itacaré","Loteamento da Marambaia, viscinal que leva a fazenda, ca 1 km da Rod. BA 001","-39.0294","-14.3281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642438","NY00642438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779441","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","W. W. Thomas","J. G. Jardim","3965","2001","11","14","South America","Brazil","Bahia","Ibirapitanga","Fazenda Perda Formosa, entrada ca. 42 km E na Rodovia BR 101, Ubaitaba/Gandu. Sede da fazenda ca. 6 km da estrada.","-39.4536111","-13.9494444","310","310","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779441","NY00779441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02641713","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","W. W. Thomas","P. Fiaschi","1884","2003","11","11","South America","Brazil","Bahia","Itacaré","Fazenda Capitão, 7.9 km a oeste da junção da BA 001 com a rodovia Itacaré-Ubaitaba, Mata ao longo do riacho do Capitão","-39.08","-14.33","100","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2328660' target='other'> <mi>dwc_moreinfo</mi></a>","NY02641713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","545600","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","A. M. Amorim","419","1991","11","20","South America","Brazil","Bahia","Itacaré","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","-38.9967","-14.2778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545600","NY00545600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00932312","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","P. Fiaschi","2155","2004","03","28","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esquerda, 8 km ramal vicinal à esquerda, ca. 1 km. RPPN ‹gua Branca.","-39.0903","-13.3289","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932312","NY00932312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622907","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","T. S. dos Santos","1065","1970","09","02","South America","Brazil","Bahia","Itacaré","Itacaré. Capoeira próxima ao litoral Sul.","-38.9967","-14.2778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622907","NY00622907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547723","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","M. Alves","W. W. Thomas","12183","2000","09","28","South America","Brazil","Bahia","Itacaré","1.2 km W of road from Serra Grande to Itacaré, 24.0 km N of Serra Grande, on road to Loteamento Marambaia","-39.029233","-14.33085",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547723","NY00547723_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-27 13:47:41-03","UFS","ASE","30324","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas",NA,"Aona, LYS; Biggs, N; Jardim J.G.; Lucas, E; Mazine, FF; Victor Junior, VV; Costa G.","2401","2013","03","13","Southern America","Brasil","Bahia","Ibirapitanga","Serra do Papua, APA do Pratigi, descida da parcela 3 antes do córrego 01.","-39.465833","-13.916111",NA,NA,NA,"Herbácea cespitosa, aquênios castanhos.; Floresta Ombrófila Densa (mata atlântica) em sucessão avançada.","ASE0001762","ASE0001762",NA,"-39.465833","-13.916111",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:45:32-03","MBML","MBML-HERBARIO","42147",NA,"Plantae",NA,NA,"Cyperaceae","Hypolytrum","bahiense","Hypolytrum bahiense","M.Alves & W.W.Thomas","W. Thomas/2018","W. W. Thomas; J. Jardim, S.C. Sant'Ana & F. Junchum","12183","2000","09","28",NA,"Brasil","Bahia","Itacaré","1.2 km W of road Serra Grande to Itacaré, 24.0 km N of Serra Grande, on road to Loteamento Marambaia","-39.018761","-14.319031",NA,NA,NA,"Short-rhizomatous in forest shade; spikes white and lightly fragrant when in flower, becoming brown.","MBML042147","MBML042147","ISOTIPO","39W1'7,54","14S19'8,51",NA,NA,NA,NA,NA,NA
