"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","imagecode","order","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1776977","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","R. Grolle","I. Sastre-de Jesús","294","1984","11","26","South America","Venezuela","Amazonas","Río Negro","Neblina Base Camp, along Rio Mawarinuma, ca. 140m.","-66.17","0.83","140","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995896' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1776987","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray",NA,"W. D. Reese","16462","1983","05","02","South America","Brazil","Pará",NA,"Serra do Cachimbo. Cataracts on Rio Curua and vicinity; 842-887 km N of Cuiaba on Cuiaba-Santarem highway (BR 163).","-54.95","-8.75","350","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995908' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776987","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1776988","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray",NA,"W. D. Reese","16117","1983","04","23","South America","Brazil","Pará",NA,"Serra do Cachimbo. Km 777 on Cuiaba-Santarem highway (BR 163); 77 km N of Cuiaba. Just N of Mato Grosso.","-54.92","-9.5","400","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995910' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1776980","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","B. M. Thiers","J. L. Luteyn","12165","1988","04","21","South America","Colombia","Antioquia","Frontino","Correg. Nutibara, Nutibara-La Blanquita Rd., region of Murri, forests around Alto de Cuevas, ca. 15 km W of Nutibara.","-76.33","6.75","1900","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776980","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02467267","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","R. Grolle","W. R. Buck","11464","1984","03","10","South America","Venezuela","Amazonas","Mun. Río Negro","Along Río Mawarinuma, just outside Cañon Grande, vicinity of Neblina base camp","-66.17","0.83","140","packeted","Cerro de la Neblina Expedition <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2733131' target='other'> <mi>dwc_moreinfo</mi></a>","NY02467267","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1776979","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","R. Grolle","B. W. Nelson","355","1979","11","03","South America","Brazil","Rondônia",NA,"Km 20 of new Vilhena-Colorado road which starts 13 km N of Vilhena on BR-364.",NA,NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995898' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1776976","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","R. Grolle","I. Sastre-de Jesús","276","1984","11","26","South America","Venezuela","Amazonas","Río Negro","Neblina Base Camp, along Rio Mawarinuma.","-66.17","0.83","140","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1776973","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","W. C. Steere","J. L. Luteyn","8228","1982","01","13","South America","Venezuela","Aragua",NA,"Henri Pittier Natl. Pk. Portachuelo trail.","-45","10.33","1000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776973","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1776981","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","R. Grolle","J. L. Luteyn","12162","1988","04","21","South America","Colombia","Antioquia","Frontino","Correg. Nutibara, Nutibara-La Blanquita Rd., region of Murri, forests around Alto de Cuevas, ca. 15 km W of Nutibara.","-76.33","6.75","1900","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776981","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1776982","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","B. M. Thiers","R. R. Ireland, Jr.","23502","1988","10","25","South America","Colombia","Santander",NA,"Vereda El Volcan, corregimiento Virolin, municipio de Charala.","-73","6","1725","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1776949","PreservedSpecimen","Plantae","Marchantiophyta","Pallaviciniaceae","Pallavicinia","lyellii","Pallavicinia lyellii","(Hook.) Gray","W. C. Steere","Y. E. J. Mexia","6107","1931","11","14","South America","Peru","Loreto",NA,"Above Pongo de Manseriche. Mouth of Rio Santiago.",NA,NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1995868' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
