"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","76944","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva","isotype","R. de Mello-Silva","1020","1995","03","15","South America","Brazil","Goiás","Alto Paraíso de Goiás","Serra da Baliza, grande anfiteatro a leste da cidade. No alto da serra, afloramento rochoso com cerrado de encosta, cerca de 500 m além da casinhola da antiga torre de TV. Acesso por estrada vicinal 5 km sul da cidade, àesquerda, na rodovia GO 118 (Campos Belos-Brasília). Nascentes do rio Tocantins (Tocantinzinho).","-47.5097","-14.1325","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076944","NY00076944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0056288","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva","isotype","Mello-Silva R de; et al.",NA,"1995","03","15","Southern America","Brazil","Goiás",NA,"Brasil. Goias Alto Paraiso de Goias Serra da Baliza, grande anfiteatro a leste da cidade.No alto da serra, afloramento rochoso som cerrado de encosta, cerca de 500m alem da casinhola da antiga torre de TV.Acesso por estrada vicinal 5 km sul da cidade, a esquerda, na rodovia GO 118 (Campos Belos-Brasilia)Nascantes do rio Tocantins (Tocanrinzinho)",NA,NA,NA,NA,NA,"Sobre rochas umidas, na base de afloramento rochoso com cerrado de encosta.Planta cespitosa 15-40cm alt.Folhas odoriferas, viscosas na face adaxial, discolores, indumento prateado na face abaxial, tristicas.Ovario verde.Tubo do hipanto vinaceo na base e alvo no apice, caduco na frutificacao.Tepalas alvas. 6 estames. Anteras amarelas, sesseis. Estilete alvo, estigma amarelo.Capsula loculicida, imatura verde, madura castanha<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200056288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0056288","NL-L0056288","Magnoliopsidae","Mello-Silva R de","1995","03","01","997105943",NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:20:27-03","ESALQ","ESA","89894","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva",NA,"Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4353.0","2005","01","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Rosmarinho. GO-118, a 11km do trevo para Niquelândia e Colinas do Sul. Campo rupestre adjacente ao riozinho","-47.5099983215332","-14.1324996948242","1125","1125",NA,"Planta de ca. 40cm alt. Flores alvas com o tubo arroxeado externamente","ESA089894","ESA089894",NA,"Mello-Silva, R.",NA,NA,NA,NA,"-47,491,111","-14,225,833","44724","auto",NA,NA
"4","2021-03-12 01:36:38-03","UFPI","TEPB","28486","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L. B. Smith ex R. Mello Silva",NA,"Gates, B.;","204","1979","02","15",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, 5 km a leste de Alto Paraíso.",NA,NA,NA,NA,NA,"erva rasteira com touceira 0,5 m; flor branca, afloramentos rochosos em campo na beira do riacho",NA,NA,NA,"Mello-Silva, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-11-21 10:17:28-02","BGBM","B","B 10 0243284","S","Plantae",NA,NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva","isotype","R. Mello-Silva, T. B. Cavalcanti, F. R. Salimena-Pires & G. P. Silva","1020","1995","03","15","Middle and South America","Brazil",NA,NA,"Goiás. Alto Paraíso de Goiás: Serra da Baliza, grande anfiteatro a leste da cidade. No alto da serra, afloramento rochoso com cerrado de encosta, cerca de 500 m além da casinhola da antiga torre de TV..",NA,NA,NA,NA,NA,"loc. descr. continued:...Acesso por estrada vicinal 5 km sul da cidade, à esquerda, na rodovia GO 118 (Campos Belos-Brasília). Nascentes do rio Tocantins (Tocantinzinho) <a href=http://herbarium.bgbm.org/object/B100243284 target=ot","B100243284","B100243284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:49:06-03","UFMS","CGMS","39123","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva",NA,"B. Gates; Estabrooks","204","1979","02","15",NA,"Brasil","Goiás","Alto Paraíso.","5 km leste de Alto Paraíso.",NA,NA,NA,NA,NA,"Flor branca. Doação UB. Duplicatas: CGMS, TERB, UB. Habitat: Afloramento rochosos em campo na beira de riacho. Habito: Erva rasteira com touceira. 0,50m de altura.","CGMS1068505",NA,NA,"R. Mello-Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:48-03","UNICAMP","UEC","88815","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. ex Mello-Silva","isotypus","Mello-Silva, R; Cavalcanti, TB; Salimena-Pires, FR; Silva, GP","1020","1995","03","15",NA,"Brazil","Goiás","Alto Paraíso de Goiás","Serra da Baliza, Grande anfiteatro a leste da cidade. No alto da serra, afloramento rochoso com cerrado de encosta, cerca de 500 m além da casinhola da antiga torre de TV. Acesso por estrada vicinal 5 km sul da cidade, à esquerda, na rodovia GO 118 (","-47.5099983215332","-14.1324996948242","1400","1400",NA,"Sobre rochas úmidas, na base do afloramento rochoso com cerrado de encosta. Planta cespitosa 15-40 cm alt. Folhas odoríferas, viscosas na face adaxial, discolores, indumento prateado na face abaxial, trísticas. Ovário verde. Tubo do hi","UEC060798","UEC060798",NA,"Mello-Silva, R","1995","03",NA,NA,NA,NA,"44724","auto",NA,NA
"8","2020-12-21 16:46:51-03","MBM","MBM","207849","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B. Sm. ex Mello-Silva","ISOTYPE","Mello-Silva, R.; Cavalcanti, T.B.; Salimena-Pires, F.R.; Silva, G.P.; Cavalcanti, T.B.; Salimena-Pires, F.R.; Silva, G.P.","1020","1995","03","15","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Serra da Baliza, Grande anfiteatro a leste da cidade. No alto da serra, cerca de 500m além da casinhola da antiga torre de TV. Acesso por estrada vicinal 5km sul da cidade, à esquerd, na rodovia GO-118 (Campos Belos - Brasília). Nascentes do Rio Toca","-47.5099983215332","-14.1324996948242","1400","1400",NA,"Planta cespitosa 15-40cm alt. Folhas odoríferas, viscosas na face adaxial, discolores, indumento prateado na face abaxial, trísticas. Ovário verde. Tubo do hipanto vináceo na base e alvo no ápice, caduco na frutificação. Tépalas alva","MBM207849","MBM207849",NA,"Mello-Silva, R.","1995","03",NA,NA,NA,NA,"44724","auto",NA,NA
"9","2015-09-28 08:00:32-03","MNHN","RECOLNAT_MNHN_P","P00078410","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","Mello-Silva","isotype","Mello-Silva, P.|Cavalcanti, T.B.|Salimena-Pires, F.R.|Silva, G.P.",NA,"1995","3","15",NA,"Brésil",NA,"5km sul da cidade","Alto Paraiso de Goias : Serra da Baliza, grande anfiteatro a leste da codade; no alto da serra, afloramento rochoso com cerrado de encosta, cerca de 500m alem da casinhola da antiga torre de TV; acesso por estrada vicinal",NA,NA,NA,"1400","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00078410' target='other'> <mi>dwc_moreinfo</mi></a>","P00078410","P00078410_01",NA,"Mello-Silva",NA,NA,NA,NA,NA,NA,NA,NA,"1020",NA
"10","2020-12-11 11:45:31-03","UFMG","BHCB","36851","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","sessilis","Vellozia sessilis","L.B.Sm. & Mello-Silva","Isotypus","Mello-Silva, R de; Cavalcanti, TB; Salimena-Pires, FR; Silva, GP da","1020","1995","03","15","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Serra da Baliza, Grande anfiteatro a leste da cidade. No alto da serra, ca. 500m além da casinhola da antiga torre de tv. Acesso por estrada vicinal 5km sul da cidade, à esquerda, na rodovia GO 118 (Campos Belos-Brasília). Nascentes do rio Tocantis","-47.5099983215332","-14.1324996948242","1400","1400",NA,"Planta cespitosa 15-40cm de altura. Folhas odoríferas, viscosas na face adaxial, discolores, indumento prateado na face abaxial, trísticas. Ovário verde. Tubo do hipanto vináceo na base e alvo no ápice, caduco na frutificação. Tépalas","BHCB000439","BHCB000439",NA,NA,"1995","03",NA,NA,NA,NA,"44724","auto",NA,NA
