"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","relatedCatalogItem"
"1","2021-02-11 17:18:26-03","UFPR","UPCB","92537","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo","Soffiatti, P.","2017","01","Fantinati, M.R.","160","2017","01","24","Brasil","Bahia","Morro do Chapéu","Ca. 25 km à W da cidade na BA 052.","-41.341944","-11.489444","-41.341944","-11.489444","906","906","Afloramento rochoso (lajeado) em campo rupestre, crescendo na areia entre as rochas.. Cacto globoso. Caule esverdeado a glauco. Espinhos marrons na base e acizentados no ápice. Cefálio apical com densa cobertura de tricomas alvos. Bo","UPCB0034173","UPCB0034173",NA,NA,NA,NA
"2","2019-11-13 11:17:20-03","USP","SPF","81035","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo","Zappi, DC; Taylor, NP","1989",NA,"Harley, RM","27397","1988","12","26","Brasil","Bahia","Morro do Chapéu",NA,"-41.25","-11.533333","-41.25","-11.533333","700","700",NA,"SPF00081035",NA,NA,NA,NA,NA
"3","2019-11-13 11:17:20-03","USP","SPF","81036","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo","Zappi, DC; Taylor, NP","1989",NA,"Harley, RM","27393","1988","12","25","Brasil","Bahia","Morro do Chapéu",NA,"-41.333333","-11.466667","-41.333333","-11.466667","900","900",NA,"SPF00081036",NA,NA,NA,NA,NA
"4","2019-10-07 09:18:39-03","UEFS","HUEFS","112603","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Lambert, S.M.","3","2004","10","22","Brasil","Bahia","Morro do Chapéu","Rodovia para Irecê. Local conhecido como cidade das Pedras ou Lajes.","-41.304722","-10.506389","41W18'17''","10S30'23''","1001","1001","Carrasco.","HUEFS0112603","HUEFS0112603","Angiospermae","Caryophyllanae","Caryophyllales",NA
"5","2019-10-07 09:18:39-03","UEFS","HUEFS","104825","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Lambert, S.M.","37","2005","12","18","Brasil","Bahia","Morro do Chapéu","Volta da Serra - próximo ao balneário Cavalo morto.","-41.374444","-11.318611","41W22'28''","11S19'7''",NA,NA,"Campo rupestre.","HUEFS0104825","HUEFS0104825 HUEFS0104825_01","Angiospermae","Caryophyllanae","Caryophyllales",NA
"6","2019-10-07 09:18:39-03","UEFS","HUEFS","106042","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Lambert, S.M.","40","2005","12","18","Brasil","Bahia","Morro do Chapéu","Local conhecido c Lajedo Bordado ca. 3 Km após o distrito de Brejões.","-41.374444","-11.485278","41W22'28''","11S29'7''","748","748","Solo areia.","HUEFS0106042","HUEFS0106042 HUEFS0106042_01","Angiospermae","Caryophyllanae","Caryophyllales",NA
"7","2019-10-07 09:18:39-03","UEFS","HUEFS","112604","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Lambert, S.M.","4","2004","10","22","Brasil","Bahia","Morro do Chapéu","Ca. 05 Km após o distrito de Brejões, estrada para o Lajedo Bordado.","-41.085","-11.439722","41W5'6''","11S26'23''","748","748","Campo rupestre.","HUEFS0112604","HUEFS0112604","Angiospermae","Caryophyllanae","Caryophyllales",NA
"8","2019-10-07 09:18:39-03","UEFS","HUEFS","114812","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo","M.Machado","2008","10","Melo, E.","4478","2006","10","12","Brasil","Bahia","Morro do Chapéu","Parque Estadual de Morro do Chapéu - PEMC. Estrada nova do Prefeito.","-41.221667","-11.409444","41W13'18''","11S24'34''","1052","1052","Vegetação de cerrado.","HUEFS0114812","HUEFS0114812","Angiospermae","Caryophyllanae","Caryophyllales",NA
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","166837","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Machado, M.","1153","2008","10","11","Brasil","Bahia","Morro do Chapéu","Afloramentos de arenito no leito do Rio Salitre, próximo a vila de Bejões, passando pela vila de Icó. Local conhecido como Lagedo Bordado","-41.085","-11.273333","41W5'6''","11S16'24''","740","740","caatinga","HUEFS0166837","HUEFS0166837","Angiospermae","Caryophyllanae","Caryophyllales",NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","168184","PreservedSpecimen","Plantae","Cactaceae","Melocactus","glaucescens","Melocactus glaucescens","Buining & Brederoo",NA,NA,NA,"Machado, M.","800","2006","10","05","Brasil","Bahia","Morro do Chapéu","Afloramentos de arenito no leito do Rio Salitre, próximo a vila de Bejões, passando pela vila de Icó. Local conhecido como Lagedo Bordado.","-41.085","-11.273333","41W5'6''","11S16'24''","740","740","caatinga","HUEFS0168184","HUEFS0168184 HUEFS0168184_01","Angiospermae","Caryophyllanae","Caryophyllales",NA
