"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:33:49-03","UNESC","CRI","1472","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","Marcos Sobral","R. Negrelle; C. Fava","1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: herbácea rasteira","CRI005664","CRI005664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:42-03","UNESC","CRI","13767","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","Alexandre Medeiros","Alexandre Medeiros","2018","02","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Flor branca com lilás Habitat: Terrestre Habito: Herbácea","CRI012374",NA,"2018","02","19","853","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","3337","S","Plantae","Ochnaceae","Sauvagesia","cf. erecta","Sauvagesia cf. erecta","L.","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr. ;","2014","02","26","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, caminho para casa do pesquisador.","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"254",NA,NA,"2014","02","24",NA,"11966","auto","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:02-03","E","E","310867","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta",NA,NA,"Harley, R.M.; Nic Lughadha, E.; Sakuragui, C.M.; Ganev, W.","1991","12","21","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00310867 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310867",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:316852",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:02-03","E","E","310875","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta",NA,NA,"Harley, R.M.; Giulietti, A.M.; Fierro, A.F.","1992","01","10","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00310875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310875",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:316985",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02282308","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","M. C. E. Amaral","H. S. Irwin","1970","03","18","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Ca. 20 km E. of Diamantina","-43.5197222","-18.18055",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2250101' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282308",NA,NA,NA,NA,"27863",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","642202","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","J. C. Lindeman","J. C. Lindeman","1965","07","27","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642202","NY00642202_01",NA,NA,NA,"113",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","642195","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.",NA,"J. C. de Moraes Vasconcelos","1959","11","18","Brazil","Paraíba","Baía da Traiçao",NA,"-34.9356","-6.6883",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642195","NY00642195_01",NA,NA,NA,"2272",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778025","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","M. Sugiyama","F. O. Souza","2000","10","20","Brazil","São Paulo","Caraguatatuba","Parque Estaduala da Serra do Mar, Núcleo Caraguatatuba. Trilha dos Macacos","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778025","NY00778025_01",NA,NA,NA,"197",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00972596","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","C. H. L. Sastre","H. S. Irwin","1964","08","20","Brazil","Distrito Federal","Brasília","Ca. 50 km E of Brasilia.","-47.9294","-15.7797",NA,NA,"700","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972596","NY00972596_01",NA,NA,NA,"5354",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
