"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","class","fieldNumber","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","3834407","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","N. L. Britton","1240","1920","04","03","South America","Trinidad and Tobago","Trinidad. Mount Tocuche","-61.409","10.739203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122409' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834407","NY03834407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3834409","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","H. H. Rusby","458","1885",NA,NA,"South America","Bolivia","Near Yungas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122411' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834409","NY03834409_01","La Paz","1219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3834405","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","B. Maguire","33313","1952","03","08","South America","Venezuela","Ilu-Tepui, Gran Sabana. Between Uarupata and Ilu-tepui Camp No. I.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122407' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834405","NY03834405_01",NA,"1000","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02058075","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","M. A. Sundue","3302","2012","09","09","South America","Colombia","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, alrededores de la casa de la finca La Pradera","-76.20836","6.63908","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950764' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058075","NY02058075_01","Antioquia","1700","1750","M. A. Sundue","Frontino",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3834406","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","J. T. Mickel","9552","1984","07","12","South America","Trinidad and Tobago","Trinidad. Mount Tucuche, trail from base to the peak.","-61.404554","10.746588","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122408' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834406","NY03834406_01",NA,"152","936",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03834402","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","A. Fendler","107","1877",NA,NA,"South America","Trinidad and Tobago","Trinidad.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122404' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834402","NY03834402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3834408","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","E. P. Killip","11383","1922","09","11","South America","Colombia","Department of El Valle. La Cumbre. Cordillera Occidental.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4122410' target='other'> <mi>dwc_moreinfo</mi></a>","NY03834408","NY03834408_01",NA,"2100","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:41:47-03","NBC","NL-BOTANY","U.1016664","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring","Werff HH van der",NA,"1978","09","10","Southern America","Venezuela","Sierra San Luis, arriba de la Chappa.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016664","NL-U1016664",NA,NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:41:47-03","NBC","NL-BOTANY","U.1016665","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring","Werff HH van der; Wingfield RC",NA,"1979","04","29","Southern America","Venezuela","Sierra de San Luis, Montana de Paraguariba.Selva Siempreverde. Epifito colgante.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016665","NL-U1016665",NA,NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:41:47-03","NBC","NL-BOTANY","U.1016666","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring","Flora Falcon",NA,"1979","01","18","Southern America","Venezuela","Estado Falcon, Arriba en la Chapa. Sierra de San Luis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016666","NL-U1016666",NA,NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
