"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","371885","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","L. B. Smith; S. F. Smith","G. G. Hatschbach","18109","1967","12","13","South America","Brazil","Paraná","Antonina","Batel","-48.7117","-25.4286","20","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371885","NY00371885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02642171","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.",NA,"E. G. A. Martins","304","2012","03","12","South America","Brazil","São Paulo","Cubatão","Parque Ecológico Perequê. Entrada da trilha da cachoeira. lado direito, atrás da bica. Borda de Floresta Atlântica.","-46.41406","-23.8475",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962859' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642171","NY02642171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1019486","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.",NA,"J. M. A. Braga","1778","1995","01","24","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas. Trilha do Pau Preto, margem do rio Pau Preto.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019486","NY01019486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","371881","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","G. M. Barroso","E. Pereira","7454","1964","11","01","South America","Brazil","São Paulo","Miracatu","Estrada Bigua a Iguape, km","-47.4597","-24.2803",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371881","NY00371881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","371880","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","J. Mattos","B. Braga",NA,"1969","04","14","South America","Brazil","São Paulo","Sao Paulo","Serra da Cantareira, Pinheirinho","-46.63","-23.5403",NA,NA,"sheet","Herbário D. Bento Pickel <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371880","NY00371880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","371884","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","L. B. Smith; S. F. Smith","G. G. Hatschbach","18501","1968","01","30","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.32","-25.28","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371884","NY00371884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","371883","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","G. G. Hatschbach","G. G. Hatschbach","18501","1968","01","30","South America","Brazil","Paraná","Guaraqueçaba","Rio de Cedro","-48.3289","-25.3069","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371883","NY00371883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","371882","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","P. K. H. Dusén","P. K. H. Dusén","11429","1911","03","27","South America","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371882","NY00371882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:53-03","UNESP-IBB","BOTU","10452","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","Hatschbach, G.","Hatschbach, G.","4601","1983","01","19",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,"árvore com 10m, flores amarelas.","BOTU010452",NA,"1983","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:21:05-03","UFRJ","RFA","9051","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","bifalcata","Vochysia bifalcata","Warm.","G.G. Hatschbach","G.G. Hatschbach",NA,"1968","01","30",NA,"Brasil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076","50","50",NA,"Árvore flor amarela, 25 m altura, tronco com 50 cm diâmetro","RFA51073",NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA
