"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:26:11-03","UNESC","CRI","11651","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","A.L. Gaglioti","A. Stival-Santos; E. Legal & S. Silveira","1338","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.139444","-27.096944","49º8'22''W","27º5'49''S","660","660","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: herbácea","CRI008580","CRI008580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","9533","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","F.S. Cabral","L.A. Funez","806","2012","08","18","Brasil","Santa Catarina","Rodeio","Eremitério Frei Egídio.","-49.366389","-26.922778","49º21'59''W","26º55'22''S","770","770","Floresta Ombrófila Densa Habitat: floresta Habito: subarbustiva","CRI007808","CRI007808","2017","04","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00441394","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","E. P. Killip","Y. E. J. Mexia","5365","1930","11","26","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda do Paraiso","-42.8817","-20.7542",NA,NA,"730","730","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=231096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441394","NY00441394_01",NA,NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","441393","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","G. G. Hatschbach","G. G. Hatschbach","29307","1970","02","25","Brazil","Paraná","Morretes","Serra Marumbi","-48.8342","-25.4769",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=231097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441393","NY00441393_01",NA,NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098724","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Determiner unspecified","W. W. Thomas","13355","2003","03","15","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Near top of mountain, in area near source of the Riberao da Bica.","-39.5425","-15.0956",NA,NA,"750","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531608' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098724","NY02098724_01",NA,NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01132267","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","J. A. Kallunki","A. M. Amorim","6653","2007","01","19","Brazil","Bahia","Arataca","Topo da Serra do Peito-de-Moça. Ramal ca. 22.4 km na estrada que liga Arataca à Una, com entrada no assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.3417","-15.1736",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132267","NY01132267_01",NA,NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:53-03","UPM","MACK","983","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","A. L. Gaglioti","K. D. Barreto; et al.","1855","1994","01","25","Brasil","SP","Iporanga","Núcleo Caboclo. Mata Atlântica.","-48.5900001525879","-24.5799999237061",NA,NA,NA,NA,NA,NA,NA,"2011","08","02",NA,NA,NA,NA,"38740","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:26:55-03","NBC","NL-BOTANY","U.1760174","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Mexia YEJ",NA,"1930","11","26","Brazil",NA,NA,"State of Minas Geraes. Viçosa, Fazenda do paraiso; matta virgem.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1760174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1760174","NL-U1760174",NA,NA,NA,NA,"Rosales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:20:20-03","ESALQ","ESA","18686","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Barreto, K.D. et al.","1855.0","1994","01","25","Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061",NA,NA,NA,NA,NA,"ESA018686","ESA018686","2011","08","02","Magnoliophyta",NA,NA,NA,"38740","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:20:20-03","ESALQ","ESA","62127","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Godoy, J.R.L. et al.","115.0","1999","01","12","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA062127","ESA062127","2010",NA,NA,"Magnoliophyta",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:20:20-03","ESALQ","ESA","52168","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Lima, R.A.F.","337.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente (sub-parcela C1) - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"400","400",NA,"ESA052168","ESA052168","2010",NA,NA,"Magnoliophyta",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA
