"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","498321","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.","R. B. Faden","J. Santisteban C.","25","1987","05","06","South America","Peru","Cajamarca","Santa Cruz","Ca. 3 km (por aire) ENE Monteseco","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498196","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.",NA,"A. Löfgren","9032","1895","11","14","South America","Brazil","São Paulo","Sao Paulo","Serra da Cantareira",NA,NA,"sheet","Ex. Herv. Comm. Geogr. e Geol. de S. Paulo n. 3285 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498196","-46.63","-23.5403","NY00498196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498195","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.",NA,"B. D. Sucre","9481","1972","07","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra do Barata, Represa do Piraraquara, Realengo","100","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498195","-43.2075","-22.9031","NY00498195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498322","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.","D. R. Hunt","W. H. Camp","E3108","1945","05","07","South America","Ecuador","Chimborazo",NA,"Cañon of the río Chanchan near Huigra","1219.2","1371.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=335042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01873622","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.","L. Y. S. Aona-Pinheiro","R. P. Lyra-Lemos","3735","1996","01","26","South America","Brazil","Alagoas","Minador do Negrão","Próx. à zona urbana.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873622","-36.8647003173828","-9.30527973175049","NY01873622_01","11111","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886308","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.","R. B. Faden","M. C. Tschá","244","1995","09","16","South America","Brazil","Pernambuco","Inajá","Reserva Biológica de Serra Negra.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1020231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886308","-38.5708","-8.6","NY00886308_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:27:41-03","UFBA","ALCB","83734","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult.f.","Aona, LYS","Lyra-Lemos, RP de; Rodrigues, MN; Barros, CSS","3735","1996","08","26","Southern America","Brasil","Alagoas","Minador do Negrão","Próximo à zona urbana. Faz. Torta. Topo da Serra",NA,NA,NA,"Flores cremes.","ALCB010113","-36.8647003173828","-9.30527973175049","ALCB010113","11111","auto","2014","05",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:27:41-03","UFBA","ALCB","09942","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult.f.","Barreto, R","Grupo Pedra do Cavalo","569","1980","08",NA,"Southern America","Brasil","Bahia","Cachoeira","Mata do R. Jacuípe",NA,NA,NA,"suculenta e estolonífera. Caule variegado. Flores pequenas e esverdeadas.","ALCB057489","-38.9557991027832","-12.6183004379272",NA,"26884","auto","1995","07",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:58:23-03","NBC","NL-BOTANY","U.1210055","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Aploleia","monandra","Aploleia monandra","(Sw.) H.E.Moore",NA,"Sucre Benjamin D",NA,"1972","07","01","Southern America","Brazil",NA,NA,"Est. da cuanabara, Serra do Barata, Represa do Piraraquara, Realengo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1210055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1210055",NA,NA,"NL-U1210055",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 08:58:23-03","NBC","NL-BOTANY","U.1209939","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Callisia","monandra","Callisia monandra","(Sw.) Schult. & Schult.f.",NA,"Ellenberg H",NA,"1957","06","12","Southern America","Peru",NA,NA,"Vegetation del Peru, Caesalpinia-Gebusch. Waldstufen und Paramos der Westl.Anden Nordperus, Regenzeit. 10-15° SW. Sunchubamba.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1209939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1209939",NA,NA,"NL-U1209939",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
