"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","individualCount","monthIdentified","class","order","dayIdentified"
"1","2020-11-04 10:59:44-03","ESALQ","ESA","97762","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Hemipogon","piranii","Hemipogon piranii","Rapini, A.","2008","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32660.0","2007","02","18","Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha do João Carrinho (756-1080 m.s.m.). Campo rupestre.","-437.387","-19.048","-437,387","-19,048","Volúvel; flores creme.","ESA097762","ESA097762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:44-03","ESALQ","ESA","97855","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Hemipogon","piranii","Hemipogon piranii","Rapini",NA,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32753.0","2007","02","19","Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha. Campo rupestre.",NA,NA,"-43,755,556","-19,006,111","Volúvel; flores alvas.","ESA097855","ESA097855","(Fontella) Rapini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:44-03","ESALQ","ESA","97615","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Hemipogon","piranii","Hemipogon piranii","Rapini, A.","2008","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32513.0","2007","02","17","Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",NA,NA,"-43,756,944","-19,005,556","Volúvel; corola creme.","ESA097615","ESA097615","(Fontella) Rapini","680","680",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:59:44-03","ESALQ","ESA","100639","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Hemipogon","piranii","Hemipogon piranii","Rapini, A.","2008","Zappi, D.C.","741.0","2007","02","16","Brasil","Minas Gerais","Santana do Pirapama",NA,NA,NA,NA,NA,NA,"ESA100639","ESA100639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-10-18 11:24:00-03","MO","MOBOT","1179265","PreservedSpecimen","Plantae",NA,"Apocynaceae","Morilloa","piranii","Morilloa piranii",NA,NA,"José R. Pirani|et al.","Pirani CFSC-7969","1982","3","20","Brazil","Minas Gerais",NA,"Mpio. de Santana do Riacho, ao longo da rodavia Belo Horizonte-Conceiçäo do Mato Dentro, Serra do Cipó, Santana do Pirapama, Fazenda Inhame (Serra Mineira)","-43.9","-18.9166667",NA,NA,NA,NA,NA,"(Fontella) Fontella, Goes & S. Cáceres",NA,NA,"Holotype","South America","1",NA,NA,NA,NA
"6","2018-10-18 11:25:00-03","MO","MOBOT","1179266","PreservedSpecimen","Plantae",NA,"Apocynaceae","Morilloa","piranii","Morilloa piranii",NA,NA,"Hilda M. Longhi-Wagner|et al.","Longhi-Wagner CFSC-9540","1986","1","26","Brazil","Minas Gerais",NA,"Mpio. de Santana do Riacho, km 111 ao longo da rodovia Belo Horizonte-Conceiçäo do Mata Dentro.",NA,NA,NA,NA,NA,NA,NA,"(Fontella) Fontella, Goes & S. Cáceres",NA,NA,NA,"South America","1",NA,NA,NA,NA
"7","2018-10-18 11:26:00-03","MO","MOBOT","1588220","PreservedSpecimen","Plantae",NA,"Apocynaceae","Morilloa","piranii","Morilloa piranii","C. Bitencourt",NA,"Pedro Fiaschi|Fabiane N. Costa","Fiaschi 339","2000","6","20","Brazil","Minas Gerais",NA,"Mun. Santana de Pirapama, Fazenda dos Inhames","-43.7666667","-18.95",NA,NA,NA,NA,NA,"(Fontella) Fontella, Goes & S. Cáceres",NA,NA,NA,"South America","1",NA,NA,NA,NA
"8","2021-02-10 17:41:50-03","USP","SPF","32378","PreservedSpecimen","Plantae",NA,"Apocynaceae","Astephanus","piranii","Astephanus piranii",NA,NA,"Pirani, JR; Longhi-Wagner, HM; Cordeiro, I; Hensold, N","CFSC7969","1982","03","20","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Fazenda Inhame (Serra Mineira).","-43.9","-18.916667","-43.9","-18.916667",NA,"SPF00032378","SPF00032378","Fontella",NA,NA,"holotype",NA,NA,NA,NA,NA,NA
"9","2021-03-15 18:24:50-03","USP","SPF","142238","PreservedSpecimen","Plantae",NA,"Apocynaceae","Morilloa","piranii","Morilloa piranii","Rapini, A","2000","Fiaschi, P","339","2000","06","20","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Fazenda dos Inhames (proprietário Paulo). Trilha para o alto da Serra. Campos rupestres.","-43.766667","-18.95","-43.766667","-18.95","Ervas eretas ou lianescentes, em morro com solo pedregoso. Flores com sépalas verdes, pétalas verdes na base e creme na porção distal.","SPF00142238",NA,"(Fontella) Fontella, Goes & S.A.Cáceres",NA,NA,NA,NA,NA,"08",NA,NA,NA
"10","2021-03-15 18:24:50-03","USP","SPF","178067","PreservedSpecimen","Plantae",NA,"Apocynaceae","Morilloa","piranii","Morilloa piranii","Rapini, A","2008","Zappi, DC","741","2007","02","16","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Serra do Cipó, Fazenda Toucan Cipó, estrada para a captação.","-43.768333","-19.005","-43.768333","-19.005","Erva trepadora crescendo ao sol, flores creme. Cerrado arbustivo-arbóreo denso, sobre solo arenoso.","SPF00178067",NA,"(Fontella) Fontella, Goes & S.A.Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA
