"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","imagecode","fieldNumber","individualCount","identifiedBy","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4206203","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","E. L. Core","235","1944","01","20","South America","Colombia","Cauca","5 km. East of Purace","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4564405' target='other'> <mi>dwc_moreinfo</mi></a>","NY04206203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3761881","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Restrepo C; Duque A",NA,"1986","10","15","Southern America","Colombia",NA,"Margen derecha Rio Ullucos caminando desde la carretera Coconuco-San José de Isnos. N Km 33. 1 km hacia adentro.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3761881 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3761881","Magnoliopsidae","NL-L3761881",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:13:57-03","NBC","NL-BOTANY","AMD.57455","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Cleef AM",NA,"1972","12","08","Southern America","Colombia",NA,"Flora Colombiana. Boyaca: Paramo de La Rusia, NW-N de Duitama Aislada: pozo en valle Pantonoso. Hierba sumergida, abundante.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.57455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD57455","Magnoliopsidae","NL-AMD57455",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:13:57-03","NBC","NL-BOTANY","AMD.57587","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Cleef AM; Fernández-Pérez A",NA,"1972","01","06","Southern America","Colombia",NA,"Cauca: Volcan Purace. Laguna de San Rafael y alrecteslores Pantanos ca 500 m S de Laguna.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.57587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD57587","Magnoliopsidae","NL-AMD57587",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:13:57-03","NBC","NL-BOTANY","AMD.57588","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Cleef AM; Florschütz PA",NA,"1972","10","07","Southern America","Colombia",NA,"Flora Colombiana. Boyaca: Sierra Nevada del Cocuy, Alto Valle Lagunillas. Fondo pantanoso del valle, 2750m al NNE de la Laguna Pintada con Cotula.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.57588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD57588","Magnoliopsidae","NL-AMD57588",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3761871","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Vink R; Wijninga VM",NA,"1985","05","08","Southern America","Colombia",NA,"Depto. Cundinamarca, region de la laguna de 'La Herrera'.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3761871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3761871","Magnoliopsidae","NL-L3761871",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3761880","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Restrepo C; Duque A",NA,"1986","10","15","Southern America","Colombia",NA,"Margen derecha Rio Ullucos caminando desde la carretera Coconuco-San José de Isnos. N Km 33. 1 km hacia adentro.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3761880 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3761880","Magnoliopsidae","NL-L3761880",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3775854","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Cleef AM",NA,"1973","04","08","Southern America","Colombia",NA,"Boyaca: Paramo de la Sarna entre Sogamoso y Vado Hondo, Fondo pantanoso del valle Q. La Sarna, cabeceras Rio Cusiana. Turbera con drenaje continuo.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3775854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3775854","Magnoliopsidae","NL-L3775854",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3776913","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Bekker RP",NA,"1983","01","01","Southern America","Colombia",NA,"Cundinamarca Páramo de Laguna Verde, 70km N de Bogotá. Páramo prop. dicho de gramíneas en pajonal con turberas de Sphagnum y Aragoa abietina.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3776913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3776913","Magnoliopsidae","NL-L3776913",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3778126","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Eleocharis","stenocarpa","Eleocharis stenocarpa","Svenson","Dierikx L; Kaandorp M",NA,"1985","05","01","Southern America","Colombia",NA,"Cundinamarca, Parque Nacional Natural Chingaza; cabeceras Quebrada Chuza con la Laguna Seca (ca.3600 m ); paramo humedo con Chusquea spp. y Calamagrostis effusa.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3778126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3778126","Magnoliopsidae","NL-L3778126",NA,NA,NA,NA,NA,NA,NA,NA,NA
