"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","51757","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","latilacunosa","Scleria latilacunosa","Kük.","C. L. Gilly","type","E. H. G. Ule","8065","1909","07","South America","Brazil","Roraima","Campo der Serra do Mel, Surumu","sheet","Herbarium Brasiliense <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051757","NY00051757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","636673","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.",NA,NA,"B. J. Pickel","2798","1933","08","South America","Brazil","Pernambuco","In wet place, Tapera.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636673","NY00636673_01","24","-35.18","-8.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00939591","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.","A. C. Araújo",NA,"W. R. Anderson","8027","1973","04","South America","Brazil","Goiás","10 km by road N of Cristalina. Serra dos Cristais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939591","NY00939591_01","03","-47.68","-16.72","Cristalina","1080","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 03:43:00-03","NY","NYBG","661322","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis",NA,NA,NA,"G. Davidse","3921","1973","11","South America","Venezuela","Apure","42 km NE of Mantecal along hwy. to San Fernando de Apure.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00661322",NA,"09",NA,NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 16:12:00-03","NY","NYBG","661320","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis",NA,"B. De Wilde",NA,"E. Asplund","15596","1955","03","South America","Ecuador","Guayas","Daule, pasture.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00661320",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 03:45:00-03","NY","NYBG","661321","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis",NA,"M. T. Strong",NA,"M. J. Jansen-Jacobs","4692","1995","07","South America","Guyana",NA,"Rupununi. Manari.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00661321",NA,"30","-59.77","3.43",NA,"80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939592","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.","A. C. Araújo",NA,"W. R. Anderson","10097","1973","05","South America","Brazil","Goiás","Serra Dourada, ca. 15 km (straight line) S of Goiás Velho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939592","NY00939592_01","11","-50.1333","-16.06885","Goiás","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:17-03","EAO","IAN","113060","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.","Schneider, L",NA,"Oliveira, E","2118","1962","07","Southern America","Brasil","Pará","Granja Estrela, R. Anajatú, Marajó.",NA,NA,"IAN113060",NA,"06",NA,NA,NA,NA,NA,"2018","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:18-03","EAO","IAN","182889","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.","Schneider, L",NA,"Mehlig, U","166","2005","06","Southern America","Brasil","Pará","Ajuruteua, Dunas e campos ao Noroeste da vila Bonifácio. Campo úmido na margem de uma duna",NA,NA,"IAN182889",NA,"01","-46.620278","-0.835278","Bragança",NA,NA,"2018","09","-46.620278","-0.835278",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:18-03","EAO","IAN","198604","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","reticularis","Scleria reticularis","Michx.","Braga-Silva, LL",NA,"Gil, A","792","2017","07","Southern America","Brasil","Pará","Estrada Cametá-Juaba, ca. 14,5 Km de Cametá, à ca. 750 m da estrada, à esquerdo, borda da trilha. Em solo arenoso, bastante humoso.",NA,"Inflorescência esverdeada. Frutos de verdes a alvos. Pouco comum.","IAN198604",NA,"06","-49.5725","-2.352778","Cametá",NA,NA,"2018","01","-49.5725","-2.352778","20",NA,NA,NA,NA,NA,NA,NA
