"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02736632","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeda","9635","2009","03","01","South America","Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaco","-43.58083","-18.23583","1211","1211","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244525' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02736616","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeda","9089","2005","09","19","South America","Brazil","Minas Gerais","Serro","19 km south of the main plaza in Diamantina on the road to São Gonçalo do Rio das Pedras","-43.35942","-18.35942","1130","1130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244504' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145258","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeda","8937","2004","11","24","South America","Brazil","Minas Gerais",NA,"Diamantina plateau. 11 km north of Guinda on the road to São João da Chapada.","-43.70969","-18.16906","1070","1070","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307275' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145258","F. Almeda","NY01145258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02736631","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeda","9604","2009","02","28","South America","Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaço. 4 km west of Hwy MG-220 along the south side of road to Conselheiro Mata.","-43.71281","-18.2764","1409","1409","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244524' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02736608","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeda","9544","2009","02","27","South America","Brazil","Minas Gerais","Diamantina",NA,"-43.59378","-18.2175","1401","1401","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244436' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","228692","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228692",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:31:36-03","MN","R","9361","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Glaziou, A.F.M.","19266","1886","01","26",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Plantas do Brasil Central","R000009361","Almeda, F., Martins, A.B.","R000009361_001",NA,"2000","101169","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:39:25-03","UFJF","CESJ","63669","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","F. Almeida; A.B. Martins; R. Belinello; M.B. Almeda","9100","2005","09","19","América do Sul","Brasil","Minas Gerais","Diamantina","13 km South of the main plaza in Diamantina on the road to São Gonçalo do Rio das Pedras. Elev. 1060m. Lat.: 18º18.884'S; Lon.: 43º33.072'W.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Sandy seasonally wet areas bordered by campo rupestre. Sympatric with L. adamantium, L. bradeana, L. chamaepitys, L. imbricata, and L. mucorifera.","CESJ063669","F. Almeda",NA,NA,"2005","101169","auto","01","29",NA,NA,NA,NA,NA
"9","2021-03-01 16:34:07-03","UNICAMP","UEC","168432","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Romero, R; Castro, NM; Simão, DG; et al.","8481","2011","05","18",NA,"Brazil","Minas Gerais","Diamantina","Parque Estadual do Biribiri. Ponto 5 (Trilha das cachoeiras). Ca. 3 Km da portaria.&nf;Campo rupestre.","-43.618333","-18.210278","1175","1175",NA,"Arbusto ca. 1,5 m. Cálice verde; corola rosa Pink; estames maiores rosados; apêndice ventral amarelo, estames menores amarelos; conectivo avermelhado.","UEC091081","Martins, AB","UEC091081",NA,"2012",NA,NA,"08",NA,"-43.618333","-18.210278",NA,NA,NA
"10","2021-03-01 16:34:07-03","UNICAMP","UEC","175992","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9089","2005","09","19",NA,"Brazil","Minas Gerais","Serro","19km south of the main plaza in Diamantina on the road to São Gonçalo do Rio das Pedras.","-43.365694","-18.365694","1130","1130",NA,"Openly branched shrub to 3m tall with fissured bark on the lower trunk. Flowers 8-merous based on calyx lobe number. Local.; Disturbed cerrado vegetation.","UEC023895","Almeda, F","UEC023895",NA,"2009",NA,NA,"01","29","-43.365694","-18.365694",NA,NA,NA
"11","2021-03-01 16:34:07-03","UNICAMP","UEC","176345","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Souza, VC; Sampaio, D; Araújo, AO","77864","2002","02","25",NA,"Brazil","Minas Gerais","Diamantina","Estrada para Araçuaí, ca. 2km de Diamantina, Campo rupestre","-43.593611","-18.216944","1300","1300",NA,"Subarbusto, ca. 1m alt.; pétalas róseas.","UEC029374",NA,"UEC029374",NA,NA,NA,NA,NA,NA,"-43.593611","-18.216944",NA,NA,NA
"12","2021-03-01 16:34:07-03","UNICAMP","UEC","177313","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9100","2005","09","19",NA,"Brazil","Minas Gerais","Diamantina","13km south of the plaza in Diamantina on the road to São Gonçalo dos Rios das Pedras.","-43.552","-18.324556","1060","1060",NA,"Erect rigidly branched shrub only seen in fruit . Local and uncommon growing mostly near or on rocky subtrate.; Sand seasonally wet areas bordered by campo rupestre. Sympatric with L. adamantium, L. bradeana, L. chamaepitys, L. imbrica","UEC002941","Almeda, F","UEC002941",NA,"2009",NA,NA,"01","29","-43.552","-18.324556",NA,NA,NA
"13","2021-03-01 16:34:07-03","UNICAMP","UEC","169306","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9604","2009","02","28",NA,"Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaço, 4 km west of Hwy MG-220 along the south side of road to Conselheiro Mata.","-44.191139","-18.4675","1409","1409",NA,"Little-branched shrub to 0,7 m tall. Flower 6-merous. Petals deep magenta-pinkish. Androecium yellow. Locally common.&nf;With Lavoisiera imbricata, L. mucorifera, L. chamaepitys, L. humilis, L. adamantium, L. crassifolia.; Campo rupestre","UEC063157",NA,"UEC063157",NA,NA,NA,NA,NA,NA,"-44.191139","-18.4675",NA,NA,NA
"14","2021-03-01 16:34:07-03","UNICAMP","UEC","170260","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9635","2009","03","01",NA,"Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaço. &nf;Nature trail on property of Pousada Real (formerly Pousada Jardim da Serra) on a ridge just east of the city of Diamantina off of Estrada do Cruzeiro Luminosa.&nf;Campo rupestre vegetation.","-43.968944","-18.3995","1211","1211",NA,"Shrub 0.5-0.7 m tall but one plant seen to 2 m tall. Petals 6, magenta. Androecium yellow. Locally common.","UEC010482",NA,"UEC010482",NA,NA,NA,NA,NA,NA,"-43.968944","-18.3995",NA,NA,NA
"15","2021-03-01 16:34:07-03","UNICAMP","UEC","170695","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9544","2009","02","27",NA,"Brazil","Minas Gerais","Diamantina","Cadeia do Espinhaço. Large rock outcrop on right-hand side of road from Diamantina to Mendanha at Km 585 and the Caminho dos Escravos.&nf;Campo rupestre vegetation.","-43.993861","-18.370861","1401","1401",NA,"Rigidly branched shrub to 1.5 m tall. Petals 6, bright magenta. Large anthers pale yellow. Small anthers golden yellow like the appendages. Locally common.&nf;With Lavoisiera alba, L. confertiflora, L. imbricata, L. mucorifera.","UEC010006",NA,"UEC010006",NA,NA,NA,NA,NA,NA,"-43.993861","-18.370861",NA,NA,NA
"16","2021-03-01 16:34:07-03","UNICAMP","UEC","115905","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Feres, FR; Faria, AD; Aona, LYS; Mansanares, ME; Mendonça, TG; Belinello, R","98/62","1998","12","18",NA,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina-Biri-Biri, Ca. 10Km de Diamantina, afloramento rochoso.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto ca. 50cm alt. entre rochas, cálice verde claro, corola magenta.","UEC012989","Martins, AB","UEC012989",NA,"2013","101169","auto",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:34:07-03","UNICAMP","UEC","64924","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Leitão Filho, HF; et al.","27864","1992","12","10",NA,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Medanha","-43.6002998352051","-18.2493991851807",NA,NA,NA,"arbusto de 50,0 cm,flores lilás.; Cerrado em pedras do riacho.","UEC022942","Martins, AB","UEC022942",NA,"2013","101169","auto",NA,NA,NA,NA,NA,NA,NA
"18","2004-08-09 17:40:17-03","MNHN","RECOLNAT_MNHN_P","P00245359","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00245359' target='other'> <mi>dwc_moreinfo</mi></a>","P00245359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19266",NA,NA
"19","2004-08-09 17:40:17-03","MNHN","RECOLNAT_MNHN_P","P00245360","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00245360' target='other'> <mi>dwc_moreinfo</mi></a>","P00245360","Wurdack",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-11-03 01:27:49-02","MNHN","RECOLNAT_MNHN_P","P00723521","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723521' target='other'> <mi>dwc_moreinfo</mi></a>","P00723521","Wurdack","P00723521_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-12-15 13:20:25-02","MNHN","RECOLNAT_MNHN_P","P02272870","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Riedel",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"ph","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02272870' target='other'> <mi>dwc_moreinfo</mi></a>","P02272870","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1209",NA,NA
"22","2015-09-04 21:15:15-03","MNHN","RECOLNAT_MNHN_P","P05317886","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Glaziou, A.",NA,"1892","4","4",NA,"Brasil","Minas Gerais",NA,"Brésil (Minas) Serra dos Cristaes, prés de Diamantina. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317886' target='other'> <mi>dwc_moreinfo</mi></a>","P05317886","Romero","P05317886_01",NA,NA,NA,NA,NA,NA,NA,NA,"19266",NA,NA
"23","2020-12-11 11:38:10-03","UFMG","BHCB","66859","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Barreto, HLM","9375","1937","11","03","Southern America","Brasil","Minas Gerais","Diamantina","Arranca Rabo","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto 1,5m, frequência regular; Nas fendas de rochas","BHCB041105",NA,"BHCB041105",NA,"1937","101169","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:38:10-03","UFMG","BHCB","198110","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Faria, JEQ; Carvalho-Silva, M; Mendes, VC","6215","2016","07","07","Southern America","Brasil","Minas Gerais","Diamantina","Estrada para a Formação, próximo à moto pista Gabriela","-43.6002998352051","-18.2493991851807","1219","1219",NA,NA,"BHCB198110",NA,NA,NA,"2020","101169","auto","02",NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","3298963","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Robert M. King|Luther E. Bishop","King 8556","1981","1","19","South America","Brazil","Minas Gerais",NA,"Road from Diamantina NE to Mendanha ca. 4 km from Diamantina",NA,NA,"1158.24000000",NA,NA,NA,NA,"Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-06-10 10:11:07-03","FZB-BH","BHZB","12290","S","Plantae",NA,NA,"Melastomataceae","Lavoisiera #?#Cf.","rigida.","Lavoisiera #?#Cf. rigida.",NA,"Rezende, S.G.","6222","2017","07","10",NA,"Brasil","MG","Serro","Estrada próximo a Milho Verde","-43.3793983459473","-18.604700088501","1200","1200",NA,"Unicata",NA,NA,NA,NA,NA,"37754","auto",NA,NA,"43°29'29","18°26'91",NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","98836","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn. in Mart.","L. Riedel","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"Protologue cites Riedel 1209. As annotated (J.J. Wurdack, 1968), Probable isotype of L. rigida Cogn., matching perfectly Riedel 1209 (LE).","US01050288",NA,"US01050288_01","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"28","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn. in Mart.","L. Riedel","1209","1824","12",NA,"South America","Brazil",NA,NA,"In lovis sax obi par Tejuco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"29","2020-09-12 05:00:02-03","US","US","3737950","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn. in Mart.","F. Almeda, A. B. Martins, P. W. Fritsch, J. L. Aranha, C. Bush & R. Belinello","9544","2009","2","27","South America - Neotropics","Brazil","Minas Gerais",NA,"Municipio Diamantina. Cadeia do Espinhaco. Large rock outcrop on right-hand side of road from Diamantina to Mendanha at Km 585 and the Caminho dos Escravos.","-43.5938","-18.2175","1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"30","2019-11-13 11:25:20-03","USP","SPF","219469","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","rigida","Lavoisiera rigida","Cogn.","Chukr, NS","818","2010","11","14",NA,"Brasil","Minas Gerais","Passos",NA,"-46.271083","-20.651611",NA,NA,NA,NA,"SPF00219469",NA,NA,NA,NA,NA,NA,NA,NA,"-46.271083","-20.651611",NA,NA,NA
