"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","fieldNumber","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00923874","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","T. B. Cavalcanti","T. B. Cavalcanti","220","1989","02","16","South America","Brazil","Minas Gerais","Diamantina","BR-367 - Conselheiro Mata; 21 km","-43.88","-18.3","1130","1130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923874","NY00923874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01405321","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","T. B. Cavalcante","H. S. Irwin","27908","1970","03","19","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 18 km E. of Diamantina","-43.5366667","-18.1838","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2252087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405321","NY01405321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:38:32-03","UFJF","CESJ","67646","PreservedSpecimen","Plantae","Angiosperma",NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig",NA,"G. Hatschbach; M. Hatschbach; A.C. Cervi; J. Cordeiro","51067","1987","03","18","América do Sul","Brasil","Minas Gerais","Datas","ligação rodovia BR-259 a Costa Sena","-43.6557998657227","-18.4456005096436","1150","1150",NA,"Arbusto ramoso, 1m, flores rosadas. Campo rupestre, afloramentos rochosos.","CESJ067646","CESJ067646","Isotypus","23532","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:33:12-03","UNICAMP","UEC","197979","S","Plantae","Magnoliopsida",NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","Cavalcanti, TB","Irwin, HS; Fonseca, SF; Sousa, R; Reis dos Santos, R; Ramos, J","27908","1970","03","19",NA,"Brazil","Minas Gerais",NA,"18km de Diamantina",NA,NA,"110","110",NA,"Corolla magenta, stamens yellow. Shrub to ca. 1,5m tall; Rocky summits with soil-filled crevices and small areas of white sand","UEC156451","UEC156451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:20-03","MBM","MBM","115605","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","Lourteig, A.","Hatschbach, G.; Hatschbach, M.; Cervi, A.C.; Cordeiro, J.; Hatschbach, M.; Cervi, A.C.; Cordeiro, J.","51067","1987","03","18","Southern America","Brazil","Minas Gerais","Datas","Ligação da Rod. BR 259 a Costa Sena","-43.6557998657227","-18.4456005096436","1150","1150",NA,"Arbusto ramoso, 1m, flor rosada. Campo rupestre, afloramentos rochosos; Arbusto ramoso 1m, flor rosada.; Campo rupestre, afloramentos rochosos.","MBM115605","MBM115605","ISOTYPE","23532","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:32:20-03","MBM","MBM","248576","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","Cavalcanti, T.B.","Cavalcanti, T.B.; et al.; et al.","220","1989","02","16","Southern America","Brazil","Minas Gerais","Diamantina","BR-367, Conselheiro Mata; 21 km.","-43.6002998352051","-18.2493991851807","1130","1130",NA,"Campo rupestre, substrato rochoso, montanhoso, raro","MBM248576","MBM248576",NA,"101169","auto","1993",NA,NA,NA,NA,NA,NA,NA
"7","2016-01-18 18:24:40-02","MNHN","RECOLNAT_MNHN_P","P01901870","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig","Lourteig","Hatschbach, G.",NA,"1987","3","18",NA,"Brésil",NA,NA,"Ligaçao Rod. BR-259 a Costa Sena (mun. Datas) Minas Gerais",NA,NA,"1150",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901870' target='other'> <mi>dwc_moreinfo</mi></a>","P01901870","P01901870_01","holotype",NA,NA,NA,"51067",NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:37:21-03","UFMG","BHCB","107216","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig",NA,"Almeida, TE; Heringer, G; Lara, DS; Costa, ACV da","877","2007","04","29","Southern America","Brasil","Minas Gerais","Bocaiúvas",NA,"-43.772944","-17.902083","128","128",NA,"Arbusto no campo rupestre. Sépalas verdes; arbusto, campo rupestre, sépalas verdes. prensado em álcool","BHCB004371",NA,NA,NA,NA,"2013",NA,"06","10","-43.772944","-17.902083",NA,NA
"9","2020-12-11 11:37:21-03","UFMG","BHCB","197522","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig",NA,"Mello-Silva, R de; Pirani, JR; Calió, MFA; Lepis, KB; Riina, R; Lovo, J","2382","2004","01","19","Southern America","Brasil","Minas Gerais","Congonhas do Norte","Serra Talhada, Fazenda Vereda do Cambota, alto da Serra do João Camilo. 6,8 km sudoeste da estrada Congonhas do Norte - Gouveia, entrada a 3,7 km noroeste de Congonhas do Norte.","-43.4509","-18.4839","1333","1333",NA,"Arbusto até 1,5 metros. Folhas discolores, verde-claras na face abaxial. Pétalas cor de rosa. Anteras amarelo-claras. Seis estames.; Entre rochas. Grandes afloramentos rochosos com lajeados planos.","BHCB197522",NA,NA,NA,NA,"2007",NA,"03",NA,"-43.4509","-18.4839",NA,NA
"10","2020-12-11 11:37:21-03","UFMG","BHCB","189797","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","minasensis","Diplusodon minasensis","Lourteig",NA,"Quaresma, AS; Oliveira, CT","592","2017","05","17","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro","Área PSSE 318","-43.316389","-19.374722",NA,NA,NA,"Subarbusto ca. 60 cm alt. Flores amarelas.; Campo rupestre ferruginoso.","BHCB189797",NA,NA,NA,NA,"2017",NA,"06","29","-43.316389","-19.374722",NA,NA
