"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus"
"1","2019-02-15 11:47:06-02","IPA","IPA","65436","S","Plantae","Plantae","Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Dalcin, E.C.","1989","05","05","Martinelli, G.; et al.; et al.","13126","1988","10","06","Southern America","Brasil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, Pedra do Desengano, Campus de Altidude.","-42.0080986022949","-21.9552993774414","30526","Saxicola; heliofila; trepadeira com gavinhas, sobre arbusto e vegetação rasteira; folhas na face ventral verde com nervuras alvacentas, face dorsal verde levemente avermelhada com nervuras vinosas, peciolos vibnosos, estipulas idem as","IPA0065436","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:37:35-03","UNICAMP","UEC","107577","S","Plantae","Magnoliopsida","Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Bernacci, LC","2005","05","28","Feres, FR; Mansano, VF; Pansarin, ER; Belinello, R","99/74","1999","06","16",NA,"Brazil","Rio de Janeiro","Santa Maria Madalena","Pedra Du Bois","-41.991389","-21.943333",NA,"Fruto imaturo verde.","UEC054705",NA,"-41.991389","-21.943333","UEC054705",NA,NA,NA,NA,NA
"3","2020-06-29 09:31:44-03","UFRRJ","RBR","46446","S","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco",NA,NA,NA,NA,"T.C. Alves","95","2019","05","01",NA,"Brasil","Rio de Janeiro","Petrópolis","Serra dos Órgãos. PARNASO","-43.078889","-22.481389",NA,NA,"RBR00046446",NA,"43º4'44''W","22º28'53''S","RBR00046446","1766","1766",NA,NA,NA
"4","2021-02-11 17:21:07-03","UFPR","UPCB","20022","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Cervi, A.C.",NA,NA,NA,"Martinelli, G.","12004","1986","12","17",NA,"Brasil","Rio de Janeiro","Santa Madalena","Parque Estadual do Desengano",NA,NA,NA,"Folha discolor com nervuras na face dorsal vinosas..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:21:07-03","UFPR","UPCB","80023","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Pessoa, S. de V. A.","1986",NA,NA,"Farney, C.","1202","1986","09","17",NA,"Brasil","Rio de Janeiro","Santa Maria Magdalena","Parque Estadual do Desengano, Pedra do Desengano, Campos de Altitude entre 1500 e 1650msm.",NA,NA,NA,"Trepadeira; heliófila; folhas discolores verdes, margens e nervuras inferiores vermelhas. Estéril..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:21:07-03","UFPR","UPCB","80026","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Dalcin, E. C.","1989","05","05","Martinelli, G.","13162","1988","10","06",NA,"Brasil","Rio de Janeiro","Santa Maria Magdalena","Parque Estadual do Desengano. Vertente N. W. Elev.: 1760m",NA,NA,NA,"Campos de Altitude. Saxícola, heliófila; trepadeira com gavinha, sobre musgos e vegetação rasteira; folhas na face ventral verde com nervuras alvcentas, face dorsal verde levemente avermelhada com nervuras vinosas, pecíolos vinosos, espículas idem as fol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:21:07-03","UFPR","UPCB","80032","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco",NA,NA,NA,NA,"Martinelli, G.","12004","1986","12","17",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano. Pedra do Desengano, vertente S. E.","-42.0080986022949","-21.9552993774414","30526","Campos de Altitude da floresta pluvial tropical costeira. Trepadeira, volúvel, com gavinhas; caule rimoso; heliófila, crescendo sobre arbustos e rochas; folhas discolores com nervura na face dorsal vinosa; flores verde-alvacetas; frutos imaturos verde-pá",NA,"auto",NA,NA,NA,"1400","1500",NA,NA,NA
"8","2021-02-11 17:21:07-03","UFPR","UPCB","80027","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco",NA,NA,NA,NA,"Farney, C.","1421","1987","06","25",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Pedra Dubois. Elev.: 1100-1280m","-42.0080986022949","-21.9552993774414","30526","Mata nebular, afloramento rochoso. Trepadeira, ciófila, frequente; Folhas discolores; Gavinhas avermelhadas. Estéril..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:21:07-03","UFPR","UPCB","80028","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Pessoa, S. de V. A.","1987","08","07","Lima, H.C.de","3010","1987","06","25",NA,"Brasil","Rio de Janeiro","Santa Maria MAdalena","Pedra Dubois. Elev.: 800-1280m","-42.0080986022949","-21.9552993774414","30526","Mata Secundária de Encosta e Campos de Altitude. Trepadeira com frutos jovens esverdeados. Frequente na Mata Nebular..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:21:07-03","UFPR","UPCB","80024","PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","imbeana","Passiflora imbeana","Sacco","Pessoa, S. de V. A.","1985","04","25","Pessoa, S.V.A.","23","1985","04","16",NA,"Brasil","Rio de Janeiro","Macaé","Pico do Frade. Elev.: 1300m.","-41.7868995666504","-22.3708000183105","47209","Beira de encosta. Trepadeira, heliófila; folhas verde discolores, pecíolo rubro, 1 par de glandulas verde-claro, estípulas reniformes verde-claro, botões verde, 3 brácteas membranáceas com máculas rubras..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
