"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00939540","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","micrococca","Scleria micrococca","(Liebm.) Steud.","W. R. Anderson","9832","1973","05","06","South America","Brazil","Mato Grosso","Ca. 12 km (straight line) ENE of Barra do Garças","-52.15692","-15.8436","480","480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939540","NY00939540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00939541","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","micrococca","Scleria micrococca","(Liebm.) Steud.","D. Philcox","4695","1968","04","02","South America","Brazil","Mato Grosso","c. 11 km W. of km. 90, Xavantina - Aragarças road. Vale dos Sonhos.","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939541","NY00939541_01","T. M. Koyama","Barra do Garças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01806179","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","tenella","Scleria tenella","Kunth","G. T. Prance","28395","1983","08","31","South America","Venezuela","Bolívar","Kurun-tepuí, 17 km. E of Canaima","-62.72","6.23","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2140187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806179","NY01806179_01","G. Davidse","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","51767","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","valdemuricata","Scleria valdemuricata","Kük.","E. H. G. Ule","8063",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051767","NY00051767_01",NA,NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00939642","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","valdemuricata","Scleria valdemuricata","Kük.","L. B. Damazio","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais","Serra de Antonio Pereira.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939642","NY00939642_01","A. C. Araújo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00939643","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","valdemuricata","Scleria valdemuricata","Kük.","W. R. Anderson","7743","1973","03","22","South America","Brazil","Goiás","3 km NE of São João da Aliança. Serra Geral do Paraná.","-47.5142","-14.681","1070","1070","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939643","NY00939643_01","M. Alves","São João d'Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:11-03","UNESP-IBB","BOTU","10015","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","tenella","Scleria tenella","Kunth","Janssen, A.","65","1970","12","23",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"BOTU010015",NA,NA,"Humaitá",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:17-03","EAO","IAN","142008","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","micrococca","Scleria micrococca","(Liebm.) Steud.","sc","s.n.","1962","06","08",NA,"Guiana Francesa",NA,NA,NA,NA,NA,NA,NA,NA,"IAN142008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:17-03","EAO","IAN","87120","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","micrococca","Scleria micrococca","(Liebm.) Steud.","Smith, GS","1289","1950","07","28",NA,"Colômbia",NA,"Open, formely cultivated field.",NA,NA,NA,NA,NA,NA,"IAN087120",NA,"Idrobo-Muñoz, JM",NA,NA,NA,NA,"1952",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:17-03","EAO","IAN","89439","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","micrococca","Scleria micrococca","(Liebm.) Steud.","Black, GA","18522","1955","08","29","Southern America","Brasil","Amapá",NA,"-51.0663986206055","-0.366667002439499",NA,NA,NA,"Raízes roxas.","IAN089439",NA,"Eiten, LT","Macapá",NA,NA,NA,"1967","225229","auto",NA,NA,NA,NA,NA,NA
