"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","relatedCatalogItem","dayIdentified","fieldNumber","infraspecificEpithet","typeStatus","sex"
"1","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","987","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","Eduardo G. Gonçalves","2001","08","Eduardo G. Gonçalves; H.Lorenzi; L.S.C. de Cerqueira & J.Ribamar","EGG932","2001","08","23","Brasil","Amazonas","Guajará","Estrada na direção contrária a Cruzeiro do Sul","-72.5836029052734","-7.54582977294922","72º33,803''","7º32,'037'","136457","177","177","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495323","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","M. T. Madison",NA,NA,"R. S. Williams","601","1901","11","15","Bolivia",NA,NA,"San Buena Ventura",NA,NA,NA,NA,NA,"426.7","426.7",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690798' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00495323",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","870033","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"T. B. Croat","85583","2001","11","22","Brazil","Acre","Cruzeiro do Sul","Municipio Cruzeiro do Sul; along road between Cruzeiro do Sul and Rio Blanco, ca. 1 Km N of Km 92.","-72.2892","-7.7636",NA,NA,NA,"240","240",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690812' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00870033",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3776868","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"G. S. Bunting","3675","1969","07","06","Venezuela","Amazonas","Atures","Río Orinoco: alrededores de Síquita, sitio en la orilla derecha del río entre la Isla Castillito y San Fernando de Atabapo","-67.737368","4.152444",NA,NA,NA,"100","140",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057892' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776868",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3776856","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"E. P. Killip","28675","1929","08","28","Peru","Loreto",NA,"Balsapuerto (lower Río Huallaga basin)","-76.560088","-5.829056",NA,NA,NA,"150",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057880' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776856",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","192729","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","T. B. Croat",NA,NA,"B. C. Bennett","3520","1988","11","05","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. South of Centro","-78.17","-3.5",NA,NA,NA,"950","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492351' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00192729",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1187531","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"T. B. Croat","85501","2001","11","20","Brazil","Acre","Porto Walter","Municipio Porto Walter; Igarape Ouro Preto; disturbed forest, along stream.","-72.7439","-8.26861",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690813' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01187531","NY01187531_01",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3776860","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"J. M. Schunke-Vigo","3537","1969","10","20","Peru","San Martín","Mariscal Cáceres","Río Sión, sud oeste del Caserío de Sión",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057884' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776860",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3776857","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"G. S. Bunting","2496","1967","10","06","Venezuela","Táchira",NA,"carretera La Fría-La Grita, en Las Pavas, sitio al lado del Caño Agua Caliente inmediatemente arriba del empalme con la carretera San Cristóbal- La Fría",NA,NA,NA,NA,NA,"200","225",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057881' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776857",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","866011","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","T. B. Croat",NA,NA,"D. C. Daly","11772","2003","05","13","Brazil","Acre","Porto Walter","Basin of Rio Juruá, Rio Juruá-Mirim, left bank, near Extrema.","-72.9492","-8.195",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=585683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00866011",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1747325","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","M. T. Madison",NA,NA,"B. A. Krukoff","5151","1933","07","01","Brazil","Amazonas",NA,"Basin of Rio Jurua. near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01747325",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01132836","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","T. B. Croat",NA,NA,"B. C. Bennett","4454","1990","08","08","Ecuador","Napo",NA,"N side of Rio Napo, 30-45 minutes downriver from Ajuano, Huambuno","-77.5","-0.98",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492352' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01132836",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3776852","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"J. L. Luteyn","4768","1976","01","09","Colombia","Meta",NA,"llanos, 25 km S from Granada towards San Juan",NA,NA,NA,NA,NA,"730",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776852",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02692305","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.","Z. Cordero P.",NA,NA,"D. Cárdenas-López","42268","2011","07","28","Colombia","Caquetá","Belén de Los Andaquíes","vereda Los Ángeles, camino Los Ángeles-Las Verdes.","-75.86908333","1.591111111",NA,NA,NA,"550","750",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353184' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02692305","NY02692305_01",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3776865","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"S. F. Smith","548","1985","10","03","Peru","Madre de Dios",NA,"Swamp Trail Hectare Plot, down the Swamp Trail, Explorer's Inn, near the confluence of Río Tambopata & Río La Torre, 39 km. SW. of Puerto Moldonado","-69.33","-12.83",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057889' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776865",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3776858","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"G. S. Bunting","2496","1967","10","06","Venezuela","Táchira",NA,"carretera La Fría-La Grita, en Las Pavas, sitio al lado del Caño Agua Caliente inmediatemente arriba del empalme con la carretera San Cristóbal- La Fría",NA,NA,NA,NA,NA,"200","225",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776858",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3776851","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Anthurium","kunthii","Anthurium kunthii","Poepp.",NA,NA,NA,"J. Salick","7188","1984","07","05","Peru","Pasco","Oxapampa","Central Selva, Palcazu Valley:Iscozacin. Flood plain forest along the Palcazu River","-75.150255","-10.184513",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4057875' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY03776851",NA,NA,NA,NA,NA,NA,NA
