"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942205","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","R. de Lemos Fróes","1802","1932","07","18","South America","Brazil","Maranhão","Maracussime River Region. Caxoeira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942205","NY00942205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2099577","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","B. V. Rabelo","3729","1987","11","03","South America","Brazil","Pará","Rio Anajás. Ilha do Marajó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238878' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099577","NY02099577_01","-49.8","-0.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2099594","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","J. M. Poole","2100","1979","07","21","South America","Brazil","Amazonas","NW of São Gabriel, near mouth of the Rio Uaupés.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238938' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099594","NY02099594_01","-67.3404837","0.0917208","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2099590","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","S. R. Hill","12877","1983","06","27","South America","Brazil","Amazonas","W side of rio Canumã (black water) across from Canumã","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238902' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099590","NY02099590_01","-59.1","-4.033333","Borba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02099592","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","N. T. da Silva","1927","1969","04","28","South America","Brazil","Pará","Jarí, margen do Rio Jarí, entre Monte Dourado e São Militão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238936' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099592","NY02099592_01","-52.5338101","-0.86071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2099595","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","S. A. Mori","21754","1991","07","17","South America","Brazil","Amazonas","Rio Solimoes Lago Janauaca. Growing in blackwater.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238939' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099595","NY02099595_01","-60.283333","-3.466667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2099576","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","M. R. dos Santos","385","1978","11","23","South America","Brazil","Pará","Monte Dourado, Beiradao. Estrada da caixa d'agua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238877' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099576","NY02099576_01","-52.5817","-1.52333","Almeirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2099579","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","S. A. Mori","22472","1992","06","24","South America","Brazil","Amazonas","Rio Negro. Paraná do Jacaré","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238880' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099579","NY02099579_01","-61.216667","-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942206","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","C. E. O. Kuntze","s.n.","1892",NA,NA,"South America","Brazil","Mato Grosso",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942206","NY00942206_01",NA,NA,NA,"R. L. A. M. Gürke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02099583","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","E. P. Killip","30467","1929","11","03","South America","Brazil","Pará","Ilha do Mosqueiro, near Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238885' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099583","NY02099583_01 NY02099583_02","-48.3828","-1.1458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2099575","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","N. T. da Silva","57797","1963","12","03","South America","Brazil","Pará","Margen do R. Guamá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238876' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099575","NY02099575_01","-47.6124072","-1.6053602","Belém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2099596","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","J. Jangoux","1655","1981","08","06","South America","Brazil","Para","Rio Curuá, Pacoval. ca. 1 hora de barco a motor mais 1/2 hr de caminhada acima de Pacoval.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238940' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099596","NY02099596_01","-55.08","-1.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02339749","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","B. V. Rabelo","194","1979","11","16","South America","Brazil","Amapá","Estrada do Matapi.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518670' target='other'> <mi>dwc_moreinfo</mi></a>","NY02339749","NY02339749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","386874","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","bifurcatus","Hibiscus bifurcatus","Cav.","D. A. Folli","654","1987","06","08","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Est. JUEIRAA VERMELHA, Final da Estrada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386874","NY00386874_01","-40.0719","-19.3911","Linhares","P. A. Fryxell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
