"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:26:09-03","UNESC","CRI","12167","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","Verdi, M","2009","01","12","Verdi, M.","1314","2009","01","12","Brasil","Santa Catarina","Pouso Redondo","Corruchel.","-49.942222","-27.334444","49º56'32''W","27º20'4''S","616","616","CRI010345","CRI010345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:42-03","E","E","262042","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum",NA,NA,NA,NA,NA,"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.",NA,"1976","08","21","BR","Sao Paulo",NA,"Serra do Mar above Ubatuba",NA,NA,NA,NA,NA,NA,"E00262042",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:270424","<a href=http://data.rbge.org.uk/herb/E00262042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","669818","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","K. E. Roe",NA,NA,NA,"P. K. H. Dusén","17477","1915","12","26","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"740","740","NY00669818",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504428' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669817","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","K. E. Roe",NA,NA,NA,"P. K. H. Dusén","11051","1911","01","02","Brazil","Paraná",NA,"Imbituva - Prudento-polis.",NA,NA,NA,NA,NA,NA,"NY00669817",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504427' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00697254","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee",NA,NA,NA,"Y. E. J. Mexia","4816","1930","06","28","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Road on west side of Chacha Valley","-42.860644","-20.766686",NA,NA,"675","675","NY00697254",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832416' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00697255","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee",NA,NA,NA,"G. G. Hatschbach","65209","1996","07","06","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397",NA,NA,"900","1000","NY00697255",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832428' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669810","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee",NA,NA,NA,"P. Carvalho","52","1972","10","11","Brazil","Paraná","Irati","Colégio Estadual Florestal de Irati.","-50.6508","-25.4672",NA,NA,NA,NA,"NY00669810",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504419' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00697253","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee",NA,NA,NA,"Y. E. J. Mexia","5376","1930","11","28","Brazil","Minas Gerais","Viçosa","Road to Barroso; São Domingo","-42.8817","-20.7542",NA,NA,"730","730","NY00697253",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832412' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669820","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","L. B. Smith",NA,NA,NA,"R. Reitz","17428","1965","12","12","Brazil","Paraná","Balsa Nova","Rodovia do Café, km 35.","-49.6356","-25.5842",NA,NA,"900","900","NY00669820",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504426' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00722958","PreservedSpecimen","Plantae","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","J. R. Stehmann; J. Semir",NA,NA,NA,"G. Eiten","7884","1966","11","22","Brazil","Rio de Janeiro","Rio Claro","5.4km along road south of village of Lidice.","-44.25","-22.87",NA,NA,"850","850","NY00722958",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858379' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA
