"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","823012","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.","S. A. Mori","A. M. V. de Carvalho","708","1981","05","23","South America","Brazil","Bahia","Salvador","Ca. 30 kma N do centro da cidade. Estrada para o aeroporto. Arredores de Itapuã.","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823012","NY00823012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823010","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.","G. Bromley","R. M. Harley","20888","1980","03","24","South America","Brazil","Bahia",NA,"Serra do Sincorá. NW face of Serra de Ouro to the East of the Barra da Estiva - Ituaçú road, about 9 km S of Barra da Estiva. F6.","-41.27","-13.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823010","NY00823010_01","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04029720","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.",NA,"R. Guillén","7176","1994","11","23","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff M. Serrania de Caparuch. Senda de GEOBOL, encima de la meseta, aproximadamente 15 km al SE de Los Fierros","-60.7614","-14.5583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4333120' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029720",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","823011","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.","V. W. Steinmann","R. Callejas Posada","1735","1983","11","12","South America","Brazil","Bahia","Salvador","3 km de la ciudad de Salvador. Al oeste del aerouerto.","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823011","NY00823011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","823009","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.","A. Radcliffe-Smith","R. M. Harley","15684","1974","01","30","South America","Brazil","Bahia",NA,"Serra do Sincorá. N face of Serra de Ouro. 7 km S of Barra da Estiva on the Ituaçú road.","-41.33","-13.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823009","NY00823009_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:43:57-03","UNEB","HUNEB","1250","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.",NA,"França, F.","23103","1996","04","20",NA,"Brasil","Bahia","Itatim","Morro das Tocas.","-39.766667","-12.7",NA,"Encosta Rochosa de Inselberg.","HUNEB0001250",NA,"280","420","Dicotyledoneae","39W46'","12S42'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:38:16-03","EAO","IAN","171783","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.",NA,"Rodrigues, IA","s.n.","1999","09","24","Southern America","Brasil","Pará","Belém","Museu Goeldi, Campus , laboratório de Botânica, Área do jardim interno.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN171783",NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:38:16-03","EAO","IAN","182657","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.",NA,"Rodrigues, IA","s.n.","1999","09","24","Southern America","Brasil","Pará","Belém","Museu Goeldi, Campus.&nf;Laboratório de Botânica, área do jardim interno.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN182657",NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:38:16-03","EAO","IAN","35552","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.","Hoehne, FC","Ramos, JOC","5744","1940","10","24","Southern America","Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,"Arbusto","IAN035552","IAN035552 IAN035552_e",NA,NA,NA,NA,NA,"35136","auto","1940","12",NA,NA,NA,NA,NA
"10","2021-03-30 12:38:16-03","EAO","IAN","84440","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","Boiss.",NA,"Moraes, JC de","1088","1954","04","12","Southern America","Brasil","Pernambuco","Nazaré da Mata","Lugares baixos cultivado para cereais.","-35.2277984619141","-7.74167013168335",NA,"Árvore.","IAN084440",NA,NA,NA,NA,NA,NA,"9456","auto",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:14:29-03","UFBA","ALCB","029440","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Euphorbia","gymnoclada","Euphorbia gymnoclada","O. Kuntze","Oliveira, EC de","Oliveira, EC de; Alunos de Botânica III; Guedes, ML","05","1997","06","01","Southern America","Brasil","Bahia","Jauá",NA,NA,NA,NA,"Erva: ca. 30 cm. Planta áfila. Flores em ciátio, brácteas alvas e nectários florais.","ALCB053263",NA,NA,NA,NA,NA,NA,NA,NA,"1997","06",NA,NA,NA,NA,NA
