"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00933337","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","E. P. Nunes","s.n.","1979","11","14","South America","Brazil","Maranhão","Carolina","Br-230, entre Carolina e Riachao","-47.4692","-7.3331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933337","NY00933337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00933340","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","10798","1970","02","27","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. 35 km south of Lorêto, by main house of Fazenda Morros","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933340","NY00933340_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00933316","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","10470","1970","02","03","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. 35 km south of Lorêto next to main house of Fazenda Morros","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933316","NY00933316_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00933315","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","5406","1963","08","24","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. Ca. 100 meters S of main house of Fazenda Morros, about 35 km south of Lorêto.","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933315","NY00933315_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","686068","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","G. P. Lewis","J. G. Jardim","3459","2001","04","14","South America","Brazil","Bahia",NA,"Serra do Ramalho: Ca. 18 km da cidade, entrada pela Agrovila 10.","-43.75222222","-13.5105556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686068","NY00686068_01","510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00933314","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","5409","1963","08","25","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. Ca. 150 meters W of main house of Fazenda Morros, about 35 km south of Lorêto.","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933314","NY00933314_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","419357","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. E. Schatz","765","1983","02","24","South America","Brazil","Maranhão","Presidente Dutra","2km N of Presidente Dutra on Fazenda Sao Paulo","-44.47","-5.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419357","NY00419357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00933313","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","C. Devereux","3","1963","08",NA,"South America","Brazil","Maranhão","Lorêto","Fazenda Morros, ca. 35 km south of Loreto","-45.1408","-7.0844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933313","NY00933313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00933339","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","4861","1962","06","15","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 25-30 km south of Lorêto. At place called Sao Joao do Baixo, several km north of Faz. Lagoa. Along trail from Faz. Aldeia to Faz. Morros","-45.07","-7.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933339","NY00933339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00933336","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","E. T. Neto","2277","1996","12","18","South America","Brazil","Minas Gerais",NA,"Jaíba. Distrito de Irrigaçao do Jaíba- Reserva Legal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933336","NY00933336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","419359","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","B. A. S. Pereira","1659","1991","03","13","South America","Brazil","Bahia","Muquém","Margem esquerda do rio Sao Francisco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419359","NY00419359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","419358","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","R. M. Harley","21450","1980","04","17","South America","Brazil","Bahia",NA,"Basin of the Upper Sao Francisco River. Ca. 26km NE of Bom Jesus da Lapa on the road to Calderao. F4","-43.22","-13.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419358","NY00419358_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00933338","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby","R. C. Barneby","G. Eiten","10329","1970","01","16","South America","Brazil","Maranhão","Presidente Dutra","About 5 km west of city of Presidente Dutra","-44.49","-5.29","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933338","NY00933338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2793","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby",NA,"G. Eiten","3751","1962","03","23","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. 0.5 km W of main house of Fazenda Morros, about 35 km S of Lorêto. Alt. 300 m.","-45.1408","-7.0844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002793","NY00002793_01",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-19 15:44:34-03","UNEB","HUNEB","7132","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Mimosaceae","Mimosa","exalbescens","Mimosa exalbescens","Barneby",NA,"Queiroz, L.P.de","6129","2000","02","17",NA,"Brasil","Bahia",NA,"ca. 24 km de Ibotirama na BR-242.","-43.443333","-13.21",NA,NA,"HUNEB0007132",NA,NA,NA,NA,"Dicotyledoneae","43W26'36''","13S12'36''",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:40:04-03","EAO","IAN","104730","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","exalbescens","Mimosa exalbescens","Barneby","Rodrigues, WA","Magalhães, MG","6114","1953","11","20","Southern America","Brasil","Minas Gerais","Januária","4 km N da cidade; vasante do rio Sao Francisco.","-44.3616981506348","-15.4881000518799",NA,"Arbustos ate arvore 3-5,00m alto; flor alva.","IAN104730",NA,NA,NA,NA,NA,NA,NA,"1988","148972","auto",NA,NA,NA,NA,NA
