"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","522056","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","A. M. Amorim","2078","1997","07","16","South America","Brazil","Bahia","Una","Una Biological Reserve; Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana. Fazenda Jaqueiral, área do Canopy Worlk","-39.17","-15.17","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522056","NY00522056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3677243","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","L. Valenzuela Gamarra","8490","2007","01","22","South America","Peru","Cusco","Quispicanchi","Distrito Camanti, Yanamayo. Bosque secundario.","-70.76","-13.22416","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914234' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677243","NY03677243_01","F. A. Michelangeli","628","628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01164522","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","Collector unspecified","s.n.",NA,NA,NA,"South America",NA,NA,NA,"[Bolivia]",NA,NA,"sheet","[No collection label on sheet: collector, number and date unknown]; Perhaps Buchtien 946, Bolivia, Mapiri Region, San Carlos. [Note on sheet by J. J. Wurdack, 1973]; Probably a Buchtien plant from Bolivia [annotator unspecified] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398866' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164522","NY01164522_01","F. A. Michelangeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01855845","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","C. Kajekai","298","2006","03","16","South America","Ecuador","Morona-Santiago","Limón Indanza","Región de la Cordillera del Cóndor. Centro Shuar Maikuants. Al sur de la comunidad, alrededores del Río Akas. Suelo rojo arcilloso. Bosque alto, dosel 30 m. Bosque húmedo tropical.","-78.26083","-3.12916","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2145090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855845","NY01855845_01","R. Goldenberg","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02612713","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","M. Reginato","1287","2012","01","17","South America","Brazil","Bahia","Uruçuca","Serra do Conduru, trilha seguindo pela casa da Dona Dina","-39.1050598","-14.436592","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085098' target='other'> <mi>dwc_moreinfo</mi></a>","NY02612713","NY02612713_01","M. Reginato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01462576","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","J.-J. de Granville","16930","2005","02","23","South America","French Guiana",NA,NA,"Monts Kotika, plateau latéritique sommital.","-54.1861","3.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1704831' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462576","NY01462576_01","F. Crozier","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478290","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","G. W. Harling","24099","1985","04","13","South America","Ecuador","Zamora-Chinchipe",NA,"10 km E of Paquisha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478290","NY00478290_01","J. J. Wurdack","1400","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","478292","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","W. W. Thomas","9922","1993","05","13","South America","Brazil","Bahia","Belmonte","Barrolândia, Estação Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","-39.25","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478292","NY00478292_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2423369","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","P. Fiaschi","2051","2004","03","18","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo. Mata da torre do celular.","-39.115","-14.4997","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695732' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423369","NY02423369_01",NA,"380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3677381","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","clidemioides","Leandra clidemioides","(Naudin) Wurdack","L. Valenzuela Gamarra","9286","2007","03","20","South America","Peru","Cusco","La Convención","Distrito Echarate, Kepashiato, Puguientimari-Pomoreni. Bosque primario.","-73.2625","-12.68333","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914286' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677381","NY03677381_01","R. Goldenberg","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
