"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","162938","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch","holotype","H. S. Irwin","9285","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km. northwest of Veadeiros","-47.5097","-14.1325","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162938","NY00162938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:02-03","UFBA","ALCB","76334","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski, J; & Urbatsch",NA,"Cavalcanti, TB; Sinigaglia, C; Pereira-Silva, G","3507","2004","08","29","Southern America","Brasil","Goiás","Alto Paraíso","estrada Alto Paraíso - Colinas do Sul, 23km da GO 118","-47.695833","-14.130278","1220","1220",NA,"com 15 cm de altura. Flor amarela.; com afloramento rochoso. Relevo ondulado. Substrato solo arenoso.","ALCB024142",NA,"Silva, GH","2014","10","-47.695833","-14.130278",NA,NA,NA,NA,NA
"3","2020-12-21 16:15:12-03","MBM","MBM","138663","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urb.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","54606","1990","10","16","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO 327, 5-8 km Oeste de Alto Paraíso",NA,NA,"1200","1200",NA,"Campo rupestre da Chapada dos Veadeiros. Solo turfoso, úmido. Capítulos amarelos","MBM138663","MBM138663","Pruski, J.","1990",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-01 14:15:15-03","JBB","HEPH","13738","S","Plantae","Dicotyledon","Asterales","Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Munhoz, CBR; Alvarenga, D; Brom, ACM","570","1997","11","02","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Buriti Sozinho 8km a esquerda de Alto Paraíso sentido São Jorge","-47.621944","-14.171667","354","354",NA,"Ocasional",NA,NA,"Bringel Júnior, JBA","2011","12","-47.621944","-14.171667",NA,NA,NA,NA,NA
"5","2020-12-11 11:32:34-03","UFMG","BHCB","119924","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Urbatsch & Pruski",NA,"Batista, JAN; Martins, CAN","2240","2007","11","14","Southern America","Brasil","Minas Gerais","Diamantina","APE Manancial Pau de Fruta, área da COPASA, área a, área a esquerda da ppista cerca de 7 km oestre de Diamantina em direção a Gouveia.","-43.669556","-18.257333","1359","1359",NA,"Erva terrestre, em campo limpo seco.; Solo areno-argiloso, marrom claro. Área anteriormente queimada.","BHCB045345","BHCB045345",NA,"2012","08","-43.669556","-18.257333",NA,NA,NA,NA,NA
"6","2019-12-19 11:17:18-03","UFG","UFG","24385","S","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Fonseca, M.L.; et al.","1295","1996","10","23",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"UFG0024385","UFG0024385","Pruski, J.","1997","07",NA,NA,"30","44724","auto",NA,NA
"7","2020-09-12 05:00:02-03","US","US","3347692","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"M. Fonseca, A. M. S. F. Vaz, R. Marquete, F. R. Mendonca & G. Nunes","1295","1996","10","23","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Alto Paraiso, Chapada dos Veadeiros, Ca. 23km do Parque para Alto Paraiso, campo limpo queimado a 30 dias.",NA,NA,"1125",NA,NA,NA,"US01791720","US01791720_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"8","2020-09-12 05:00:02-03","US","US","3347694","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"M. A. Silva & A. Santos","3241","1996","11","13","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Alto Paraiso, Chapada dos Veadeiros, Ca. 23km de Alto Paraiso em direcao a Teresina de Goias, Parque Nacional da Chapada dos Veadeiros, Cruzeiro.","-47.4939","-13.9442","1410",NA,NA,NA,"US01791722","US01791722_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"9","2020-09-12 05:00:02-03","US","US","3347693","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"M. A. Silva & A. Santos","3269","1996","11","13","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Alto Paraiso, Chapada dos Veadeiros, Ca. 23km de Alto Paraiso em direcao a Teresina de Goias, Parque Nacional da Chapada dos Veadeiros, Cruzeiro.","-47.4939","-13.9442","1410",NA,NA,NA,"US01791721","US01791721_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2020-09-02 16:20:55-03","Cenargen","CEN","104289","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"João Bernardo de Azevedo Bringel Jr.","1099","2014","11","30",NA,"Brasil","MG","CAPITOLIO","Sudeste do PARNA da Serra da Canastra, estrada para Chapadão.","-46.275833","-20.623055","1145","1145","Exsicatas","Xilopódio com 50 cm de altura. Indícios de fogo recente no local.","CEN00104289","CEN00104289","V. R. Bueno","2019","03","-46.275833","-20.623055",NA,NA,NA,NA,"5"
"11","2020-09-02 16:20:55-03","Cenargen","CEN","54776","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"José Floriano Barêa Pastore","1071","2004","11","05",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Fazenda Água Fria (entrada).","-47.509166","-14.0725",NA,NA,"Exsicatas",NA,"CEN00054776","CEN00054776","G. H. Silva","2016","03","-47.509166","-14.0725",NA,NA,NA,NA,"2"
"12","2020-09-02 16:20:55-03","Cenargen","CEN","61900","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Taciana Barbosa Cavalcanti","3611","2005","11","17",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","GO-118, Alto Paraiso - Teresina de Goiás, 12 km de Alto Paraíso.","-47.513333","-14.050833","1460","1460","Exsicatas","Brácteas verdes.","CEN00061900","CEN00061900","G. H. Silva","2016","03","-47.513333","-14.050833",NA,NA,NA,NA,"3"
"13","2020-09-02 16:20:55-03","Cenargen","CEN","76903","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"João Bernardo de Azevedo Bringel Jr.","822","2011","06","11",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","GO- 118 de Alto Paraíso de Goiás a Teresina de Goiás. 15,4 Km N de Alto Paraiso.","-47.526388","-14.015277",NA,NA,"Exsicatas","Campo limpo recentemente queimado,adjacente a morro com cerrado rupestre. BRASIL - Goiás - HERBARIO UB","CEN00076903","CEN00076903","G. H. Silva","2016","03","-47.526388","-14.015277",NA,NA,NA,NA,"1"
"14","2019-11-13 11:16:11-03","USP","SPF","221180","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Pastore, JFB","1071","2004","11","05",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Fazenda Água Fria.","-47.509167","-14.0725",NA,NA,NA,NA,"SPF00221180",NA,"Silva, GH","2016","03","-47.509167","-14.0725",NA,NA,NA,NA,NA
"15","2019-11-01 14:53:25-03","UnB","UB","159932","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Bringel, JBA; Moreira, HJC","822","2011","06","11","Southern America","Brasil","Goiás",NA,"GO-118 de Alto Paraíso de Goiás a Teresina de Goiás, 15,4 km N de Alto Paraíso.","-47.526389","-14.015278",NA,NA,NA,"Erva 0,25m. Flores amarelas; Canpo limpo recentemente queimado, adjacente a morro com cerrado rupestre.",NA,NA,"Bringel, JBA","2011","06","-47.526389","-14.015278",NA,NA,NA,NA,NA
"16","2019-11-01 14:53:25-03","UnB","UB","123458","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Fonseca, ML","584","1995","09","26","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional dos Veadeiros","-47.769722","-14.769722","1155","1155",NA,"Subarbusto heliófito; botões florais verdes; flores de cor amarela; Cerrado queimado sobre morro pedregoso. Relevo planalto. Solo arenoso",NA,NA,"Silva, GH","2016","03","-47.769722","-14.769722",NA,NA,NA,NA,NA
"17","2019-05-06 11:52:43-03","UFU","HUFU","1321","S","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Castro, N.M.; Barbosa, A.A.A.","234","1987","11","20",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, Em direção a entrada norte do Parque Nacional.",NA,NA,NA,NA,NA,"Erva com flores do raio e do disco amarelas, anteras e filetes amarelos.; Campo umido arenoso.","HUFU00069310","HUFU00069310","Silva, G.H.","2016","03",NA,NA,NA,NA,NA,NA,NA
"18","2019-05-06 11:52:43-03","UFU","HUFU","63385","S","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Cavalcante, T.B.; et al.","3507","2004","08","29",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Estrada Alto Paraíso - Colinas do Sul, 22 km da GO 118.","-47.695833","-14.130278","1220","1220",NA,"Erva, ca. 15 cm alt. Flor amarela.; Campo limpo com afloramento rochoso, relevo ondulado, solo arenoso.","HUFU00043802","HUFU00043802","Reis-Silva, G.A.","2016","08","-47.695833","-14.130278","24",NA,NA,NA,NA
"19","2020-03-16 13:43:56-03","UFU","HUFU","63394","S","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Cavalcante, T.B.; et al.","3611","2005","11","17",NA,"Brasil","Goiás","Alto Paraíso de Goiás","GO118, Alto Paraíso - Teresina de Goiás, 12 km de Alto Paraíso.","-47.530556","-14.031944","1460","1460",NA,"Herbácea. Brácteas verdes, flor amarelo ouro.; cerrado entre rochas na beira de riacho.","HUFU00043821","HUFU00043821","Bueno, V...R...","2020","01","-47.530556","-14.031944","20",NA,NA,NA,NA
"20","2014-10-09 13:58:17-03","UHH","HBG","522496","S","Plantae",NA,NA,"Compositae/Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch","Topotype","Hatschbach, G. & Silva, J.M.","54606","1990","10","16","South America","Brazil",NA,NA,"Rod. GO-327, 5-8 km oeste de Alto Paraiso, Goiás, campo rupestre da Chapada dos Veadeiros, solo turfoso, úmido",NA,NA,"1200","1200",NA,NA,"HBG522496",NA,"Pruski, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:00:09-03","IBt","SP","221911","S","Plantae",NA,NA,"Asteraceae","Calea","abbreviata","Calea abbreviata","Pruski & Urbatsch",NA,"Cordeiro, I; Mamede, MCH; Sajo, MG; Varanda, EM","462A","1987","11","21",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Rodovia GO-118, a 9km N da cidade, próximo à entrada para a Reserva.","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"SP057700","SP057700","Reis-Silva, GA","2017","10",NA,NA,"26","44724","auto",NA,NA
