"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","imagecode","class","order","relatedCatalogItem","typeStatus"
"1","2020-11-24 17:10:31-03","UTFPR","DVPR","4396","PreservedSpecimen","Plantae","Magnoliophyta","Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L. Jacques","Kollmann, L; Fraga, CN; Fontana, AP","10707","2008","02","19","Brasil","Espirito Santo","Nova Venécia","Área de proteção ambiental da Pedra do Elefante.","-40.4006004333496","-18.710599899292","42400","arbusto 2m, rupícola no sol, planta com endumento ferrugíneo, tépalas brancas, estigma e estames amarelas, frutos esverdeados. Material prensado em álc; ool. Serra de Baixo. Pedra do elefante. Inselbergue.","DVPR004396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:08:41-03","UFES","SAMES","1706","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Pinto Junior, H.V.; Covre, C.","265","2016","03","21","Brasil","Espírito Santo","Nova Venécia","Pedra do Elefante. Vertente leste da Pedra do Elefante.","-40.4006004333496","-18.710599899292","42400","Arbusto de 1,5 m habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas; abundante; sol.","SAMES01706","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:43-03","UTFPR","HCF","16359","S","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann","10707","2008","02","19","Brasil","ES","Nova Venécia","Área de Proteção Ambiental da Pedra do","-40.45","-18.766944",NA,"arbusto 2 m rupícola no sol, planta com indumento ferrugíneo, tépalas brancas, estigma e estames amarelas, frutos esverdeados. Material prensado em álcool.",NA,NA,"40°27'00 W","18°46'01 S","400","679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:29:42-03","UFRRJ","RBR","35433","S","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","E.L. Jacques","1837","2012","07","25","Brasil","Rio de Janeiro","Campos dos Goytacazes","Vila Conceição do Imbé, 21° 47#?# 02,2' S, 41° 37#?# 05,3' W, 422m.","-41.3244018554688","-21.7541999816895","62761",NA,"RBR00035433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:18:01-03","MBM","MBM","392616","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L. Jacques & Mamede","Kollmann, L.; Fraga, C.N.; Fontana, A.P.; Fraga, C.N.; Fontana, A.P.","10707","2008","02","19","Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, Pedra do Elefante","-40.4006004333496","-18.710599899292","42400","Arbusto de 2m rupícola no sol, planta com endumento ferrugíneo, tépalas brancas, estigma e estames amarelos, frutos esverdeados. Material prensado em álcool.; Inselbergue.","MBM392616","auto",NA,NA,"400","679","Kollmann, L.","2008","02","19","Southern America","MBM392616",NA,NA,NA,NA
"6","2020-12-21 16:18:01-03","MBM","MBM","392617","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L. Jacques & Mamede","Kollmann, L.; Schwartsburd, B.; Fontana, A.P.; Labiak, P.H.; Schwartsburd, B.; Fontana, A.P.; Labiak, P.H.","11396","2009","01","14","Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, morro do lado direito na estrada para a Pedra do Elefante, afloramento rochoso","-40.4475","-18.77",NA,"Arbusto 2m, rupícola no sol. Folha face abaxial com tricomas cinzas, face adaxial verde, inflorescência avermelhada, flores brancas.; Inselbergue.","MBM392617",NA,"-40.4475","-18.77","300","600","Kollmann, L.","2009","01","14","Southern America","MBM392617",NA,NA,NA,NA
"7","2021-02-11 17:18:15-03","UFPR","UPCB","64267","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Kollmann, L.","10707","2008","02","19","Brasil","Espírito Santo","Nova Venécia","BLOQUEADO",NA,NA,NA,"Arbusto 2m, rupícola, no sol, planta com indumento ferrugíneo, tépalas brancas, estigma e estames amarelos, frutos esverdeados. Inselbergue..",NA,NA,"9999","9999","400","679","Kollmann, L.","2008","02","19",NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:18:15-03","UFPR","UPCB","69956","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Fraga, C.N.","2089","2008","05","10","Brasil","Espírito Santo","Nova Venécia","BLOQUEADO",NA,NA,NA,"Erva arbustiva, ca. 60cm. Folhas brilhosas na face adaxial e com indumento ferrugíneo na face abaxial. Escapo da inflorescência avermelhado. Frutos verde, quando maduros castanhos..",NA,NA,"9999","9999","653","653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-27 09:50:54-03","UNIOESTE","UNOP","3279","S","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Kollmann, L.; Fraga, C.N.; Fontana, A.P.; Fraga, C.N.; Fontana, A.P.","10707","2008","02","19","Brasil","Espírito Santo","Nova Venécia","Área de proteção Ambiental da Pedra do Elefante. Serra de baixo. Inselberg.","-40.4006004333496","-18.710599899292","42400","Arbusto 2 m rupícola no sol, planta com indumento ferrugíneo, tépalas brancas, estigma e estames amarelas, frutos esverdeados. Material prensado em álcool.",NA,"auto",NA,NA,"679","679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","13456",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","A. P. Fontana; et al","28","2000","09","02","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,"Heliófila, folhas verdes arredondadas com as costas brancas aveludadas, caule aveludado branco, inflorescência vermelha aveludada, óvario verde aveludado, flores masculinas com sépalos brancos e estames amarelos.","MBML013456",NA,"40W40'53","19S48'20",NA,NA,"L. Kollmann/06-05-2004",NA,NA,NA,NA,"MBML013456",NA,NA,NA,NA
"11","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","13900",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; et al","3106","2000","09","30","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,"Planta de 1,80m, heliófila, rupícola. Caule marrom avermelhado, flores brancas, frutos verdes.","MBML013900",NA,"40W40'53","19S48'20",NA,NA,"L. Kollmann/06-05-2004",NA,NA,NA,NA,"MBML013900_1 MBML013900_2 MBML013900_3 MBML013900_4",NA,NA,NA,NA
"12","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","13905",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; et al","4026","2001","06","27","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Arbusto 2m no sol. Folhas verdes, cinza lado abaxial. Espatas verdes.","MBML013905",NA,"40W30'25","19S56'10",NA,NA,"L. Kollmann/06-05-2004",NA,NA,NA,NA,"MBML013905",NA,NA,NA,NA
"13","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","14707",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; et al","4305","2001","08","09","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Rupícola no sol. Flores brancas.","MBML014707",NA,"40W30'25","19S56'10",NA,NA,"L. Kollmann/06-05-2004",NA,NA,NA,NA,"MBML014707",NA,NA,NA,NA
"14","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","29631",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3514","2007","04","03","Brasil","Espírito Santo","Águia Branca","Pedra da Bandeira, Santa Luzia, propr.: Ciro Ferreira","-40.664444","-18.973889",NA,"Herbácea 2m botões florais, flores brancas, anteras amarelas frutos marrom. Afloramento rochoso.","MBML029631",NA,"40W39'52","18S58'26","400","400","L. Kollmann/10-IX-2008",NA,NA,NA,NA,"MBML029631_1 MBML029631_2",NA,NA,NA,NA
"15","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","34274",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","C. N. de Fraga; et al","2089","2008","05","10","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.466667","-18.766667",NA,NA,"MBML034274",NA,"40W27'60","18S46'0",NA,NA,NA,NA,NA,NA,NA,"MBML034274",NA,NA,NA,NA
"16","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","34690",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; A.P. Fontana & K. Brahim","10897","2008","04","16","Brasil","Espírito Santo","Santa Leopoldina","Alto Luxemburgo","-40.525278","-20.128056",NA,"Arbusto 2m na sombra, saxicola, folhas adaxial verde escura e brilhosas, abaxial tricomas cinzas. Frutos secos.","MBML034690",NA,"40W31'31","20S7'41",NA,NA,"L. Kollmann/16-04-2008",NA,NA,NA,NA,"MBML034690",NA,NA,NA,NA
"17","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","36177",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; et al","10707","2008","02","19","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.432778","-18.7825",NA,NA,"MBML036177",NA,"40W25'58","18S46'57",NA,NA,NA,NA,NA,NA,NA,"MBML036177",NA,NA,NA,NA
"18","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","37101",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques &t Mamede","A. P. Fontana; L. Kollmann, E. Leme & O. Ribeiro","5131","2008","04","29","Brasil","Espírito Santo","Nova Venécia","Serra de Baixo, Pedra da Torre, APA Pedra do Elefante.","-40.446389","-18.782778",NA,"Arbusto, ca. 1,5m, meia sombra. Frutos secos.","MBML037101",NA,"40W26'47","18S46'58",NA,NA,"L. Kollmann","2008","04","29",NA,"MBML037101",NA,NA,NA,NA
"19","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","37670",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","P. Labiak; P.B.Schawartsburd, A.P.Fontana & L.J.C.Kollmann.","5111","2009","01","14","Brasil","Espírito Santo","Nova Venécia","APA da Pedra do Elefante. Afloramento rochoso à direita na subida para a Pedra do Elefante. Afloramento rochoso.","-40.4475","-18.770278",NA,"Rupícola em local exposto. Flores alvas com estames amarelados.","MBML037670",NA,"40W26'51","18S46'13","300","300","L.Kollmann/17-7-2009",NA,NA,NA,NA,"MBML037670_1 MBML037670_2",NA,NA,NA,NA
"20","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","39061",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; B.Schwartsburd, A.P.Fontana & P.Labiak Evangelista.","11396","2009","01","14","Brasil","Espírito Santo","Nova Venécia","APA da Pedra do Elefante. Serra de Baixo, morro lado direito na estrada para a Pedra do Elefante, afloramento rochoso. Inselbergue.","-40.4475","-18.77",NA,"Arbusto 2m rupícola no sol, folha face abaxial com tricomas cinzas, face adaxial verde, inflorescência avermelhada, flores brancas.","MBML039061",NA,"40W26'51","18S46'12","300","300","L.Kollmann/14-01-2009","2009","01","14",NA,"MBML039061",NA,NA,NA,NA
"21","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","39421",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","L. Kollmann; & E. Leme","11777","2009","09","10","Brasil","Espírito Santo","Vila Pavão",NA,"-40.56845","-18.591883",NA,"Arbusto 1,5 m rupícola ao sol, flores amarelas.","MBML039421",NA,"40W34'6,42","18S35'30,78","228","228","L. Kollmann/10-9-2009",NA,NA,NA,NA,"MBML039421_1 MBML039421_2",NA,NA,NA,NA
