"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","1300","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","Piero Delprete","Jairo Jose Zocche","1992","07","20","Brasil","Santa Catarina","Forquilhinha","-49.474444","-28.747778","49º28'28''W","28º44'52''S","CRI009281","CRI009281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","3546","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","Piero Delprete","Vanilde Citadini-Zanette; R. S. de Souza e M. Sobral","1994","10","08","Brasil","Santa Catarina","Maracajá","-49.460833","-28.846667","49º27'39''W","28º50'48''S","CRI009280","CRI009280","1995","01","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:06-03","UNESC","CRI","7969","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","Vanilde Citadini-Zanette","Beatriz Wessler; Bruna Alberton","2007","09","06","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI009278","CRI009278","2007","09","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:02-03","UNESC","CRI","14831","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","J. Cordeiro & E. Barboza","J. K. Locastro","2011","09","23","Brasil","Paraná","Centenário do Sul","-51.596667","-22.819167","51º35'48''W","22º49'9''S","CRI014156",NA,"2011",NA,NA,"Sítio São Luis IV, próximo ao Rio Rondon","Frutos imaturos verdes. Doação Herbário da Universidade Tecnológica Federal do Paraná 9481 Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:06-03","UNESC","CRI","201","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","Jorge Waechter","Vanilde C. Zanette; Marcia Butuhy","1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.055556","-28.720833","49º3'20''W","28º43'15''S","CRI009282","CRI009282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","130891","PreservedSpecimen","Plantae","Rubiaceae","Basanacantha","mollis","Basanacantha mollis","Rusby",NA,"H. H. Rusby","1921","10","12","Bolivia","La Paz","Franz Tamayo","-68.4172","-14.72",NA,NA,"NY00130891","NY00130891_01",NA,NA,NA,"Apolo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707709' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","holotype","1255","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","548043","PreservedSpecimen","Plantae","Rubiaceae","Basanacantha","spinosa","Basanacantha spinosa pubescens","K.Schum.",NA,"E. F. Poeppig","1831",NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"NY00548043","NY00548043_01",NA,NA,NA,"Maynas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350041' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","syntype","2430","South America","sheet","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-21 09:25:00-02","NY","NYBG","548044","PreservedSpecimen","Plantae","Rubiaceae","Basanacantha","spinosa","Basanacantha spinosa pubescens","K.Schum.",NA,"E. F. Poeppig","1831",NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"NY00548044","NY00548044_01",NA,NA,NA,"Yurimaynas, Maynas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350042' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","syntype","2430","South America","sheet","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 16:33:00-03","NY","NYBG","502529","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata",NA,"M. J. Jansen-Jacobs","M. J. Jansen-Jacobs","1987","11","05","Guyana",NA,NA,"-59.57","3.35",NA,NA,"NY00502529",NA,NA,NA,NA,"Kanuku Mts., Nappi-head, NE slope of Dias Mt.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641666' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,"729","South America","sheet",NA,"140","300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03123356","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.",NA,"N. C. Bigio","2017","12","06","Brazil","Rondônia","Vilhena","-60.3698","-13.02045556",NA,NA,"NY03123356","NY03123356_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3317129' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,"1216","South America","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
