"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:33-03","E","E","285827","PreservedSpecimen","Plantae","Melastomataceae","Tococa","occidentalis","Tococa occidentalis","isotype","Mathews, Andrew","1306","1905","01","08","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:297582","<a href=http://data.rbge.org.uk/herb/E00285827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","285830","PreservedSpecimen","Plantae","Melastomataceae","Tococa","subglabrata","Tococa subglabrata","lectotype","Gardner, George","2862","1905","01","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:297606","<a href=http://data.rbge.org.uk/herb/E00285830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285830","Piauí","Piauhy, district of Rio Preto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1477583","PreservedSpecimen","Plantae","Melastomataceae","Tococa","cachimbensis","Tococa cachimbensis","isotype","E. Pereira","1776[=herb. RB 91311]","1955","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833765' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477583","Pará","Serra do Cachimbo","Magnoliophyta","Myrtales","Brade","NY01477583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02676051","PreservedSpecimen","Plantae","Melastomataceae","Tococa","cardiophylla","Tococa cardiophylla",NA,"M. J. R. Rocha","810","2012","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2949401' target='other'> <mi>dwc_moreinfo</mi></a>","NY02676051","Amazonas","Reserva Florestal Adolpho Ducke, Trilha para acampamento central","Magnoliophyta","Myrtales","Naudin","NY02676051_01","F. A. Michelangeli","Manaus","-59.9414","-2.9425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02332290","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"P. Acevedo-Rodríguez","8151","1996","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2508836' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332290","Amazonas","W of Romao (along Aracá River).","Magnoliophyta","Myrtales","Pilg.","NY02332290_01",NA,NA,"-62.9331","-0.4189","120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","794552","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"R. Vásquez Martínez","8788","1987","01","14","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794552","Loreto","Sapuena, Bagazanm, Rio Ucayali","Magnoliophyta","Myrtales","Pilg.","NY00794552_01","F. A. Michelangeli","Requena","-73.63","-4.75","130","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","794575","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"E. Lleras","P17022","1973","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794575","Amazonas","Rio Javari, behind Palmeiras Army post","Magnoliophyta","Myrtales","Pilg.","NY00794575_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","794614","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"G. T. Prance","20642","1974","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794614","Amazonas","Manaus-PortoVelho Rd, Km 268; 28 km S of Igapo Acu","Magnoliophyta","Myrtales","Pilg.","NY00794614_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","794574","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"R. Vásquez Martínez","5119","1984","06","25","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794574","Loreto","Yanamono, Rio Amazonas","Magnoliophyta","Myrtales","Pilg.","NY00794574_01","J. J. Wurdack","Maynas","-72.83","-3.5","106","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","794573","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"J. Revilla","3561","1977",NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794573","Loreto","Near Iquitos","Magnoliophyta","Myrtales","Pilg.","NY00794573_01","J. J. Wurdack","Maynas","-73.24722","-3.74805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","794611","PreservedSpecimen","Plantae","Melastomataceae","Tococa","discolor","Tococa discolor",NA,"L. O. A. Teixeira","746","1982","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00794611","Rondônia","Santa Barbara, Rodovia BR 364 km 120. 10 km N da sede da Mineracao","Magnoliophyta","Myrtales","Pilg.","NY00794611_01","J. J. Wurdack",NA,"-63.12","-9.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
