"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2020-09-23 10:41:32-03","E","E","194424","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, R.M.; Nic Lughadha, E.; Queiroz, R.F.","1991","12","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:199228","<a href=http://data.rbge.org.uk/herb/E00194424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02210520","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R. M. Harley","1991","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501461' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210520","Magnoliophyta","Myrtales","Wurdack","50517","Bahia","Abaíra","Salão, 9 km de Catolés na estrada para Inúbia.","-41.88","-13.25","1100","1200","NY02210520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","778829","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","W. Ganev","1992","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=6425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778829","Magnoliophyta","Myrtales","Wurdack","1660","Bahia","Abaíra","Distrito de catolés, Caminho Jambeiro - Belo Horizonte.","-41.87","-13.3","1150","1150","NY00778829_01","E. M. Woodgyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02137268","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","M. J. R. Rocha","2012","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137268","Magnoliophyta","Myrtales","Wurdack","334","Bahia","Rio de Contas","Pico das Almas. Trilha Pico das Almas","-41.93358","-13.5203","1490","1490","NY02137268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","778828","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","W. Ganev","1993","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778828","Magnoliophyta","Myrtales","Wurdack","2464","Bahia","Abaíra","Serra dos Frios.","-41.88","-13.33","1700","1800","NY00778828_01","E. M. Woodgyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","228801","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R. M. Harley","1974","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228801","Magnoliophyta","Myrtales","Wurdack","15162","Bahia",NA,"Serra do Rio de Contas: 12-14 km N of town of Rio de Contas on the road to Mato Grosso","-41.83","-13.47","1200","1200","NY00228801_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:16-03","UFBA","ALCB","62745","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","12","15","Southern America","Brasil",NA,NA,"delgado, de ca. 1,7 m, pouca ramificação. Folhas cartáceas, verde-discolores. Pedúnculo e pedicelo verde-claros com tom vináceo. Flores com sépalas verdes com tom vináceo, pétalas brancas; estames rosados, anteras amarelas. Frutos ima","ALCB062485","Dicotyledon",NA,"Wurdack","2658","Bahia","Abaíra","Chapada Diamantina, encosta Serra do Sumbaré, pelo Belo Horizonte - Jambeiro","-41.866667","-13.3","1200","1200",NA,"Santos, AKA",NA,"2002","12","-41.866667","-13.3",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:20:16-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","12","15","Southern America","Brasil",NA,NA,"delgado, de ca. 1,7 m, pouca ramificação. Folhas cartáceas, verde-discolores. Pedúnculo e pedicelo verde-claros com tom vináceo. Flores com sépalas verdes com tom vináceo, pétalas brancas; estames rosados, anteras amarelas. Frutos imaturos verdes com",NA,"Dicotyledon",NA,"Wurdack","2658","Bahia","Abaíra","Chapada Diamantina, encosta Serra do Sumbaré, pelo Belo Horizonte - Jambeiro","-41.866667","-13.3","1200","1200",NA,"Santos, AKA",NA,"2002","12","-41.866667","-13.3",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:16-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","11","07","Southern America","Brasil",NA,NA,"ca. de 2,0 m, pouca ramificação. Folhas membranáceas, verde-discolores. Pedúnculo e pedicelo avermelhado. Frutos imaturos avermelhados. Pouco comum.; com mata ciliar, solo arenoso com rochas.",NA,"Dicotyledon",NA,"Wurdack","2450","Bahia","Abaíra","Chapada Diamantina, caminho Guarda Mor. Serra dos Frios (Covão)","-41.866667","-13.333333","1630","1630",NA,"Woodgyer, EM",NA,"1996","12","-41.866667","-13.333333",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:03:19-03","NBC","NL-BOTANY","U 0004061","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley RM; et al.","1974","01","17","Southern America","Brazil",NA,NA,"Dry quartzite hillside with disturbed woodland on lower slopes, and scrub above.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004061",NA,"Myrtales","Wurdack",NA,"Bahia",NA,"Estado da BahiaSerra do Rio de Contas12-14km. N. of town of Rio de Contas on the road to Mato Grosso.","-41.833333","-13.466667",NA,NA,"NL-U0004061","Wurdack JJ","isotype",NA,NA,"-41.833333","-13.466667","Magnoliopsidae","448955 B",NA,NA,NA,NA,NA
