"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","872914","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","S. F. Smith","A. Macedo","5441","1988","08","20","South America","Brazil","Minas Gerais","Campina Verde","S. Jose do Lajeado, Campina Verde","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872914","NY00872914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","872910","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R. L. Liesner","G. Eiten","8469","1968","08","31","South America","Brazil","Mato Grosso","Barra do Garças","235 km along new road NNE of village of Xavantina. (25 km due S of Royal Society-Royal Geographic Society Base Camp is at 12° 51' S, 51°45' W.) At Lagoa do Sucuri.","-52.2567","-15.8903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872910","NY00872910_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","872913","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R. H. P. Andreata","Y. E. J. Mexia","5271","1930","11","07","South America","Brazil","Minas Gerais","Viçosa","road to Cajurý; beyond Casinhas","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872913","NY00872913_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872911","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R. H. P. Andreata","Y. E. J. Mexia","5375","1930","11","28","South America","Brazil","Minas Gerais",NA,"Districto Rio Branco. Fazenda Bom Jardim; Cambusca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872911","NY00872911_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872915","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","S. F. Smith","A. Macedo","5436","1988","08","12","South America","Brazil","Minas Gerais","Campina Verde","S. Jose do Lajeado, Campina Verde","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872915","NY00872915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872912","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R. H. P. Andreata","Y. E. J. Mexia","5229","1930","10","28","South America","Brazil","Minas Gerais",NA,"Districto Rio Branco. Road to Viçosa to Barroso; Fazenda de Reserva",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872912","NY00872912_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:37:30-03","NBC","NL-BOTANY","U.1738294","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Mexia YEJ",NA,"1930","11","28","Southern America","Brazil",NA,NA,"State of Minas Geraes. Districto Rio Branco. Fazenda Bom Jardim; Cambusca.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1738294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1738294","NL-U1738294",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:37:30-03","NBC","NL-BOTANY","U.1738295","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Mexia YEJ",NA,"1930","11","07","Southern America","Brazil",NA,NA,"State of Minas Geraes, Vicosam road to Cajury; beyond Casinhas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1738295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1738295","NL-U1738295",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:06-03","UFV","VIC","1403","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Kuhlmann, J.G.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"VIC001403","VIC001403",NA,NA,NA,"1998","02","13",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:06-03","UFV","VIC","1172","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Mexia, Y.","5375","1930","11","28",NA,"Brasil","Acre","Rio Branco","Fazenda Bom Jardim","-67.8099975585938","-9.9747200012207",NA,"Trepadeira sobre o chão, flor esverdeada. Comum.","VIC001172","VIC001172",NA,NA,NA,"1998","02","13","178770","auto",NA,NA,NA,NA,NA
