"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","day","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","788912","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","B. Øllgaard; P. G. Windisch","A. C. Brade","6550","1913","09","South America","Brazil","Rio de Janeiro","Sa. do Itatiaya.","-44.612767","-22.370919","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788912","NY00788912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:00-03","UNESP-IBB","BOTU","33125","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.","Gissi, D.S.","Peralta, D.F.",NA,"2017","03",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó, trilha ntre Terreirão e Pico da Bandeira","-41.800556","-20.428611",NA,NA,NA,NA,"BOTU033125",NA,"2017","09","08","29","Alto Caparaó","41°48'02w","20°25'43s",NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:09-03","UFRJ","RFA","29470","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Lycopodium","christii","Lycopodium christii","Silveira","C.V. Morton","F. Segadas-Vianna","679","1945","01",NA,"Brasil","Rio de Janeiro","Morro Açu. Castelo. Serra dos Órgãos","-43.1786003112793","-22.5049991607666","2100","2100",NA,NA,"RFA41719",NA,"1964",NA,NA,"17","Petrópolis",NA,NA,"36524","auto",NA,NA,NA,NA
"4","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","04834","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","B. Ollgaard et Windisch","B. Ollgaard et Windisch","6070","1991","03","América do Sul","Brasil","Minas Gerais","vila monte verde","-46.1446990966797","-22.7553005218506",NA,NA,NA,"GEOGRAFIA: plateau cercado por matinha nebular;",NA,NA,NA,NA,NA,"22","Camanducaia",NA,NA,"22140","auto","Lycopodiopsida",NA,NA,NA
"5","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","01243","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","B. Ollgaard","B. Ollgaard et Windisch","4996","1987","02","América do Sul","Brasil","São Paulo","12 km do Horto Florestal","-45.5900001525879","-22.7299995422363",NA,NA,NA,"GEOGRAFIA: terrestre, em barranco à margem da estrada;",NA,NA,NA,NA,NA,"12","Campos do Jordão",NA,NA,"21048","auto","Lycopodiopsida",NA,NA,NA
"6","2021-04-05 09:58:44-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","17938","S","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","M.R. Pietrobom-Silva","M.R. Pietrobom-Silva","4164","1997","07","América do Sul","Brasil","São Paulo","serra do mar","-44.9599990844727","-23.0699996948242",NA,NA,NA,"GEOGRAFIA: mata de encosta úmida, terrestre em barranco;",NA,NA,NA,NA,NA,"13","Cunha",NA,NA,"38855","auto","Lycopodiopsida",NA,NA,NA
"7","2019-12-04 15:26:02-03","PUCPR","HUCP","20530","S","Plantae","Lycopodiidae",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Michelon, C","Ariati, V; Struminski, E","269","2009","08",NA,"Brasil","Paraná","Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"HUCP00001097","HUCP00001097",NA,NA,NA,"30","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"8","2020-11-04 10:56:02-03","ESALQ","ESA","139278","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","D. S. Gissi","Gissi, D. S.","251.0","2016","05",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia. Planalto. Trilha Rebouças - Pedra do Altar.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"ESA139278",NA,NA,NA,NA,"07","Itatiaia",NA,NA,"19648","auto",NA,NA,NA,NA
"9","2020-11-04 10:56:02-03","ESALQ","ESA","139276","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","D. S. Gissi","Gissi, D. S.","249.0","2016","05",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia. Planalto. Trilha Rebouças - Pedra do Altar.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"ESA139276",NA,NA,NA,NA,"07","Itatiaia",NA,NA,"19648","auto",NA,NA,NA,NA
"10","2020-11-04 10:56:02-03","ESALQ","ESA","143555","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii",NA,"Gissi, D.S.","Souza, V.C. & Colletta, G.D.","42531.0","2019","09",NA,"Brasil","São Paulo","Serra dos Cristais. Campo de altitude.","-49.0200004577637","-24.4699993133545",NA,NA,NA,"Erva ereta.","ESA143555",NA,"2019","09","03","03","Barra do Chapéu",NA,NA,"23554","auto",NA,NA,NA,NA
"11","2021-01-14 15:31:29-03","MN","R","237952","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.","Gonçalves, M.T.A & Azevedo, V.M.","Gonçalves, M.T.A.; Azevedo, V.M.",NA,"2019","09",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia","-44.67867","-22.38618","2383","2383",NA,NA,"R010071344","R010071344","2019","09","10","05","Itatiaia","-44.67867","-22.38618",NA,NA,NA,NA,NA,NA
"12","2016-02-02 14:38:32-02","BGBM","B","B 20 0110233","S","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","Holub","P. G. Windisch","A. Silveira","2609","1897","11","Middle and South America","Brazil",NA,"In campis in Serra do Papagais Mins Geraes.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200110233 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200110233","B200110233","2011","07",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"13","2019-08-27 13:36:41-03","IAP","PACA-AGP","88915","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","P. G. Windicsh","Windisch, P. G.","6070","1990","04",NA,"Brasil","MG","Vila Monte Verde (Serra da Mantiqueira); plateau rochoso.","-45.916667","-22.8","1920","1920",NA,"Cont. habitat: com solo. Terrestre, pouco freqüente no local, saindo de almofada de sphagnum.&nf;HASU 9174 Habitat: Plateau cercado por mata nebular, com ilhotas de vegetação herbácea e pontos...","PACA088915",NA,"1991","03","22",NA,"Camanducaia","45°55'W","22°48'S",NA,NA,"Lycopodiopsida",NA,NA,NA
"14","2019-11-14 13:52:06-03","IAP","PACA-AGP","88914","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","B. Ollgaard et Windisch","Windisch, P. G.","4966","1987","02",NA,"Brasil","ES","Serra do Caparaó.","-41.75","-20.5","2100","2100",NA,"HASU 9164 Habitat: Formação herbáceo-arbustiva, terrestyre, em barranco, margem de caminho.","PACA088914",NA,"1987","02","08","08",NA,"41°45'W","20°30'S",NA,NA,"Lycopodiopsida",NA,NA,NA
"15","2019-08-27 13:36:41-03","IAP","PACA-AGP","116030","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub",NA,"Windisch, P. G","10068","2006","09",NA,"Brasil","RS","Barranco.","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"PACA116030",NA,NA,NA,NA,"24","São Francisco de Paula",NA,NA,"76715","auto","Lycopodiopsida",NA,NA,NA
"16","2020-10-20 14:17:40-03","UFOPA","HSTM","9000","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.","B. Øllgaard","L. Krieger; et al.","64662","1988","09",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó. Vale Encantado.","-44.773056","-22.363056",NA,NA,NA,NA,"HSTM009000","HSTM009000","2014","09","12","18","Minas Gerais","44º46'23''W","22º21'47''S",NA,NA,NA,NA,NA,NA
