"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2020-09-23 10:43:11-03","E","E","146774","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","Pott, A.;","6131","1992","01","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171016","<a href=http://data.rbge.org.uk/herb/E00146774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","501353","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","P. G. Delprete","7004","1998","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501353","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","P. G. Delprete","Santa Catarina","Lauro Muller","Serra do Rio do Rastro, Estrada Lauro Müller-Bom Jardim","-49.55","-28.38","1300","1300","NY00501353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","501355","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","P. G. Delprete","7006A","1998","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501355","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","P. G. Delprete","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Rod. SC-438, km 34. Hotel Rural Passo Velho","-49.55","-28.38","1300","1300","NY00501355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","501375","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","P. G. Delprete","7025","1998","12","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501375","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","P. G. Delprete","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Proprietade Hotel Rural Passo Velho, ca 1 km sul da sede do hotel. Rio Pelotas","-49.68","-28.32","1150","1150","NY00501375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502586","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","R. A. Wasum","6221","1989","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502586","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","S. F. Smith","Rio Grande do Sul","Caxias do Sul","Faxinal","-51.1792","-29.1683","750","750","NY00502586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502582","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","R. Reitz","11388","1962","01","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502582","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","L. B. Smith","Santa Catarina","Santa Cecília","Campo de Areao","-50.4267","-26.9608","1100","1100","NY00502582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","502581","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","R. Reitz","10827","1961","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502581","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","W. H. Lewis; R. L. Oliver","Santa Catarina","Sao José","Serra de Boa Vista","-48.6272","-27.6156","1000","1000","NY00502581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","502584","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","L. B. Smith","7517","1956","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502584","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","L. B. Smith","Santa Catarina","Campo Alegre","Upper fazenda of Ernesto Scheide","-49.2656","-26.1925","900","1100","NY00502584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","501366","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","P. G. Delprete","7016","1998","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501366","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","P. G. Delprete","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Rod. SC-438, km 34. Hotel Rural Passo Velho","-49.68","-28.32","1250","1250","NY00501366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","502583","PreservedSpecimen","Plantae","Rubiaceae","Richardia","humistrata","Richardia humistrata","R. Reitz","7838","1958","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502583","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Steud.","L. B. Smith","Santa Catarina","Sao Joaquim","Bom Jardim. Fazenda Laranja","-49.9317","-28.2942","1400","1400","NY00502583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
