"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:38:32-03","E","E","153093","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","Ratter, J.A.; De Santos, R.R.; Souza, R.; De Castro, R.A. & Andrelinho","1968","06","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160348","<a href=http://data.rbge.org.uk/herb/E00153093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","151875","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","Bang, A. Miguel","1905","03","04","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:160088","<a href=http://data.rbge.org.uk/herb/E00151875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151875","528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00919009","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","E. P. Heringer","1981","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919009","6766","Magnoliophyta","Poales","Boeckeler","E. R. Guaglianone","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00919009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","668439","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","H. Balslev","1980","12","30","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668439","1256","Magnoliophyta","Poales","Boeckeler","T. M. Koyama","Zamora-Chinchipe",NA,"Loja-Zamora road, km 15-16.",NA,NA,NA,"2700","2800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","818633","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","T. C. Plowman","1980","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818633","8263","Magnoliophyta","Poales","Boeckeler","G. C. Tucker","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho","-48.6008","-8.5006","NY00818633_01","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01174580","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","G. T. Prance","1971","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174580","13652","Magnoliophyta","Poales","Boeckeler","T. M. Koyama","Amazonas","Lábrea","Rio Purus, south of Lago Preto 2 km north of Labrea","-64.7981","-7.2586","NY01174580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","668440","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","J. A. Steyermark","1968","01","11","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668440","100765","Magnoliophyta","Poales","Boeckeler","T. M. Koyama","Táchira",NA,"Cabeceras del río Quinimarí, arriba de la Quebrada Las Copas, al pié del peñasco de Las Copas (debajo del Páramo de Judío), 15 kms. al sur de San Vicente de la Revancha, 30 kms. al sur de Alquitrana, suroeste de Santa Ana.",NA,NA,NA,"2500","2630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00919005","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","H. S. Irwin","1966","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919005","14015","Magnoliophyta","Poales","Boeckeler","G. C. Tucker","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","NY00919005_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","818662","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","H. S. Irwin","1968","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=866109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818662","19178","Magnoliophyta","Poales","Boeckeler","G. C. Tucker","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, Goiás in valley of Rio Maranhao","-48.6","-15.57","NY00818662_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00919007","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","friburgensis","Cyperus friburgensis","H. S. Irwin","1970","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919007","27336","Magnoliophyta","Poales","Boeckeler","E. R. Guaglianone","Minas Gerais","Joaquim Felício","Ca. 2 km N. of Joaquim Felício","-44.1709","-17.7588","NY00919007_01","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
