"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01176181","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.","A. H. Gentry","I. L. do Amaral","1605","1984","02","16","South America","Brazil","Amazonas","Barcelos","Platô da Serra Aracá, parte SE da Serra Norte. Mata de galeria e campo rupestre ao longo do rio Grande.","-63.3745909","0.9016571","1150","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176181","NY01176181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1551081","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.","S. N. Alexander","P. Acevedo-Rodríguez","14674","2008","08","20","South America","Brazil","Amazonas",NA,"Granitic hill north of Tunuí village.","-68.15339","1.39481","174",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1908887' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551081","NY01551081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01176179","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.","A. H. Gentry","M. G. da Silva","7164","1984","03",NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406515' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176179","NY01176179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01176182","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.","D. M. Johnson","I. L. do Amaral","1644","1984","02","20","South America","Brazil","Amazonas","Barcelos","Plato da Serra do Aracá, Serra Norte, 6 horas W do campo de pouso.","-63.37","0.85","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176182","NY01176182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02707187","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.",NA,"H. C. Lima","7316","2011","08","17","South America","Brazil","Amazonas","Barcelos","Serra do Aracá,trilha para cachoeira Eldorado, cerca 1,5 Km antes do acampamento da base. .","-62.9241981506348","-0.974722027778625",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991119' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707187","NY02707187_01","358570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01176180","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","(DC.) Pilg.","D. M. Johnson","G. T. Prance","29008","1984","02","12","South America","Brazil","Amazonas",NA,"Plateau of northern massif of Serra Aracá. South side of north Mountain.","-63.3745909","0.9016571","1200","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176180","NY01176180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:31-03","EAO","IAN","149748","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","Pilg.","Santos, JUM dos","Ribeiro, BGS","1058","1975","06","04","Southern America","Brasil","Amazonas","Jauareté","Margem do R. Uaupés, mata de terra firme.&nf;Q. NA-19-YB.","-67.166667","-1.316667",NA,NA,NA,"Arbusto sobre serra de pedra.","IAN149748",NA,NA,NA,"1976","-67.166667","-1.316667",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:31-03","EAO","IAN","102173","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","Pilg.","Pires, JM","Rodrigues, JS","152","1959","02","28","Southern America","Brasil","Amazonas",NA,"Rio Negro, Taracuá.",NA,NA,NA,NA,NA,"Árvore 4m, podendo na mata de transição, atingir grandes dimensões. Flores brancas, com tom róseo.Cheiro especial quando seca, tipica da transição da caatinga.","IAN102173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:31-03","EAO","IAN","28841","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","Pilg.","Sandwith, NY","Fróes, RL","22297","1951",NA,NA,"Southern America","Brasil","Amazonas",NA,"Cach. Tunuhy in front; rocky sand soil.",NA,NA,NA,NA,NA,"Shrub, 15ft., rosy flower.","IAN028841","IAN028841 IAN028841_e",NA,NA,"1953",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:31-03","EAO","IAN","74884","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Digomphia","densicoma","Digomphia densicoma","Pilg.","Gomes, JJ","Fróes, RL","28082","1952","03","28","Southern America","Brasil","Amazonas",NA,"Rio Içana, região de Tunuí.",NA,NA,NA,NA,NA,"Arbusto de 2m, flor rósea, sobre pedra de formação arenosa.","IAN074884",NA,NA,NA,"1954",NA,NA,NA,NA,NA,NA,NA,NA,NA
