"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4007548","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","J. J. Linden","1009K","South America","Colombia","N.S. Colombia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315119' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4007546","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","E. P. Killip","15882","South America","Colombia","Vicinity of Las Vegas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315117' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007546","1926","12","21","Santander","2600","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","678666","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","J. N. Rose","20490","South America","Brazil","Vicinity of Itatiaya","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678666","1915","07","26","Rio de Janeiro","2000","2000","Itatiaia","-44.5631","-22.4961","NY00678666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4007532","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","J. A. Steyermark","126047","South America","Venezuela","Departamento Atabapo: CERRO MARAHUACA - FHUIF. Cumbre, zona pantanosa no arbolada en la altiplanicie, río arriba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315103' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007532","1982","02","02","Amazonas","2480","2500",NA,"-65.33","3.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4007510","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","F. J. Ortega Mendoza","2002","South America","Venezuela","Entre las antenas de relevo en el Páramo de Guaramacal y la Vega de Guaramacal.","sheet","[9° 12' Lat. N, 70° 9' Long. O ; 9° 14' Lat. N. 70° 11' Long. O] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315081' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007510","1984","07","23","Trujillo","3200","1200",NA,"-70.167","9.217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4007521","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","A. H. G. Alston","6783","South America","Venezuela","Sierra Nevada, above Merida.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315092' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007521","1939","02","02","Mérida","2800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4007508","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","J. A. Steyermark","101027","South America","Venezuela","A lo largo de la pica, entre “Las Copas”, y Alto de Fila de Tierra Negiajhacia el Cerro de Segeta y Fundación Bélgica, en la fila angosta que divisa las cabeceras del río Quinimarí, río Frió y Uribante y río Talco (Oirá), 20-25 kms. al sur de San Vicente de la Revancha, 35-40 kms. al sur de Alquitrana, suroeste de Santa Ana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315079' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007508","1968","01","16","Táchira","2870","2880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4007572","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","H. H. van der Werff","11018","South America","Ecuador","Paramo and low forest along road Tulcan-El Carmelo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315143' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007572","1989","08","08","Carchi","3300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4007562","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","M. T. Murillo-Pulido","424","South America","Colombia","Sibaté, bosques de San Miguel.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315133' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007562","1961","10","19","Cundinamarca","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4007569","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Culcitaceae","Culcita","coniifolia","Culcita coniifolia","(Hook.) Maxon","M. A. Sundue","566","South America","Bolivia","Parque Nacional Amboró, 8 km (by air) NE of Mairana, along trail and near ridgetop, 5.5 km N of Campamento La Yunga park station","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4315140' target='other'> <mi>dwc_moreinfo</mi></a>","NY04007569","2002","03","30","Santa Cruz","2300",NA,"Florida","-63.92","-18.0583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
