"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","796799","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","harleyi","Eremanthus harleyi","H.Rob.","A. M. V. de Carvalho","6423","1997","12","29","South America","Brazil","Bahia","Rio de Contas","Ca. 1 km antes do distrito de Mato Grosso","-41.8114","-13.5792","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00796799","NY00796799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","779209","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","R. M. Harley","15187","1974","01","17","South America","Brazil","Bahia","Rio de Contas","12-14 km. N. of town of Rio de Contas on the road to Mato Grosso.","-41.83","-13.47","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779209","NY00779209_01","B. Loeuille",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779210","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","H. M. Curran","387","1918","06","01","South America","Brazil","Bahia",NA,"Mt. Peludo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779210","NY00779210_01","B. Loeuille",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779207","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","R. M. Harley","25372","1988","10","24","South America","Brazil","Bahia","Rio de Contas","Povoado de Mato Grosso, arredores.","-41.83","-13.47","1260","1260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779207","NY00779207_01","B. Loeuille",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:43:23-03","UNEB","HUNEB","14319","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Bastos, N.G.","202","2011","05","18",NA,"Brasil","Bahia","Andaraí","Xique-xique de Igatu","-41.3314018249512","-12.8072004318237",NA,NA,NA,NA,"HUNEB0014319",NA,NA,"Dicotyledoneae","58558","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:43:23-03","UNEB","HUNEB","13639","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Bastos, N.G.","196Igatu 27","2011","04","23",NA,"Brasil","Bahia","Andaraí","Xique-xique de Igatu","-41.324722","-12.897778","798","798",NA,NA,"HUNEB0013639",NA,NA,"Dicotyledoneae",NA,NA,"41W19'29''","12S53'52''",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:43:23-03","UNEB","HUNEB","14343","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Bastos, N.G.","224","2011","06","17",NA,"Brasil","Bahia","Andaraí","Xique-Xique de Igatu","-41.346667","-12.880556","935","935",NA,NA,"HUNEB0014343",NA,NA,"Dicotyledoneae",NA,NA,"41W20'48''","12S52'50''",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:02-03","UFBA","ALCB","94159","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Moura, L","07","2010","04","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha dos Polinizadores","-41","-13",NA,NA,NA,"Ca. de 3 m, folhas discolores, brácteas involucrais verdes, pétalas alvas a lilases, papus dourado.",NA,NA,"Moura, L",NA,NA,NA,"-41","-13","2010","05",NA,NA,NA,NA,NA
"9","2019-10-09 11:11:02-03","UFBA","ALCB","135039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Alunos de Botânica BIOC05; Roque, N","02","2018","11","17","Southern America","Brasil","Bahia","Rio de Contas","Brumadinho, Trilha para o Vale do Queiroz.","-39.886667","-13.283333","1444","1444",NA,"ca. 3 m. Folhas concolores. Tricomas ferrugíneos nas folhas e caule. Brácteas involucrais verdes, corola lilás, pápus castanho.","ALCB061623","ALCB061623","Lucresia, L",NA,NA,NA,"-39.886667","-13.283333","2018","11",NA,NA,NA,NA,NA
"10","2019-10-09 11:11:02-03","UFBA","ALCB","100721","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Paralychnophora","harleyi","Paralychnophora harleyi","(H.Rob.) D.J.N.Hind","Hurbath, F","141","2011","06","13","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Córrego do Boiadeiro","-42.522778","-14.534722","930","930",NA,"ca de 3m de alt. Folhas discolores com face abaxial glauca. corla rósea, brácteas involucrais verdes.; Vegetação ripária, mata inundável.",NA,NA,"Ogasawara, HA",NA,NA,NA,"-42.522778","-14.534722","2011","06",NA,NA,NA,NA,NA
