"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","phylum","order","individualCount","infraspecificEpithet","recordNumber","continentOcean","preparationType","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2021-04-05 14:25:43-03","UNESC","CRI","14751","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia","Grah.","Jorge L. Waechter","1998","12","22","Claudio Ricken","1998","08","09","Brasil","Santa Catarina","Forquilhinha","-49.472778","-28.748056","49º28'22''W","28º44'53''S","Habito: Epífita","CRI014076","CRI014076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","5401","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia","Grah.","Vanilde Citadini-Zanette","1996","10","04","N. Benedet","1996","10","04","Brasil","Santa Catarina","Maracajá","-49.453611","-28.846389","49º27'13''W","28º50'47''S",NA,"CRI005872","CRI005872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","12621","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia","Grah.","Peterson T. Padilha & Renato Colares","2017","09","08","Alexandre Medeiros","2017","08","07","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 487. Flor Lilás. Habito: Epífita","CRI010835",NA,"Praia da Barra.","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3869","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3960","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,NA,"2016","12","05",NA,"2016","12","05",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3961","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,NA,"2016","12","05",NA,"2016","12","05",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4536","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,"Carlos Alberto Ferreira Júnior","2019","04","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4384","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,"Carlos Alberto Ferreira Júnior","2018","08","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4466","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,"Carlos Alberto Ferreira Júnior","2018","09","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4386","S","Plantae","Orchidaceae","Cattleya","intermedia","Cattleya intermedia",NA,"Carlos Alberto Ferreira Júnior","2018","08","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
