"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:40:41-03","E","E","313189","PreservedSpecimen","Plantae","Leguminosae","Inga","laurina","Inga laurina","Hind, D.J.N.; Queiroz, R.F.; Ganev, W.","51408","1992","01","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:316397","<a href=http://data.rbge.org.uk/herb/E00313189 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-07 12:00:00-02","NY","NYBG","1280365","PreservedSpecimen","Plantae","Fabaceae","Inga","fagifolia","Inga fagifolia","L. M. C. Gonçalves","246","1981","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1604206' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280365","Magnoliophyta","Fabales","M. P. M. de Lima","Alagoas","Mata Grande","Folha SC.24-X-C. Ponto 06.","-37.8","-10.17","NY01280365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","194553","PreservedSpecimen","Plantae","Fabaceae","Inga","fagifolia","Inga fagifolia","W. L. Balée","2807","1986","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194553","Magnoliophyta","Fabales",NA,"Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","-46.43","-2.72","NY00194553_01","(L.) Willd. ex Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","194552","PreservedSpecimen","Plantae","Fabaceae","Inga","fagifolia","Inga fagifolia","W. L. Balée","2782","1986","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194552","Magnoliophyta","Fabales",NA,"Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","-46.43","-2.72","NY00194552_01","(L.) Willd. ex Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","194554","PreservedSpecimen","Plantae","Fabaceae","Inga","fagifolia","Inga fagifolia","W. L. Balée","2812","1986","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00194554","Magnoliophyta","Fabales",NA,"Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","-46.43","-2.72","NY00194554_01","(L.) Willd. ex Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2290","PreservedSpecimen","Plantae","Fabaceae","Inga","fagifolia","Inga fagifolia intermedia","E. Hassler","4628",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=130955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002290","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,"NY00002290_01","Hassl.","intermedia","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 13:52:00-02","NY","NYBG","408935","PreservedSpecimen","Plantae","Fabaceae","Inga","laurina","Inga laurina","L. A. Mattos Silva","2128","1986","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408935","Magnoliophyta","Fabales",NA,"Bahia","Prado","Rodovia Cumuruxatiba (litoral) para Prado, km 10","-39.22463","-17.1770954","NY00408935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924253","PreservedSpecimen","Plantae","Fabaceae","Inga","laurina","Inga laurina","R. de Lemos Fróes","11688","1940","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924253","Magnoliophyta","Fabales","F. Bonadeu da Silva","Maranhão","São Luís","Island of São Luiz, Anil.","-44.24243","-2.550163","NY00924253_01","(Sw.) Willd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","547747","PreservedSpecimen","Plantae","Fabaceae","Inga","laurina","Inga laurina","S. C. de Sant'Ana","653","1998","06","03","South America","Brazil","sheet",NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547747","Magnoliophyta","Fabales","T. D. Pennington","Bahia","Una","Una Biological Reserve: Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas feitas no ramal de acesso à sede da Reserva, e na picada do marimbondo","-39.08","-15.15","NY00547747_01","(Sw.) Willd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","408896","PreservedSpecimen","Plantae","Fabaceae","Inga","laurina","Inga laurina","R. P. Belém","3327","1967","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408896","Magnoliophyta","Fabales",NA,"Bahia","Santa Cruz Cabrália","2-4 Km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c).","-39.0440986","-16.2986237","NY00408896_01","(Sw.) Willd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
