"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","county","identifiedBy","coordinatePrecision","individualCount","geoFlag","yearIdentified","monthIdentified","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","429158","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews","isotype","R. M. Harley","15536","1974","01","28","South America","Brazil","Bahia","Serra do Sincorá; ca. 6 km. north of Barra da Estiva on Ibicoara road","-41.3","-13.58","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00429158","NY00429158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:44:07-03","NBC","NL-BOTANY","U 0000585","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews","isotype","Harley RM; et al.",NA,"1974","01","28","Southern America","Brazil","Bahia","Estado de BahiaSerra do Sincóraca.6km. N. of Barra da Estiva on Ibicoara road.","-41.3","-13.583333",NA,NA,NA,"Grassland with low shrubs and scattered woodland.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000585","NL-U0000585","Magnoliopsidae","-41.3","-13.583333","391634 B",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:22:31-03","UNICAMP","UEC","42022","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews","isotypus","Harley, RM; Renvoize, SA; Erskine, CM; Brighton, CA; Pinheiro, R","15536","1974","01","28",NA,"Brazil","Bahia","Serra do Sincorá, ca. 6km N of Barra da estiva on Ibicoara road.","-41.3","-13.583333","1100","1100",NA,"Spindly shrub to ca. 3m with erect wandlike very straight little branched stems. Leaves strongly convex above. Flowers creamy white. Fruit black, depressed globose.; Grassland with low shrubs and scattered woodland.","UEC055683","UEC055683",NA,"-41.3","-13.583333",NA,"Barra da Estiva",NA,NA,NA,NA,NA,NA,NA
"4","2020-09-02 16:20:16-03","Cenargen","CEN","9433","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews",NA,"Lídio Coradin","6382","1983","07","04",NA,"Brasil","BA","Estrada Barra da Estiva - Mucugê, km 7.","-41.3269004821777","-13.6260995864868","1220","1220","Exsicatas",NA,"CEN00009433","CEN00009433",NA,NA,NA,NA,"BARRA DA ESTIVA","S. Andrews","61861","4","auto",NA,NA,NA
"5","2021-02-15 18:50:34-03","USP","SPF","40167","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews","isotype","Harley, RM","15536","1974","01","28",NA,"Brasil","Bahia","ca. 6 km N of Barra da Estiva on Ibicoara road. Grassland with low shrubs and scattered woodland.","-41.3","-13.583333","1100","1100",NA,"Spindly shrub to ca. 3m. with erect wandlike very straight little branched stems. Leaves strongly convex above. Flowers creamy white. Fruit black, depressed globose.","SPF00040167","SPF00040167",NA,"-41.3","-13.583333",NA,"Ibicoara","Andrews, S",NA,NA,NA,"1983",NA,NA
"6","2019-11-13 11:15:31-03","USP","SPF","40166","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews",NA,"Harley, RM","20882","1980","03","24",NA,"Brasil","Bahia","Serra do Sincorá","-41.266667","-13.7","1300","1500",NA,NA,"SPF00040166","SPF00040166",NA,"-41.266667","-13.7",NA,NA,"Andrews, S",NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:15:31-03","USP","SPF","18245","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula","S.Andrews",NA,"Giulietti, AM","CFCR1336","1981","07","19",NA,"Brasil","Bahia",NA,"-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"SPF00018245","SPF00018245",NA,NA,NA,NA,"Barra da Estiva","Andrews, S","61861",NA,"auto","1985","05",NA
"8","2018-04-04 16:24:57-03","F","FMNH-SEEDPLANTS","V0427009F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula",NA,NA,"A. M. Giulietti","1336",NA,NA,NA,"South America","Brazil","Bahia",NA,"-42","-11",NA,NA,NA,NA,"V0427009F","V0427009F_01 V0427009F_02","Dicotyledoneae",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,NA,NA,"1336"
"9","2020-07-23 11:57:39-03","CEPLAC","CEPEC","25387","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula",NA,"Paratipo","R. M. Harley","20882","1996","06","28",NA,"Brasil","Bahia","9Km S cidade. Serra do Sincorá, NW Serra do Ouro, a E Rod. Barra da Estiva/Ituacu.","-41.266667","-13.7",NA,NA,NA,NA,NA,NA,NA,"41W16'0","13S42'0","16/12/1981","BARRA DA ESTIVA","G. P. Lewis",NA,NA,NA,NA,NA,NA
"10","2020-07-23 11:57:39-03","CEPLAC","CEPEC","11552","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","auricula","Ilex auricula",NA,"Holótipo","R. M. Harley","15536","1974","01","28",NA,"Brasil","Bahia","Ca. 6Km ao N da Rod. Barra da Estiva/Ibicoara.","-41.3","-13.583333",NA,NA,NA,NA,NA,NA,NA,"41W18'0","13S35'0","02/04/1982","BARRA DA ESTIVA","S. Andrews",NA,NA,NA,NA,NA,NA
