"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","346008","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Arundinella","flammida","Arundinella flammida","Trin.","type","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346008","NY00346008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","650589","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"F. J. Fernández Casas","FC6022","South America","Paraguay","Parque Nacional Cerro Corá, base del Cerro Muralla","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650589",NA,"E. J. Judziewicz","1982","02","07","Amambay","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00862080","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"G. T. Prance","26261","South America","Brazil","Rio Taquari, Fazenda Taruma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862080","NY00862080_01","G. Davidse","1979","06","20","Mato Grosso do Sul",NA,NA,"Corumbá","-56.67","-18.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00906284","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"G. Gardner","4069s.n.","South America","Brazil","Prov. Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906284","NY00906284_01",NA,"1841",NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 14:56:00-03","NY","NYBG","650588","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida",NA,NA,"T. J. Killeen","905","South America","Bolivia","Est. Las Madres, 45km N of Concepción","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650588",NA,"T. J. Killeen","1985","05","07","Santa Cruz","500","500","Ñuflo de Chávez","-62.08","-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","650583","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"H. S. Irwin","31016","South America","Brazil","Serra da Agua de Rega. Rio Riachao, ca. 27km N. of Seabra, road to Agua de Rega","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650583","NY00650583_01","G. Davidse","1971","02","25","Bahia","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00862056","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"G. G. Hatschbach","35943","South America","Brazil","7 Quedas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862056","NY00862056_01","S. A. Renvoize","1975","02","08","Mato Grosso do Sul",NA,NA,"Rio Verde de Mato Grosso","-54.90181","-18.9385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00862076","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"H. S. Irwin","24583","South America","Brazil","Chapada dos Veadeiros, ca. 40 km north of Veadeiros (Alto Paraíso)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862076","NY00862076_01","T. R. Soderstrom","1969","03","17","Goiás","1000","1000","Cavalcante","-47.51666667","-13.75517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00906285","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"G. Gardner","4069","South America","Brazil","Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906285","NY00906285_01",NA,"1836",NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862057","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Loudetia","flammida","Loudetia flammida","(Trin.) C.E.Hubb.",NA,"L. M. M. Carreira","580","South America","Brazil","Chapada dos Guimaraes, Buriti","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862057","NY00862057_01","E. J. Judziewicz","1983","03","20","Mato Grosso",NA,NA,"Chapada dos Guimarães","-55.77825","-15.432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
