"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","406979","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","A. Krapovickas","G. G. Hatschbach","46553","1983","05","17","South America","Brazil","Bahia","Rio de Contas","Rio de Contas, Arredores","-41.812","-13.58415","sheet","Foto cor <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406979","NY00406979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","406980","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","P. A. Fryxell","R. M. Harley","26540","1988","12","01","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas. Vertente norte. Vale ao noroeste do Pico; Entre rochas","-41.98","-13.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406980","NY00406980_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","406978","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","P. A. Fryxell","R. M. Harley","26540","1988","12","01","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas. Vertente norte. Vale ao noroeste do Pico; Entre rochas","-41.98","-13.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406978","NY00406978_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","406982","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","P. A. Fryxell","A. Furlan","1677","1981","07","22","South America","Brazil","Bahia","Rio de Contas","Estrada para a Cachoeira do Fraga, no Rio Brumado, a 3 km de Rio de Contas","-41.829003","-13.59829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406982","NY00406982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","406983","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","P. A. Fryxell","A. Furlan","CFCR1677","1981","07","22","South America","Brazil","Bahia","Rio de Contas","Estrada para a Cachoeira do Fraga, no Rio Brumado, a 3 km de Rio de Contas","-41.829003","-13.59829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406983","NY00406983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","406976","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","P. A. Fryxell","A. M. Giulietti","CFCR6861","1984","12","14","South America","Brazil","Bahia","Rio de Contas","Pico das Almas","-41.8114","-13.5792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406976","NY00406976_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","406981","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","A. Krapovickas","S. A. Mori","12368","1979","07","21","South America","Brazil","Bahia","Rio de Contas","4 km ao N de Rio de Contas","-41.77","-13.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406981","NY00406981_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","406977","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.","G. L. Esteves","W. Ganev","172","1992","04","21","South America","Brazil","Bahia","Abaíra","Distrito de Catolés: Serra do Porco Gordo - Sítio Palmeira","-41.77","-13.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406977","NY00406977_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:42:27-03","EAO","IAN","19388","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Pavonia","almasana","Pavonia almasana","Ulbr.",NA,"Luetzelberg, P von","100",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN019388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:19:39-03","UFBA","ALCB","92073","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Pavonia","almasana","Pavonia almasana","Ulb.","Abreu, IS","Abreu, IS","25","2009","09","22","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Caminho de Arapiranga para Ouro Verde, na área do Porco Gordo","-42.261111","-13.742222",NA,"ca. 1,6m alt., folhas discolores e pegajosas. Cálice verde, corola púrpura com base vinácea. Androginóforo púrpura com estames amarelos.",NA,NA,"1219","1219","2009","10","-42.261111","-13.742222",NA,NA,NA,NA,NA,NA
