"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","yearIdentified","monthIdentified","dayIdentified","typeStatus","occurrenceRemarks","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean"
"1","2020-11-04 11:18:25-03","ESALQ","ESA","34257","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L. Cabral & Bacigalupo","Carmo, J.A.M.","Souza, J.P. et al.","931.0","1996","12","15","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","ESA034257","ESA034257","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:32:22-03","IAP","PACA-AGP","27764","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E. L. Cabral et Bacigalupo","J.A.M. Carmo","E. Friderichs",NA,"1944","01",NA,"Brasil","RS","Campos do Jordão",NA,NA,NA,"PACA027764","PACA027764",NA,"Magnoliatae","Rubiales","2015","03","02","Paratipo","Habitat: In campestribus dumetosis Fenofase: flor",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:39:29-03","UNICAMP","UEC","168281","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo",NA,"Batista, TA; Moraes, C; Boechat, C","265","2011","01","29","Brazil","Minas Gerais","Itamonte","-44.819056","-22.38225",NA,"UEC091185","UEC091185",NA,NA,NA,NA,NA,NA,NA,"Erva reateira com folhas discolores e flores brancas.; Ponto 33 - Cota 2100 m de altitude. Floresta com altura média de dossel de 13 m. Solo coberto por Bromeliaceas possuindo espessa camada de raízes e serrapilheira. Presênça de Croto","Hotel Casa Alpina Ao lado da estação metereológica da cota 2100. Beira da trilha","-44.819056","-22.38225","2101","2101",NA
"4","2020-02-14 09:20:52-03","UNICAMP","UEC","120907","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Meireles, LD; Aona, LYS","Meireles, LD","608","2001","09","20","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC038872","UEC038872","auto",NA,NA,"2003",NA,NA,NA,"Erva rasteira, flores brancas, sob substrato no afloramento.","Monte Verde, Afloramento Rochoso",NA,NA,NA,NA,NA
"5","2020-02-14 09:20:52-03","UNICAMP","UEC","121150","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Meireles, LD; Aona, LYS","Meireles, LD","640","2001","10","16","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC038869","UEC038869","auto",NA,NA,NA,NA,NA,NA,"Erva rasteira com flores brancas.","Monte Verde, Floresta Ombrófila Densa Alto-Montana",NA,NA,NA,NA,NA
"6","2021-03-01 16:39:29-03","UNICAMP","UEC","180150","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Carmo, JAM","Carmo, JAM; Monge, M","74","2012","09","09","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC033660","UEC033660","auto",NA,NA,"2013","01",NA,NA,"Subarbusto decumbente, flores brancas.; beira de trilha em floresta ombófila densa. msm","Monte verde, trilha da pedra redonda.",NA,NA,NA,NA,NA
"7","2021-03-01 16:39:29-03","UNICAMP","UEC","180149","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Carmo, JAM","Carmo, JAM; Monge, M","71","2012","09","09","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC033657","UEC033657","auto",NA,NA,"2013","01",NA,NA,"Subarbusto decumbente, flores brancas.; Afloramento rochoso, msm","Monte verde, trilha da pedra redonda.",NA,NA,NA,NA,NA
"8","2021-03-01 16:39:29-03","UNICAMP","UEC","180151","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo",NA,"Carmo, JAM","105","2013","01","24","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC033659","UEC033659","auto",NA,NA,NA,NA,NA,NA,"Substrato prostrado, corola branca.; trilha em floresta montana, msm","Monte Verde, trilha para o Platô,",NA,NA,NA,NA,NA
"9","2021-03-01 16:39:29-03","UNICAMP","UEC","180146","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Carmo, JAM","Carmo, JAM; Simões, AO; Scatigna, AV","140","2013","12","18","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC033656","UEC033656","auto",NA,NA,"2013","12",NA,NA,"Erva decumbente, flores brevistilas, corola branca.","Monte verde, trilha para Pedra Partida, msm",NA,NA,NA,NA,NA
"10","2021-03-01 16:39:29-03","UNICAMP","UEC","180152","S","Plantae","Magnoliopsida","Rubiaceae","Galianthe","vaginata","Galianthe vaginata","E.L.Cabral & Bacigalupo","Carmo, JAM","Carmo, JAM; Simões, AO; Scatigna, AV","141","2013","12","18","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC033662","UEC033662","auto",NA,NA,"2013","12",NA,NA,"Erva decumbente, flores longistilas, corola branca.","Monte verde, trilha para Pedra Partida, msm",NA,NA,NA,NA,NA
