"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","51550","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","karuaiana","Rhynchospora karuaiana","Steyerm.","isotype","J. A. Steyermark","60334","1944","11","18","South America","Venezuela","Bolívar","Río Karuai, between Santa Teresita de Kavanayén and base of Ptari-tepuí.","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051550","NY00051550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00939256","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"W. R. Anderson","9552","1973","05","01","South America","Brazil","Goiás","Serra do Caiapó, ca. 16 km (straight line) S of Caiapônia.","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939256","NY00939256_01","T. M. Koyama","Caiapônia","-51.81666667","-17.0922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01200652","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"R. Spruce","s.n.","1850","12",NA,"South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1450400' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200652","NY01200652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00939254","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"G. G. Hatschbach","23879","1970","02","20","South America","Brazil","Mato Grosso do Sul",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939254","NY00939254_01","T. M. Koyama","Terenos","-54.8603","-20.4422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685998","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"E. Hassler","10030",NA,"01",NA,"South America","Paraguay",NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685998",NA,"T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00939255","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"W. R. Anderson","9314","1973","04","21","South America","Brazil","Minas Gerais","Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939255","NY00939255_01",NA,NA,"-44.83","-15.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","685997","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"G. Davidse","5231","1973","12","26","South America","Colombia","Vichada","Ca. 51 km E of Las Gaviotas along unimproved dirt road to Santa Rita","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685997",NA,"T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685996","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"L. Aristeguieta","1582","1953","02",NA,"South America","Venezuela","Barinas","Cerca de Barinas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","569108","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"R. M. Harley","27635","1988","12","21","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Junco.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569108","NY00569108_01","A. C. Araújo","Rio de Contas","-41.88","-13.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","686000","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"G. Davidse","2600","1970","08","07","South America","Trinidad and Tobago",NA,"Trinidad. O'Meary savanna, just N of the Churchill-Roosevelt Hwy. along the O'Meary Road.","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
