"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","coordinatePrecision","geoFlag","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8027","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Fábio C. S. Vieira","2020","04","20","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","Habitat: interior da mata","CRI005264","CRI005264",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:50-03","ESALQ","ESA","82492","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F. Santos","Santos, M.F.","2019",NA,NA,"Mazine, F.F.; Sampaio, D.; Forster, W.; Salmazo, P.B. ; Ribeiro Jr., E.","2002","12","08","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso. Mata de Restinga.","-47.9199981689453","-25.0100002288818",NA,NA,"Árvore ca. 8m. Botões e flores brancas.","ESA082492","ESA082492","Magnoliophyta","750.0","37574","auto",NA,NA,NA,NA
"3","2020-11-04 11:14:50-03","ESALQ","ESA","72961","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F. Santos","Santos, M.F.","2019",NA,NA,"Sztutman, M. ; Valmir","1998","10","27","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,"ESA072961","ESA072961","Magnoliophyta","60.0","17990","auto",NA,NA,NA,NA
"4","2020-11-04 11:14:50-03","ESALQ","ESA","72963","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F. Santos","Santos, M.F.","2019",NA,NA,"Godoy, J.R. et al.","1999","01","10","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,"ESA072963",NA,"Magnoliophyta","47.0","17990","auto",NA,NA,NA,NA
"5","2021-03-01 16:36:35-03","UNICAMP","UEC","58246","S","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F. Santos","Santos, MF","2019",NA,NA,"Grupo B","1989","11","28","Brazil","São Paulo","Bertioga","estrada Rio - Santos","-46.138599395752","-23.8544006347656",NA,NA,"árvore, 6m, flores brancas; restinga arbórea","UEC083876","UEC083876","Magnoliopsida","22779","37616","auto",NA,NA,NA,NA
"6","2020-12-21 16:37:08-03","MBM","MBM","57589","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F. Santos","Lannoy, L.C.","2019","02",NA,"Hatschbach, G.","1972","12","07","Brazil","Paraná","Guaraqueçaba","Rio Morato","-48.3288993835449","-25.3066997528076",NA,NA,"Árvore 8m, flor alva.; Mata pluvial.","MBM057589","MBM057589",NA,"31837","37295","auto","HOLOTYPE","Southern America",NA,NA
"7","2021-02-11 17:20:43-03","UFPR","UPCB","41127","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Lannoy, L.C.","2019","05",NA,"Jaster, C.B.","2000","04","18","Brasil","Paraná","Guaraqueçaba","Ilha das Peças, porção sul","-48.3288993835449","-25.3066997528076",NA,NA,"Árvore DAP=10,2cm, h=10m. Caxetal alterado, ambiente parcialmente inundado, 6-21-19. Distância do mar ±720m..","UPCB0021425","UPCB0021425",NA,NA,"37295","auto",NA,NA,NA,NA
"8","2021-02-11 17:20:43-03","UFPR","UPCB","22923","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Lannoy, L.C.","2019","05",NA,"Zakrzewski, D.P.","1993","03","06","Brasil","Paraná","Guaraqueçaba","Ilha do Superagüi","-48.3288993835449","-25.3066997528076",NA,NA,"Arbusto, 3,3m x 14cm, com frutos. Em scrub litorâneo (restinga), a 200m da praia..","UPCB0021452","UPCB0021452",NA,NA,"37295","auto",NA,NA,NA,NA
"9","2021-02-11 17:20:43-03","UFPR","UPCB","22922","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Lannoy, L.C.","2019","05",NA,"Jaster, C.B.","1993","03","27","Brasil","Paraná","Guaraqueçaba","Ilha do Superagüi","-48.3288993835449","-25.3066997528076",NA,NA,"Arvoreta, 5m x 21cm, com frutos. Cordão arenoso (restinga)..","UPCB0021424","UPCB0021424",NA,NA,"37295","auto",NA,NA,NA,NA
"10","2021-02-11 17:20:43-03","UFPR","UPCB","22348","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Lannoy, L.C.","2019","05",NA,"Jaster, C.B.","1993","05","01","Brasil","Paraná","Guaraqueçaba","Ilha do Superagüi","-48.3288993835449","-25.3066997528076",NA,NA,"Arbusto, 2,9m. Local inundado (caxetal), distância do mar = 1600m..","UPCB0024152","UPCB0024152",NA,NA,"37295","auto",NA,NA,NA,NA
