"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","typeStatus","day","continentOcean","minimumElevationInMeters","individualCount","phylum","order","maximumElevationInMeters","occurrenceRemarks"
"1","2020-10-20 14:17:37-03","UFOPA","HSTM","6400","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","Vicentini, A.","2017","09","01","Lobato, C.B.; Salomão, R.P.; Rosa, N.A.; Santos, C.A.; Fonseca, D.; Santos, M.R.","3031","2003","08","Brasil","Pará","Oriximiná","Porto Trombetas. Floresta Nacional Saracá Taquera, Mineração Rio do Norte, Bela Cruz.","-56.45","-1.7","56º27'0''W","1º42'0''S","HSTM006400","HSTM006400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","1803543","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","S. Madriñán (GH)",NA,NA,NA,"Alberto Vicentini","Vicentini 653","1994","8","Brazil","Amazonas",NA,"Reserva Florstal Ducke, Manaus-Itacoatiara, km 26. Proximo a estacao meteorologica. Floresta de Vertente.","-59.96666","-2.88333",NA,NA,NA,NA,"Isotype","5","South America",NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","1502922","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","H. van der Werff",NA,NA,NA,"* PROJETO FLORA","PROJETO FLORA s.n.",NA,NA,"Brazil","Amazonas",NA,"Manaus, Reserva Florestal Ducke. Trilha Torre-Acampamento do Acará. Florestal de Vertente.","-59.96944","-2.88611",NA,NA,NA,NA,NA,NA,"South America","70.00000000",NA,NA,NA,NA,NA
"4","2014-07-01 20:31:00-03","MO","MOBOT","1457027","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","H. van der Werff",NA,NA,NA,"Anonymous","Anonymous s.n.",NA,NA,"Brazil","Amazonas",NA,"Municipio de Manaus, Distrito Agropecuario da SUFRAMA Rodovia BR-174, Km 64 depois 23 Km Leste na ZF3, Fazenda Esteio. Reserva No. 1202 do projeto Dinamica Biologica de Fragmentos Florestais. Arv. No. 3094. Mata de terra firme sobre latosolo amarelo muito argilosa.","-59.86666","-2.4",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"5","2013-02-22 05:41:00-03","MO","MOBOT","3145985","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","S. Madriñán",NA,NA,NA,"J.L. dos Santos","Santos 1202.5767","1980","10","Brazil","Amazonas",NA,"Municipio de Manaus, Distrito Agropecuario da Suframa Rodovia BR 174, Km 64 depois 23 Km Leste na ZF3, Fazenda Esteio, Reserva No. 1202 do projeto Dinamica Biologica de Fragmentos Florestais. Arv. No.5767. Mata D.A.P. =35.10 cm, Fuste=25.00 m. Material Esterial (sem sinais de reproducao).","-59.86666","-2.4",NA,NA,NA,NA,NA,"2","South America",NA,NA,NA,NA,NA,NA
"6","2014-07-01 20:31:00-03","MO","MOBOT","1457025","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","H. van der Werff",NA,NA,NA,"Anonymous","Anonymous s.n.",NA,NA,"Brazil","Amazonas",NA,"Municipio de Manaus, Distrito Agropecuario da SUFRAMA Rodovia BR-174, Km 64 depois 23 Km Leste na ZF3, Fazenda Esteio. Reserva No. 1202 do projeto Dinamica Biologica de Fragmentos Florestais. Arv. No. 5767. Mata de terra firme sobre latosolo amarelo muito argilosa. D.A.P.= 35.10 cm, Fuste = 25.00 m.","-59.86666","-2.4",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"7","2011-02-28 13:35:00-03","MO","MOBOT","3146440","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","S. Madrián",NA,NA,NA,"C.A. Mackenzie","Mackenzie 2108.35","1982","8","Brazil","Amazonas",NA,"Municipio de Manaus, Distrito Agropecuario da Suframa Rodovia BR 174, Km 72 depois 6 Km Oeste da BR, Fazenda Dimona, Reserva No. 2108 do projeto Dinamica Biologica de Fragmentos Florestais. Arv. No. 35. Mata de terra firme sobre latosolo amarelo quadrado nao amostrado.","-60.08333","-2.31666",NA,NA,NA,NA,NA,"6","South America",NA,NA,NA,NA,NA,NA
"8","2015-08-12 16:30:00-03","MO","MOBOT","100850128","PreservedSpecimen","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","H. van der Werff (MO)",NA,NA,NA,"Jefferson Carvalho-Sobrinho|et al.","Carvalho-Sobrinho 1680","2007","9","Brazil","Amazonas","Presidente Figueiredo","Rebio Uatumã: grade do PPBio.","-59","-1",NA,NA,NA,NA,NA,"25","South America",NA,"1",NA,NA,NA,NA
"9","2020-08-31 09:11:40-03","INPA","INPA","169282","S","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","Vicentini, A","2000",NA,NA,"Mackenzie, CA","2108.35","1982","08","Brasil","Amazonas","Manaus","Distrito Agropecuário, ZF3., Distrito Agropecuário da SUFRAMA Rodovia Br-174, km 72 depois 6 km leste na ZF3, fazenda Esteio, Reserva No. 2108 do projeto Dinamica Biológica de Fragmentos Florestais. Arv. No. 35. Mata de terra firme sobre latosolo ama","-60.133333","-2.535167","-60.133333","-2.535167","INPA0169282","INPA0169282 INPA0169282_e",NA,"06","Southern America",NA,NA,"Dicotyledon Magnoliids","Laurales",NA,NA
"10","2021-01-10 20:48:35-03","INPA","INPA","177326","S","Plantae","Lauraceae","Rhodostemonodaphne","recurva","Rhodostemonodaphne recurva","van der Werff","Werff, HH van der","1998","05",NA,"Vicentini, A","653","1994","08","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Próximo a estação meteorológica.","-59.966667","-2.883333","-59.966667","-2.883333","INPA0177326","INPA0177326 INPA0177326_e","holotype","05","Southern America",NA,NA,"Dicotyledon Magnoliids","Laurales",NA,NA
