"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","476112","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","C. E. Anderson","R. M. Harley","21781","1980","04","25","South America","Brazil","Bahia","Chapadao Ocidental da Bahia ca. 15 km S.W. of Correntina on the road to Goiás","-44.72","-13.48","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476112","NY00476112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476111","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","C. E. Anderson","J. G. Jardim","905","1996","08","10","South America","Brazil","Bahia","Ca. 17 km a W da sede do município, na Rod. BA 349 no sentido Correntina/Brasília","-44.73","-13.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476111","NY00476111_01","Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","67687","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","C. E. Anderson","H. S. Irwin","14889","1966","04","15","South America","Brazil","Bahia","Drainage of the Rio Corrente, Western Bahia. Cerrado, ca. 5 km S of Rio Roda Velha, ca. 150 km SW of Barreiras.","-44.9731","-12.3633","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067687","NY00067687_01","Sao Desidério","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:19:09-03","UFBA","ALCB","133791","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Guedes, ML","Guedes, ML; Lopes, EB; Araújo, FS","30745","2018","09","01","Southern America","Brasil","Bahia","Oeste, Ponto nº01.","-37.716389","-12.014167","583","583",NA,"Folhas discolores, face abaxial com indumento ferrugíneo. Estípulas interpeciolares bem desenvolvidas. Inflorescência com flores de pétalas amarelas.","ALCB055586","ALCB055586","Correntina",NA,"2018","12","-37.716389","-12.014167",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:19:09-03","UFBA","ALCB","01932","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Amorim, AMA","Torrend, Padre CSJ","s/n","1935","02",NA,"Southern America","Brasil","Bahia","Sudoeste","-40.833333","-14.85",NA,NA,NA,NA,"ALCB041165",NA,"Vitória da Conquista",NA,"1996",NA,"-40.833333","-14.85",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:19:09-03","UFBA","ALCB","024187","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Amorim, AMA","Jardim, JG; Carvalho, AM de; Santos, TS dos; Amorim, AMA; Sant'Ana, SC de","4008","1992","06","11","Southern America","Brasil","Bahia","Oeste, estrada para o aeroporto de barreiras","-44.983333","-12.15",NA,NA,NA,"Planta volúvel, robusta. Folhas discolores com face inferior verde-ferrugineo. Flores com corola amarelo vivo. Frutos imaturos verde-avermelhados.; cerrado.","ALCB041164",NA,"Barreiras",NA,"1992",NA,"-44.983333","-12.15",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:19:09-03","UFBA","ALCB","114746","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Ogasawara, HA; Alves, R","Ogasawara, HA; Pimentel, J","404","2014","06","03","Southern America","Brasil","Bahia","Serra do Mimo.","-44.931944","-12.172778","727","727",NA,"ca. 1,20. folhas discolores; cálice verde; corola amarela.","ALCB041159",NA,"Barreiras",NA,"2014","07","-44.931944","-12.172778",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:19:09-03","UFBA","ALCB","114755","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Ogasawara, HA; Alves, R","Ogasawara, HA; Pimentel, J","413","2014","07","02","Southern America","Brasil","Bahia","Serra do Mimo, próximo ao Teleférico.","-44.979722","-12.162222","676","676",NA,"ca. 70 cm; folhas discolores; cálice verde; corola amarela; glândulas e estames amarelos.","ALCB041158",NA,"Barreiras",NA,"2014","07","-44.979722","-12.162222",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:19:09-03","UFBA","ALCB","17672","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Amorim, AMA","Faria, LSS","s/n","1983","07","14","Southern America","Brasil","Bahia","Oeste, capão do meio.","-44.983333","-12.15",NA,NA,NA,"flores amarelas, fruto alado na porção superior, cor de vinho.","ALCB041163",NA,"Barreiras",NA,"1996",NA,"-44.983333","-12.15",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:19:09-03","UFBA","ALCB","55558","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Guedes, ML","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","475","2001","07","02","Southern America","Brasil","Bahia","Oeste, Assentamento Thainá","-44.866667","-12.616667",NA,NA,NA,"1,0 m. Folhas cartáceas, discolores. Inflorescências axilares protegidas por brácteas foliáceas, flores com pétalas amarelas. Frequente.","ALCB041160",NA,"São Desidério",NA,"2001","12","-44.866667","-12.616667",NA,NA,NA,NA,NA,NA,NA,NA
