"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:24:46-03","UNESC","CRI","9484","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","A. Korte","2010","01","27","A. Korte; A. Kniess","2900","2010","01","27","Brasil","Santa Catarina","Mirim Doce","-50.130833","-27.180278","50º7'51''W","27º10'49''S","596","596","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: erva terrícola","CRI000230","CRI000230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:46-03","UNESC","CRI","14427","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1639","2018","01","16","Brasil","Santa Catarina","Trombudo Central","-49.770278","-27.27","49º46'13''W","27º16'12''S","689","689",NA,"CRI013478","CRI013478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:46-03","UNESC","CRI","9483","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","A. Korte","2010","04","19","A. Korte; A. Kniess","2368","2010","03","30","Brasil","Santa Catarina","Rodeio","-49.411389","-26.910278","49º24'41''W","26º54'37''S","611","611","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: herbácea","CRI000225","CRI000225","São Pedro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:46-03","UNESC","CRI","9481","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","A. Korte","2010","05","28","A. Korte; A. Kniess","3266","2010","05","14","Brasil","Santa Catarina","Indaial","-49.230833","-27","49º13'51''W","27º0'0''S","357","357","Floresta Ombrófila Densa","CRI000226","CRI000226","Warnow Alto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:46-03","UNESC","CRI","10157","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Karoline Ceron",NA,NA,NA,"Vanilde C. Zanette; Karoline Ceron","2","2013","04","01","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","130","130","Mata Atlântica Floresta Ombrófila Densa Submontana","CRI000224","CRI000224","Rio Carvão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:46-03","UNESC","CRI","1778","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","R. R. Negrelle",NA,NA,NA,"Vanilde Citadini Zanette; C. M. Martinello",NA,"1993","01","22","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300",NA,"CRI000223","CRI000223","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:46-03","UNESC","CRI","7332","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein",NA,"2001","10","24","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S","120","120",NA,"CRI000227","CRI000227","Rio do Boi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493643","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","T. M. Pedersen",NA,NA,NA,"G. G. Hatschbach","20359","1968","11","21","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493643","NY00493643_01","Rio do Cedro","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02461005","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"L. V. Costa","82","1992","07","25","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2689799' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461005","NY02461005_01","Est. Biológica de Caratinga.","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","298182","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","T. M. Pederson",NA,NA,NA,"W. W. Thomas","11817","1998","02","10","Brazil","Bahia","Jussari","-39.58","-15.17",NA,NA,"450","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298182","NY00298182_01","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
