"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","typeStatus","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1065191","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll.Arg.","A. C. Allem","G. G. Hatschbach","45630","1982","10","12","South America","Brazil","Minas Gerais","Perdizes","Rod. BR-262","-47.2928","-19.3531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220893' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065191","NY01065191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:38:28-03","EAO","IAN","6226","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Manihot","elegans","Manihot elegans","Müll.Arg.",NA,"Riedel, L","476",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN006226","IAN006226_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:49:20-03","NBC","NL-BOTANY","L.2250724","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll.Arg.","Rogers DJ; Appan SG","Hatschbach GG",NA,"1961","12","11","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"Planta rasteira do cerrado<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2250724 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2250724","NL-L2250724","Magnoliopsidae","1971","06","01","L 0020986 | 962269015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:49:20-03","NBC","NL-BOTANY","U.1250157","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll.Arg.",NA,"Lindeman JC; Haas JH de",NA,"1967","01","26","Southern America","Brazil",NA,NA,"Est. Parana. 3 km N of Campo Mourao. Campo cerrado.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1250157 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1250157","NL-U1250157","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:07:56-03","ESALQ","ESA","48844","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Manihot","elegans","Manihot elegans","Müll. Arg.","Mendoza, M.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21241.0","1998","09","07",NA,"Brasil","Minas Gerais","Delfinópolis (?)",NA,"-46.8539009094238","-20.343900680542",NA,NA,"ESA048844",NA,NA,"2015","09","28",NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:11:33-03","UNICAMP","UEC","150507","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Manihot","elegans","Manihot elegans","Müll.Arg.","Mendoza, M","Morokawa, R; Simões, AO; Caddah, MK","180","2007","12","20",NA,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Trilha para parte alta da Casca D'anta, campo rupestre.","-46.3657989501953","-20.2453002929688",NA,"Flores verdes com máculas vermelhas.","UEC125363","UEC125363",NA,"2015","10","01",NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:24:38-03","MBM","MBM","77849","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Manihot","elegans","Manihot elegans","Müll. Arg.","Mendoza, M.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","45630","1982","10","12","Southern America","Brazil","Minas Gerais","Perdizes","Rod. BR-262","-47.2928009033203","-19.3528003692627",NA,"Semi-reptante, xilopodífera, laticífera, flor creme, nervuras vinosas.; Campo cerrado.","MBM077849",NA,NA,"2018","09","21",NA,"45889","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:24:40-03","MBM","MBM","16447","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll. Arg.","Allem, A.C.","Hatschbach, G.","25189","1970","10","24","Southern America","Brazil","Mato Grosso","Rio Brilhante","Rio Vacaria",NA,NA,NA,"Reptante.; Campo cerrado aberto.","MBM016447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:24:40-03","MBM","MBM","1927","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll. Arg.","Allem, A.C.","Hatschbach, G.; et al.; et al.","25926","1967","01","25","Southern America","Brazil","Paraná","Campo Mourão","Campo Mourão","-52.3830986022949","-24.0456008911133",NA,NA,"MBM001927","MBM001927",NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:24:40-03","MBM","MBM","41064","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Manihot","procumbens","Manihot procumbens","Müll. Arg.","Smith, L.B.","Hatschbach, G.","7529","1960","11","11","Southern America","Brazil","Paraná","Campo Mourão","Campo Mourão","-52.3830986022949","-24.0456008911133",NA,NA,"MBM041064","MBM041064",NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
