"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:41:25-03","E","E","134652","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","Dubs, Balthasar","2504","1998","07","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143075","<a href=http://data.rbge.org.uk/herb/E00134652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","410929","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","H. M. Curran","578","1918","12",NA,"South America","Brazil","sheet",NA,"(Distributed from the Gray Herbarium). Carapicho <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410929","Magnoliophyta","Malvales","L.","Bahia","Gongogi","Colonia de Gongugy","-39.4668388","-14.32406","NY00410929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","371848","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","J. L. Hage","656","1981","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371848","Magnoliophyta","Malvales","L.","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra I","-39.2273659","-14.771874","NY00371848_01","lobata","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942972","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","H. S. Irwin","17590","1966","06","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942972","Magnoliophyta","Malvales","L.","Goiás","Piranhas","Drainage of the Upper Rio Araguaia.","-51.85","-16.53","NY00942972_01",NA,"700","700","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","410932","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","N. Taroda","6740","1977","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410932","Magnoliophyta","Malvales","L.","São Paulo","Campinas","Nativo na Faz. Santa Eliza do Instituto Agronomico","-47.06","-22.9","NY00410932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","410927","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","S. A. Mori","10095","1978","05","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410927","Magnoliophyta","Malvales","L.","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415","-39.2273659","-14.771874","NY00410927_01",NA,"50","50","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2102731","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","M. G. da Silva","5388","1980","06","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102731","Magnoliophyta","Malvales","L.","Pará","Tucuruí","Estrada para Repartimento, km 25.","-49.7136","-3.9564","NY02102731_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1183727","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","A. Macedo","5899","2005","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452686' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183727","Magnoliophyta","Malvales","L.","Minas Gerais","Ituiutaba","Bairro Tupa.","-49.465","-18.9689","NY01183727_01",NA,NA,NA,"S. F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2102735","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","S. R. Hill","12788","1983","06","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245629' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102735","Magnoliophyta","Malvales","L.","Amazonas","Borba","15 km E of Borba; region of the rio Madeira","-59.58","-4.383333","NY02102735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2102712","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","J. F. Ramos","20177","1974","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245560' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102712","Magnoliophyta","Malvales","L.","Amazonas","Manaus","INPA, Estrada do Aleixo, km 3.","-59.986249","-3.097461","NY02102712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
