"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","class","previousCatalogNumber","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:26:09-03","UNESC","CRI","14418","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","Oliveira, AA de","2011","01","25","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","3841","2010","03","09","Brasil","Santa Catarina","Rio Fortuna","Canyon Espraiado / Campo dos Padres. Canyon Espraiado / Campo dos Padres.","-49.320556","-27.990556","49º19'14''W","27º59'26''S","1450","1450","Fito IFFSC 193 /N/5 Habitat: Floresta Ombrófila Mista; Estágio Médio a avançado; interior do fragmento Habito: arbórea;","CRI013538","CRI013538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00962132","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","S. F. Smith",NA,NA,NA,"A. Sehnem","2203","1946","10","15","Brazil","Rio Grande do Sul",NA,"São Salvador",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962132","NY00962132_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00962110","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","L. B. Smith",NA,NA,NA,"G. G. Hatschbach","15030","1966","10","19","Brazil","Paraná",NA,"Palmas.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962110","NY00962110_01 NY00962110_02","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00962105","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","L. A. Mentz",NA,NA,NA,"M. Sobral","s.n.",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Estrada B. Ouro-Riozinho.",NA,NA,NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962105","NY00962105_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00697180","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","S. D. Knapp",NA,NA,NA,"G. G. Hatschbach","72547","2001","11","09","Brazil","Santa Catarina","Urubici","Cachoeira do Avencal","-49.5917","-28.015",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=831862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697180","NY00697180_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00962107","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","L. A. Mentz",NA,NA,NA,"L. A. Mentz","188","1995","12","12","Brazil","Santa Catarina","Urubici","Vacas Gordas.","-49.5917","-28.015",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962107","NY00962107_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00962131","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","L. B. Smith",NA,NA,NA,"L. B. Smith","13489","1964","12","03","Brazil","Santa Catarina","Agua Doce","Campos de Palmas, 24 km southeast of Horizonte (Paraná).","-51.42","-26.75",NA,NA,"1000","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962131","NY00962131_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00962106","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","S. F. Smith",NA,NA,NA,"A. Sehnem","3934","1949","10","23","Brazil","Rio Grande do Sul",NA,"S. Salvador - Montegnegro.",NA,NA,NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962106","NY00962106_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00962130","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","J. R. Stehmann",NA,NA,NA,"J. R. Stehmann","1549","1994","11","04","Brazil","Santa Catarina",NA,"Bom Jardim da Serra: Estrada B. Jardim-S. Joaquim, km. 29.",NA,NA,NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962130","NY00962130_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00962135","PreservedSpecimen","Plantae","Solanaceae","Solanum","pabstii","Solanum pabstii","L.B.Sm. & Downs","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","22707","1969","10","26","Brazil","Paraná",NA,"Clevelandia.","-52.356349","-26.406902",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962135","NY00962135_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
