"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","454387","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","J. A. Kallunki","J. A. Kallunki","377","1993","01","25","South America","Brazil","Alagoas","Murici","Poço d'Anta, somewhere on dirt road to the right off of BR-104 at 17 km from BR-101, past Fazenda Bandaneiras","-35.93","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454387","NY00454387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454432","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","riedeliana","Mollinedia riedeliana","Tolm.",NA,"L. Riedel",NA,"1823","11",NA,"South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454432","NY00454432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454430","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","riedeliana","Mollinedia riedeliana","Tolm.",NA,"L. Riedel",NA,"1823","11",NA,"South America","Brazil","Rio de Janeiro","Magé","Mandiocca","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454430","NY00454430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","454431","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","riedeliana","Mollinedia riedeliana","Tolm.",NA,"L. Riedel",NA,"1823","11",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454431","NY00454431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:30-03","UFRJ","RFA","39868","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","A.L. Peixoto","R. Finotti; J. Caruzo",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Interior de fragmento florestal cujo o entorno é ocupado por propriedades particulares pequenas e pela Fazenda Recanto","-42.795278","-22.499722",NA,"Árvore com 5 m de altura e PAP 25,7 cm","RFA46037",NA,"42º47'43''W","22º29'59''S","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:51-03","UFBA","ALCB","90034","PreservedSpecimen","Plantae","Dicotyledon",NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","Lírio, EG","Hatschbach, G; Guimarães, O","46881","1983","10","15","Southern America","Brasil","Espírito Santo","Muniz Freire","arredores","-41.4131011962891","-20.4641990661621",NA,"ca. 2m. Flor verde-pálida.","ALCB003655","ALCB003655 ALCB003655_1",NA,NA,NA,NA,"2010","10","21","30072","auto",NA,NA,NA,NA,NA
"7","2019-11-21 14:39:54-03","UFJF","CESJ","54892","PreservedSpecimen","Plantae","Angiosperma",NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","E.J. Lírio","F.S. Souza; F.R.G. Salimena; A.P.G. de Faria","782","2009","11","01","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio, RPPN Alto da Boa Vista","-42.9674987792969","-21.4596996307373",NA,"Árvore ca 3m, flores amarelas. Em local encharcado na subida para o pico.","CESJ054892",NA,NA,NA,NA,NA,"2015",NA,NA,"11991","auto",NA,NA,NA,NA,NA
"8","2019-11-21 14:39:54-03","UFJF","CESJ","46100","PreservedSpecimen","Plantae","Angiosperma",NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","E.J. Lírio","P.L. Viana; N.F.O. Mota; T.E. Almeida; D. Souza","1870","2005","09","25","América do Sul","Brasil","Minas Gerais","Ferros","Área de influência da PCH Monjolos","-43.0233001708984","-19.2318992614746",NA,"Árvore com flores creme.","CESJ046100",NA,NA,NA,NA,NA,"2015",NA,NA,"31564","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:39:54-03","UFJF","CESJ","51385","PreservedSpecimen","Plantae","Angiosperma",NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","E.J. Lírio","G. Hatschbach; O.Guimarães","46881","1983","10","15","América do Sul","Brasil","Espírito Santo","Muniz Freire","arredores do município","-41.4131011962891","-20.4641990661621",NA,"Arbusto, 2m, flor verde-pálida. Mata.","CESJ051385",NA,NA,NA,NA,NA,"2015",NA,NA,"30072","auto",NA,NA,NA,NA,NA
"10","2019-08-16 08:40:09-03","UTFPR","HCF","20821","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","E.J. Lírio","G. Hatschbach","46881","1983","10","15",NA,"Brasil","ES","Muniz Freire","arredores","-41.4131011962891","-20.4641990661621",NA,"arbusto, 2 m, flor verde-pálida. Mata.",NA,NA,NA,NA,NA,NA,"2016","12",NA,"30072","auto",NA,NA,NA,NA,NA
