"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2016-09-28 15:20:00-03","NY","NYBG","478009","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","S. S. Renner","B. Øllgaard","74834","1984","06","13","South America","Ecuador","Zamora-Chinchipe","Immediately S and SE of Zamora","-78.95","-4.07","1000","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478009","NY00478009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03165771","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"E. Forero","1100","1975","04","23","South America","Colombia","Chocó","Alrededores de Quibdó, Carretera Quibdo-Guayabal",NA,NA,"30","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416598' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165771",NA,"D.Don","Quibdó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01796395","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","R. L. Liesner","24533","1988","10","08","South America","Venezuela","Amazonas","Cerro Duida, base on N side opposite Culebra.","-65.73","3.73","210","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796395","NY01796395_01","D.Don","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","500670","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","S. A. Mori","S. A. Mori","25323","2001","05","07","South America","French Guiana",NA,"Relais de Patawa. On the Montagne de Kaw road.","-52.152517","4.544767",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500670","NY00500670_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3165795","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"J. Florschutz","1958","1951","04","07","South America","Suriname","Nickerie","Warra savanna on western bank of Maratakka R.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416741' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165795",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3165793","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"R. Goodland","752","1963","09","17","South America","Guyana","Upper Takutu-Upper Essequibo","Stand 24, 2 miles S. of St. Ignatius.",NA,NA,"107","107","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416739' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165793",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01796391","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. Almeda; D. S. Penneys","T. W. Henkel","5780","1994","07","22","South America","Guyana","Potaro-Siparuni","Pakaraima Mts; Upper Ireng watershed; along Upper Kaatnang R., W slope of Achiknang",NA,NA,"1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021010' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796391","NY01796391_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01796384","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","J. D. Boeke","1507","1977","04","08","South America","Bolivia","La Paz","Apolo. Trail to WNW, 2 hours from Apolo.","-68.41692","-14.720389",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796384","NY01796384_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3165772","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"A. H. Gentry","17865","1976","08","18","South America","Colombia","Chocó","Quibdo-Medellin road near Quibdo, roadside and cleared pastures.",NA,NA,"80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416599' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165772",NA,"D.Don","Quibdó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 08:16:00-03","NY","NYBG","01796387","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. Almeda; D. S. Penneys","P. A. Mutchnick","1392","1995","05","28","South America","Guyana","Potaro-Siparuni","Northern Pakaraima Mts. Kato","-59.80916667","4.663333333","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796387","NY01796387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
