"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3781","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","ursina","Dyckia ursina","Lucas Assis","2016","07","01","Lucas Assis; Kelen Soares","2015","10","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, próximo ao mirante da Serra do Cipó, distrito de Cardeal Mota","-43.7144012451172","-19.1688995361328","26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873362","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","ursina","Dyckia ursina","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","04","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, 5 km. ao norte do Chapeu de Sol","-43.95","-19.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955630' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L.B.Sm.","6697","29","South America","1000","1000","sheet","NY00873362","NY00873362_01",NA,NA,NA,NA,NA
"3","2020-11-04 11:03:56-03","ESALQ","ESA","64704","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Souza, G.M.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","2000","02","Brasil","Minas Gerais","Alto Caparaó","BLOQUEADO","-41.8683013916016","-20.4333000183105","21645",NA,"Erva; brácteas verdes; cálice laranja-avermelhado, corola laranja","auto",NA,"23552.0","20",NA,"2370","2370",NA,"ESA064704","ESA064704",NA,NA,NA,NA,NA
"4","2021-01-14 15:25:52-03","MN","R","108943","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Forzza, R.C.","1997","02","17","Smith, L.B. 6697; Segadas-Vianna, F. 1088; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.","1952","04","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.95","-19.666667",NA,NA,NA,NA,"L.B. Sm.",NA,"29",NA,"1100","1100",NA,"R010005751","R010005751 R010005751_1","43°57'W","19°40'S",NA,NA,NA
"5","2021-01-14 15:25:52-03","MN","R","111335","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Forzza, R.C.","1996","03","08","Castellanos, A.","1958","04","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752","31264",NA,NA,"auto","L.B. Sm.","22285","04",NA,NA,NA,NA,"R010005752","R010005752",NA,NA,NA,NA,NA
"6","2020-12-20 21:16:25-03","UFV","VIC","034786","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"Paixão-Souza, B.; Guarçoni, E.","2011","05","Brasil","Minas Gerais","Santa na do Riacho","Trilha dos escravos",NA,NA,NA,NA,"terricola de ceca de 100 cm, folhas secundas, face abaxial com endumento, escapo de endumento lanuginoso branco,brácteas florais e sépalas de endumento lanuginoso marrom, pétalas laranjas.",NA,"L.B.Sm.","63","20",NA,NA,NA,NA,"VIC034786",NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:25-03","UFV","VIC","035284","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"Guarçoni, E.; Paixão, B.","2011","05","Brasil","Minas Gerais","Santa na do Riacho","subida do caminho dos Escravos, 934 m de alt.",NA,NA,NA,NA,"Campo rupestre arenítico, afloramento rochoso, terrestre, individuos isolados, folhas reflexas, escapo densamente branco tomentoso, flores densamente ferrugineo lanadas, também identificaa em frutificação.",NA,"L.B.Sm.","1625","20",NA,NA,NA,NA,"VIC035284",NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:25-03","UFV","VIC","031919","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"Ribeiro, O.B.C.","2008","03","Brasil","Rio de Janeiro","Teresópolis","em cultivo na coleção do Elton Leme","-42.9655990600586","-22.4122009277344","38539",NA,"Clonótipo da coleção de Elton Leme.","auto","L.B.Sm.","s.n.",NA,NA,NA,NA,NA,"VIC031919",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:32:46-03","UFJF","CESJ","42335","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","V.R. Almeida","2004","09",NA,"F.R.G. Salimena; K. Antunes; C.N. Matozinhos; O.J. Bastos Neto; P.H. Nobre","2004","05","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil.","-43.8278007507324","-22.0891990661621","20815",NA,"Planta no campo rupestre, base das folhas rosada e bainha branca, frutos passados.","auto","L.B. Sm.","1331","21","América do Sul",NA,NA,NA,"CESJ042335",NA,NA,NA,NA,NA,NA
"10","2020-07-02 18:52:16-03","UFJF","CESJ","49684","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","T.M. Machado","2008","03","17","T.M. Machado; F.S. Souza; J.A. Oliveira; S.A. Roman; I.C.Almeida; T. Mota; S.M. Dutra; F.R.G","2007","12","Brasil","Minas Gerais","Rio Preto","R.P.P.N. São Lourenço do Funil, 22º01'08,3 S, 43º54'12,9 W. ca. 1100 m.s.m. Areial.","-43.8278007507324","-22.0891990661621","20815",NA,"Erva terrestre em solo arenoso. Inflorescência paniculada com cerca de 2 metros. Pétalas e sépalas laranjas, raque piloso. Bractea floral laanja com o ápice escuro. Bráctea da inflorescência alternas no escapo. Roseta espiralada, não formando tanque. Fol","auto","L.B. Sm.","60","09","América do Sul",NA,NA,NA,"CESJ049684",NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:32:46-03","UFJF","CESJ","42722","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","V.R. Almeida","2004","09",NA,"C.N. Matozinhos; O.J. Bastos Neto; B.F.Mello; F.R.G. Salimena; P.H. Nobre","2004","08","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil.","-43.8278007507324","-22.0891990661621","20815",NA,"Rupícola, escapo salmão, com escamas cinéreas, flores em botão alaranjados, estames amarelos.","auto","L.B. Sm.","17","20","América do Sul",NA,NA,NA,"CESJ042722",NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:32:46-03","UFJF","CESJ","42328","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","V.R. Almeida","2004","09",NA,"F.R.G. Salimena; K. Antunes; C.N. Matozinhos; O.J. Bastos Neto; P.H. Nobre","2004","05","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil.","-43.8278007507324","-22.0891990661621","20815",NA,"Planta terrestre, no campo rupestre. Folhas castanho rosadas, base alva, cálice e corola laranja-avermelhados, estames amarelos.","auto","L.B. Sm.","1333","21","América do Sul",NA,NA,NA,"CESJ042328",NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:59:13-03","UNICAMP","UEC","48768","S","Plantae","Liliopsida",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Forzza, RC","1997","02",NA,"Hutchison, PC; Páffaro, JL","1985","08","Brazil","Minas Gerais","Jaboticatubas","Chapéu de Sol, 30 minute walk thru pasture towards sett","-43.7449989318848","-19.513599395752","31264",NA,"flor","auto","L.B.Sm.","8911","13",NA,NA,NA,NA,"UEC005039","UEC005039",NA,NA,NA,NA,NA
"14","2020-12-11 11:43:31-03","UFMG","BHCB","41792","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"Duarte, AP","1969","08","Brasil","Minas Gerais",NA,"Serra do Cipó.",NA,NA,NA,NA,"Planta com flores alaranjadas, rupestre, planta robusta",NA,"L.B.Sm.","s.n.","25","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:43:31-03","UFMG","BHCB","49036","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.B.Sm.","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-08-26 09:16:14-03","UFSM","HDCF","7276","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Büneker, H. M.","2014","06","17","Büneker, H. M.; Assis, L. C.; Soares, K. P.","2014","06","Brasil","Minas Gerais","Cardeal Mota","Próximo a Chapéu do Sol",NA,NA,NA,NA,NA,NA,"L. B. Sm.","294","17","América",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:02:37-03","IBt","SP","44724","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Smith, LB","1943",NA,NA,"Foster, MB; Foster, R","1940","07","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752","31264",NA,"Plants grow in full sun, exposed area 9 to 14 in. Florescence: 3,5 to 4 ft. Brown fuzz on bracts protruding out of bracts","auto","L.B.Sm.","636","12",NA,NA,NA,NA,"SP001757","SP001757",NA,NA,"Isotype",NA,NA
"18","2019-11-21 10:02:37-03","IBt","SP","332858","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Forzza, RC","1997",NA,NA,"Forzza, RC; Rapini, A",NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Chapéu do Sol.","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto","L.B.Sm.","231",NA,NA,NA,NA,NA,"SP051673","SP051673",NA,NA,NA,NA,NA
"19","2019-11-21 10:02:37-03","IBt","SP","276576","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina","Forzza, RC","1997",NA,NA,"Pirani, JR; et al.","1991","05","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 109 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Próximo à Estrada da Usina Dr. Pacífico Mascarenhas.","-43.7144012451172","-19.1688995361328","26557",NA,NA,"auto","L.B.Sm.","CFSC12350","31",NA,NA,NA,NA,"SP051674","SP051674",NA,NA,NA,NA,NA
"20","2010-08-16 16:41:34-03","GH","HU-HERB","GH 00029073","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"M. B. Foster & R. Foster",NA,NA,"Brazil","Minas Gerais",NA,"North of Bello Horizonte",NA,NA,NA,NA,NA,NA,"L. B. Smith","636",NA,"South America",NA,NA,"Sheet",NA,NA,NA,NA,"Holotype","636","undetermined"
"21","2010-08-16 16:41:30-03","GH","HU-HERB","GH 00029074","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","ursina","Dyckia ursina",NA,NA,NA,NA,"M. B. Foster & R. Foster",NA,NA,"Brazil","Minas Gerais",NA,"Serra Cipo, Municipio Jautica Hubas, north of Bello Horizonte, growing in full sun, very dry rocky sections, 1400 m.",NA,NA,NA,NA,NA,NA,"L. B. Smith","636",NA,"South America",NA,NA,"Sheet",NA,NA,NA,NA,"Holotype","636","undetermined"
