"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","individualCount","fieldNumber","dayIdentified","preparationType","class","order"
"1","2021-03-30 12:52:45-03","EAO","IAN","68952","PreservedSpecimen","Plantae","Monocotiledônea","Orchidaceae","Eulophia","ruwenzoriensis","Eulophia ruwenzoriensis","Rendle","Meneguzzo, TEC","2013","12","Black, GA","11107","1951","01","22","Southern America","Brasil","São Paulo","Itirapina","Campo.","-47.8199996948242","-22.25","22843","Orquídeas do campo, labelo roxo escuro.","IAN068952","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:32-03","UFMG","BHCB","119653","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Eulophia","ruwenzoriensis","Eulophia ruwenzoriensis","Rendle",NA,NA,NA,"Batista, JAN","1975","2008","03","08","Southern America","Brasil","Minas Gerais","Moeda","Serra da Moeda, Entrada para Moeda, cerca de 33 km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR-040. Morros a esquerda da pista em direção a Moeda, cerca de 1 km após o entroncamento com a BR-040.","-43.95775","-20.273972",NA,"Erva terrestre; em campo limpo seco em encosta pedregosa. Solo areno-argiloso, raso, com algum cascalho sobre a superficie. Área queimada durante a seca","BHCB001378",NA,"-43.95775","-20.273972","1466","1466","BHCB001378",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:44:32-03","UFMG","BHCB","120045","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Eulophia","ruwenzoriensis","Eulophia ruwenzoriensis","Rendle",NA,NA,NA,"Batista, JAN","2364","2007","12","28","Southern America","Brasil","Distrito Federal","Brasília","Santuário Ecológico do Riacho Fundo","-47.95525","-15.872222",NA,"Erva terrestre, em campo limpo e campo sujo seco. Solo areno-argiloso, acinzentado, seco. Local anteriormente queimado. Ocasional. Em extremo final de floração, observado apenas um exemplar com flores.",NA,NA,"-47.95525","-15.872222","1041","1041",NA,NA,NA,NA,NA,NA,NA
"4","2012-04-12 05:10:00-03","MO","MOBOT","1196445","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","argentina","Pteroglossaspis argentina","Rolfe","R. Vazquez",NA,NA,"Alfredo F. Fuentes","Fuentes Claros 356","1993","11","20","South America","Bolivia","Santa Cruz","Andrés Ibáñez","El Vallecito, estación experimental dependiente de la universidad, km 9 carretera al norte, entrando 1 km al este. Terrenos agricolas, suelos oscuros de textura fina cona algo de arena.",NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,"2",NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","2294031","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","argentina","Pteroglossaspis argentina","Rolfe","Ariza Espinar, L.",NA,NA,"Luis Ariza Espinar","Ariza Espinar 3021","1983","1","3","South America","Argentina","Córdoba","Punilla","A orillas del Lago San Roque, entre Carlos Paz y el paredón del Dique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-01-26 12:57:00-02","MO","MOBOT","984602","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","G. Romero",NA,NA,"Elsa M. Zardini|A. Acosta","Zardini 42166","1995","1","26","South America","Paraguay","Boquerón",NA,"(ex Nueva Asunción Department). Parque Nacional Teniente Agripino Enciso. Dry forest.","-61.6577778","-21.2088889",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","991",NA,NA,NA,NA
"7","2018-01-26 12:53:00-02","MO","MOBOT","1073754","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","G. Romero",NA,NA,"Elsa M. Zardini|Leongino Guerrero","Zardini 44523","1996","1","19","South America","Paraguay","San Pedro",NA,"Yaguareté Forest (Sustainable Forest Systems Site). Low forest (study site).","-56.1155556","-23.7958333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1048",NA,NA,NA,NA
"8","2012-04-12 05:10:00-03","MO","MOBOT","1196444","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","R. Vásquez",NA,NA,"Alfredo F. Fuentes","Fuentes Claros 359","1993","11","21","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Pampas del Urubó, 5 km al este de la ciudad. Sabana antropogenica, suelos areosos.",NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,"2",NA,NA,NA,NA,NA
"9","2018-01-26 12:49:00-02","MO","MOBOT","1542332","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","G. Romero",NA,NA,"Elsa M. Zardini|B. Ojeda","Zardini 55723","2000","12","3","South America","Paraguay","Misiones",NA,"Around Yabebiry.","-57.1627778","-27.3844444",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1223",NA,NA,NA,NA
"10","2019-11-07 11:44:47-03","FUVATES","HVAT","5076","PreservedSpecimen","Plantae",NA,"Orchidaceae","Eulophia","ruwenzoriensis","Eulophia ruwenzoriensis","Rendle","C. R. Buzatto","2017","02","F. Bruxel; E. Freitas","s.n.","2017","02","16",NA,"Brasil","Rio Grande do Sul","Pantano Grande","Vila Capivarita, Horto Tarumã.","-52.491389","-30.328333",NA,"Herbácea, terrícola.; Área de campo, entre touceiras de Poaceae, em APP em meio a plantios de Eucalyptus .","HVAT00005076",NA,"-52º29'29''W","-30º19'42''S",NA,NA,NA,NA,NA,"28",NA,NA,NA
"11","2020-09-02 16:35:22-03","Cenargen","CEN","37482","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","J. A. N. Batista","2001","03","João Aguiar Nogueira Batista","1205","2001","03","17",NA,"Brasil","DF","BRASILIA","Área entre a QI 17 do lago sul e a quadra 25 do SMPW, um pouco acima do córrego do Gama. Possivelmente dentro da Reserva Ecológica do IBGE. Área oposta ao aeroporto.","-47.9296989440918","-15.7797002792358","70570","Área entre campo limpo estacionalmente úmido (mais baixo) e campo sujo e cerrado (mais acima) Solo argiloso, superficialmente marrom. Área anteriormente queimada, mas com a cobertura graminosa já bem desenvolvida. Observados somente 2 exemplares em floração e um terceiro somente com aprte vegetativa, todos próximos entre si. Um exemplar com as flores em excelente estado o outro com as flores já secas. Sépalos externamente marrom-esverdeados, internamente roxos. Pétalos roxos. Labelo com os lobos laterais roxo claro, o lobo central roxo bem escuro. Doação da Flora do Distrito Federal - Brasil .","CEN00037482","auto",NA,NA,NA,NA,"CEN00037482","1",NA,NA,"Exsicatas",NA,NA
"12","2020-09-02 16:35:22-03","Cenargen","CEN","58104","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","J. A. N. Batista & L. B. Bianchetti","2005","07","Zenilton de Jesus Gayoso Miranda","103","2001","12","07",NA,"Brasil","DF","BRASILIA","Em loteamento na área próxima ao Varjão, localidade no Lago Norte de Brasília.","-47.9296989440918","-15.7797002792358","70570","Em solo úmido, cinza, próximo a campo de murundu. Segmentos da flor marrom vináceo na parte adaxial, e verdes na parte abaxial. Em final de floração. Doação da Flora do Brasil - Distrito Federal - Brasília.","CEN00058104","auto",NA,NA,NA,NA,"CEN00058104","1",NA,NA,"Exsicatas",NA,NA
"13","2020-09-02 16:35:22-03","Cenargen","CEN","45590","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","J. A. N. Batista","2002","11","João Aguiar Nogueira Batista","1315","2002","11","09",NA,"Brasil","DF","BRASILIA","RA-VIII, N. Bandeirante. Santuário Ecológico do Riacho Fundo. Entre o balão do aeroporto e o N. Bandeirante. Atrás do zoológico. Área próxima as chácaras ao lado da pista (DF-003) para o N. Bandeirante, do lado oposto a sede do santuário.","-47.9296989440918","-15.7797002792358","70570","Área anteriormente queimada, talvez a cerca de 2-3 meses. Pseudobulbos completamente enterrados. Folhas em início de brotação. Em plena floração. Inflorescência verde, coberta por bainhas de cor palha. Ovário e pedicelo verde, brácteas esverdeadas a cor de palha. Sépalas e pétalas com a face externa esverdeada e as margens vinho-arroxeada. Face interna completamente vinho-arroxeada. Labelo vinho-arroxeado bem escuro, margens branco esverdeadas; face externa esverdeada. Coluna com o ápice e a base vinosos, parte mediana esverdeada. Antera esbranquiçada, ápice verde. Flora do Brasil - Distrito Federal - Núcleo Bandeirante.","CEN00045590","auto",NA,NA,NA,NA,"CEN00045590","1",NA,NA,"Unicata",NA,NA
"14","2020-09-02 16:35:22-03","Cenargen","CEN","15152","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","L. B. Bianchetti","2007","06","João Aguiar Nogueira Batista","76","1990","04","01",NA,"Brasil","DF","BRASILIA","Campo sujo entre o Parque Ecológico Norte e o Parque Nacional de Brasília.","-47.9296989440918","-15.7797002792358","70570","Pétalas e sépalas vinho-amarronzado. Labelo vinho bem escuro (quase preto).","CEN00015152","auto",NA,NA,NA,NA,"CEN00015152","1",NA,NA,"Exsicatas",NA,NA
"15","2020-09-02 16:35:22-03","Cenargen","CEN","50025","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pteroglossaspis","ruwenzoriensis","Pteroglossaspis ruwenzoriensis","(Rendle) Rolfe","L. B. Bianchetti","2003","04","Glocimar Pereira-Silva","7543","2003","04","10",NA,"Brasil","GO","LUZIANIA","Borda Norte da Chapada, Faz. do Sr. Azarias, nascente do córrego Capão da Anta.","-47.9502983093262","-16.2525005340576","83221","Labelo e pétalas na porção interna atropurpureum e verde na porção externa, polínia amarela. Área de Influência Indireta.","CEN00050025","auto",NA,NA,"940","940","CEN00050025","1",NA,NA,"Exsicatas",NA,NA
