"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","typeStatus","recordNumber","continentOcean","occurrenceRemarks","barcode","imagecode","individualCount","monthIdentified","relatedCatalogItem","phylum","class","order"
"1","2021-03-31 13:40:08-03","MN","R","216570","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems","Chautems, A.","2014","Silva, A.G.O. 182; Lacerda, R.W.","2011","09","07","Brasil","Rio de Janeiro","Magé","Cachoeira Grande","-43.040599822998","-22.6527996063232","43°07#?#58.01#?##?#W","22°34#?#20.84#?##?#S","20531","280","280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:29:03-03","MBM","MBM","239283","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems","Chautems, A.","1997","Cunha, N.M.L.; et al.; et al.","1988","10","10","Brazil","São Paulo","Ubatuba","Picinguaba, Trilha do lado esquerdo do Rio Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","ISOTYPE","215","Southern America","Trepadeira, flores brancas, interior do tubo com manchas vinho, frutos vermelhos.; Trepadeira, flores brancas, interior do tubo com manchas vinho, frutos vermelhos.; Mangue doce.","MBM239283","MBM239283",NA,NA,NA,NA,NA,NA
"3","2011-03-02 17:07:00-03","MO","MOBOT","2346101","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems","A. Chautems",NA,"N.M. Lepsch da Cunha|et al.","1988","10","10","Brazil","São Paulo",NA,"Mun. Ubatuba - SP - Picinguaba. Trilha do lado esquerdo do Rio Picinguaba.",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","Cunha 215","South America",NA,NA,NA,"1",NA,NA,NA,NA,NA
"4","2020-07-15 14:43:34-03","UNESP-RC","HRCB","11046","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems ","A. Chautems",NA,"Ribeiro, J. E. L. da S.",NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","Parátipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-15 14:43:34-03","UNESP-RC","HRCB","10987","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems ","A. Chautems",NA,"Garcia, F. C. P.",NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","Parátipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-15 14:43:34-03","UNESP-RC","HRCB","10655","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems ","A. Chautems",NA,"Ribeiro, J. E. L. da S.",NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","Parátipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-15 14:43:34-03","UNESP-RC","HRCB","10409","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems ","A. Chautems",NA,"Garcia, F. C. P.",NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","Parátipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-15 14:43:34-03","UNESP-RC","HRCB","9497","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems ","A. Chautems",NA,"Cunha, N. M. L.",NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba, trilha do lado esquerdo do Rio Picinguaba,","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","Holótipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:20:17-03","USP","SPF","203217","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems","Chautems, A","1997","Braga, JMA","1993","10","15","Brasil","Rio de Janeiro","Guapimirim","Rio Bananal.","-42.9818992614746","-22.5372009277344",NA,NA,"21463","300","400","auto",NA,"766",NA,NA,"SPF00203217","SPF00203217",NA,"01",NA,NA,NA,NA
"10","2021-03-12 16:33:20-03","USP","SPF","68807","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","venosa","Codonanthe venosa","Chautems","Chautems, A",NA,"Cunha, NML; et al.","1988","10","10","Brasil","São Paulo","Ubatuba","Picinguaba, Trilha do lado esquerdo do rio Picinguaba, mangue doce.","-45.0699996948242","-23.4300003051758",NA,NA,"34265",NA,NA,"auto","isotype","215",NA,"Trepadeira, flores brancas, interior de tubo com manchas vinho, frutos vermelhos.","SPF00068807","SPF00068807",NA,NA,NA,NA,NA,NA
