"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00891647","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","M. A. Chase","11453","1930","03","20","South America","Brazil","Goiás","Goiânia","Vicinity of Goyaz capital, Goyaz","-49.2539","-16.6786","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891647","NY00891647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00891646","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"M. A. Chase","11892","1930","04","08","South America","Brazil","Mato Grosso",NA,"Between Bonito and Rondonopolis",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891646","NY00891646_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00891650","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"P. W. Richards","6439","1968","07","14","South America","Brazil","Mato Grosso",NA,"Plot 4, P/C transect, Xavantina.","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891650","NY00891650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00891618","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","H. S. Irwin","21372","1968","03","18","South America","Brazil","Tocantins","Guaraí","10 km S. of Guará.","-48.52","-8.93","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891618","NY00891618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00891676","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","M. A. Chase","Y. E. J. Mexia","5520","1931","04","02","South America","Brazil","Minas Gerais","Corinto","Corinto. Fazenda do Diamante; pasture southeast of buildings","-44.4564","-18.3808","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891676","NY00891676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00891652","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","T. C. Plowman","8227","1980","02","01","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891652","NY00891652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00891644","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"J. R. Swallen","3746","1934","03","01","South America","Brazil","Maranhão",NA,"Barra do Corda to Grajahú",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891644","NY00891644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00891649","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","W. R. Anderson","9809","1973","05","06","South America","Brazil","Mato Grosso",NA,"Top and eastern slope of mountain ca. 9 km NE of Barra do Garças","-52.19058","-15.82579","500","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891649","NY00891649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00891625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","W. R. Anderson","9697","1973","05","04","South America","Brazil","Mato Grosso",NA,"Ca. 35 km (straight line) ENE of Barra do Garças","-51.94808","-15.7622","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891625","NY00891625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00891623","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","W. R. Anderson","8280","1973","04","06","South America","Brazil","Goiás","Cristalina","Rio Cristal, 44 km by road SE of Cristalina.","-47.33","-16.88","980","980","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891623","NY00891623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
