"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","fieldNumber","preparationType","class","order","typeStatus","relatedCatalogItem"
"1","2019-10-09 11:10:07-03","UFBA","ALCB","029870","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Hind, DJN","2000","09","Guedes, ML","s/n","1997","06","28","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.5588989257812","-12.5289001464844","20767","Ca. 30 cm. Folhas discolores, face abaxial esbranquiçada. Capítulos com flores do disco e do raio alvas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:07-03","UFBA","ALCB","135075","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Roque, N","2018","12","Alunos de Botânica BIOC05; Roque, N","08","2018","11","17","Southern America","Brasil","Bahia","Rio de Contas","Brumadinho, Trilha para o Vale do Queiroz.","-39.886667","-13.283333",NA,"folhas em roseta, discolores. Brácteas involucrais verdes, flores com corola alva.",NA,"-39.886667","-13.283333","1444","1444","ALCB061801","ALCB061801",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:07-03","UFBA","ALCB","127350","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Calvo, J","2017","02","Calvo, J","7380","2016","12","24","Southern America","Brasil","Bahia","Palmeiras","Valle de Capão, trilha a Pati","-41.486111","-12.676389",NA,"wet silt-clay soil",NA,"-41.486111","-12.676389","1270","1270","ALCB044062","ALCB044062",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:07-03","UFBA","ALCB","16061","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Hind, DJN","2000","09","Guedes, ML","662","1983","06","29","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.472222","-12.45",NA,"Folhas membranáceas, discolores, face adaxial verde e abaxial esbranquiçada. Capítulos com brácteas involucrais esverdeadas e flores do raio alvas.",NA,"-41.472222","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:07-03","UFBA","ALCB","16284","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Hind, DJN","2000","09","Lobo, CMB","s/n","1982","10","01","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina","-41.383333","-12.566667",NA,"Caule arroxeado. Flores brancas.",NA,"-41.383333","-12.566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:07-03","UFBA","ALCB","89080","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind","Roque, N","2009","07","Roque, N; Acevedo-Rodríguez, P; Funk, V; Keeley, S","2188","2009","07","07","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Morro do Pai Inácio","-41.3899993896484","-12.563099861145","47385","em fendas de rocha, folhas fortemente discolores, face adaxial verde-brilhante. Brácteas involucrais verde-cinéreas, flores alvas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:23:39-03","UNICAMP","UEC","202693","S","Plantae","Magnoliopsida","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind",NA,NA,NA,"Scatigna, AV; Carmo, JAM","1030","2016","01","17",NA,"Brazil","Bahia","Rio de Contas","Serra das Almas. Trilha para Pico das Almas. Campo rupestre.","-41.949722","-13.518889",NA,"Erva, ca. 20 cm. Flor branca, folhas discolores.",NA,"-41.949722","-13.518889",NA,NA,"UEC200168","UEC200168",NA,NA,NA,NA,NA,NA
"8","2015-09-04 09:44:38-03","MNHN","RECOLNAT_MNHN_P","P04267201","PreservedSpecimen",NA,NA,"Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","(L.) D.J.N.Hind","Roque",NA,NA,"Harley, R.M.|Mayo, S.J.|Storr, R.M.|Santos, T.S.|Pinheiro, R.S.",NA,"1977","3","18",NA,"Brasil","Bahia",NA,"Brazil. Estado da Bahia, Serra das Almas. Middle N.E. slopes of the Pico das Almas, ca. 25 km. W.N.W. of the Vila do Rio de Contas. Bahia, Nordeste, Brasil, América do Sul","-41.95","-13.55",NA,". . Field work sponsered by the Royal Botanical Garden, Kew, and the Academia Brasileira de Ciências, and carried out with the collaboration of the Centro de Pesquisas do Cacau, Itabuna, Bahia, January-April 1977 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04267201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1500","1600","P04267201","P04267201_01","19618","hb",NA,NA,NA,NA
"9","2020-12-11 11:32:36-03","UFMG","BHCB","180265","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind",NA,NA,NA,"Fernandes, AC; Viana, PL; Mota, NFO; Paula, LFA; Jorge, TB","217","2010","10","13","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas, Trilha subida para o pico.","-41.935556","-13.54975",NA,"Campo rupestre",NA,"-41.935556","-13.54975","1519","1519","BHCB032633",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:11:16-03","UEFS","HUEFS","66497","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Chaptalia","chapadensis","Chaptalia chapadensis","D.J.N.Hind",NA,NA,NA,"Mori, S.A.","14388","1981","06","12",NA,"Brasil","Bahia","Palmeiras","Pai Inácio, BR 242 W of Lençóis at km 232.","-41.5588989257812","-12.5289001464844","20767","Campo rupestre","auto",NA,NA,NA,NA,"HUEFS0066497",NA,NA,NA,"Asteranae","Asterales","Isótipo",NA
