"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","typeStatus","fieldNumber","year","locality","preparationType","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-04-08 17:42:20-03","EAO","IAN","40179","PreservedSpecimen","Plantae","Dicotiledônea","Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Saint-Hilaire","s.n.","Southern America","Brasil","IAN040179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-07 01:59:35-02","MNHN","RECOLNAT_MNHN_P","P02429240","PreservedSpecimen",NA,NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,"Brésil","P02429240","isotype","C1 677","1816","Quemada près de San Antonio dos montes , Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429240' target='other'> <mi>dwc_moreinfo</mi></a>","P02429240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-07 01:53:57-02","MNHN","RECOLNAT_MNHN_P","P02429241","PreservedSpecimen",NA,NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,"Brésil","P02429241","isotype","C1 677","1816","Quemada près de San Antonio dos montes , Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429241' target='other'> <mi>dwc_moreinfo</mi></a>","P02429241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-11-07 02:57:48-02","MNHN","RECOLNAT_MNHN_P","P02429242","PreservedSpecimen",NA,NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,"Brésil","P02429242","isotype","C1 677","1816","Quemada près de San Antonio dos montes , Goyaz","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429242' target='other'> <mi>dwc_moreinfo</mi></a>","P02429242_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-11-24 14:11:20-02","UFLA","ESAL","19737","S","Plantae",NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Argenta, JA; Ribeiro, AO","323/83",NA,"Brasil",NA,NA,NA,NA,"Reserva do Boqueirão",NA,"; 30cm; terminais amarelas;",NA,"Massensini Jr.; A.","2016","04","28","Minas Gerais","Ingaí","-44.9171981811523","-21.4011001586914","16664","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:31:55-03","UEFS","HUEFS","187438","PreservedSpecimen","Plantae","Angiospermae","Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Snak, C.","772",NA,"Brasil","HUEFS0187438",NA,NA,"2011","Rodovia Niquelândia - Colinas do Sul, após o trevo para Muquém.",NA,"Cerrado.","HUEFS0187438","A.Francener","2014","04",NA,"Goiás","Niquelândia","-48.186111","-14.463056",NA,NA,"Rosanae","Malpighiales","10","23","48W11'10''","14S27'47''","528","528",NA
"7","2019-09-04 19:12:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Malpighiaceae","Camarea","linearifolia","Camarea linearifolia",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-23 12:11:14-03","CEPLAC","CEPEC","60433","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia",NA,"T. B. Cavalcanti","970",NA,"Brasil",NA,NA,NA,"1991","Estrada nova Minaçu a Serra da Mesa. 24Km do asfalto. Área de influência direta.",NA,NA,NA,"A. M. Amorim",NA,NA,NA,"Goiás","MINAÇÚ","-48.2","-13.666667",NA,NA,NA,NA,"10","11","48W12'","13S40'",NA,NA,"30/12/1996"
"9","2017-09-11 17:10:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Saint-Hilaire, AFCP","s.n.","Southern America","Brazil",NA,NA,NA,NA,"In prov. Goyazensi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:08:39-03","IBt","SP","446647","S","Plantae",NA,"Malpighiaceae","Camarea","linearifolia","Camarea linearifolia","A.St.-Hil.","Francener, A; Hall, CF; Dantas Queiroz, MV; Fernandes Jr, AJ","1269",NA,"Brasil",NA,NA,NA,"2013","DF-190 no primeiro km da rodovia próxima a rotatória da DF-180",NA,NA,NA,"Mamede, MCH","2013","04","18","Distrito Federal","Brasília","-48.2206","-15.830833",NA,NA,NA,NA,"01","19","-48.2206","-15.830833","1055","1055",NA
