"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","minimumElevationInMeters","individualCount","typeStatus","fieldNumber","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","3215","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Eduardo G. Gonçalves","2013","10","20","Carlos Alberto F. Jr.; Fernando Fernandes","CAF1237","2013","10","16","Brasil","Minas Gerais","Santana do Riacho","Terreno da Gracinha, caminha para a RPPN Brumas do Espinhaço","-43.7144012451172","-19.1688995361328","26557","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:34-03","JBP","HPL","843","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","H. Lorenzi","2002","01","02","H. Lorenzi","3016","2002","01","02","Brasil","SP","Nova Odessa","Cultivado no Instituto Plantarum.","-47.29","-22.77","8440",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:13:24-03","MBM","MBM","254125","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, E.G.",NA,NA,NA,"Gonçalves, E.G.","647","2000","12","27","Brazil","Tocantins","Arraias","Rio Arraias","-46.9383010864258","-12.9314002990723","66446",NA,"auto","Southern America","MBM254125","MBM254125",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:13:24-03","MBM","MBM","254126","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, E.G.",NA,NA,NA,"Gonçalves, E.G.","684","2000","12","29","Brazil","Tocantins","Arraias","Estrada para Combinato","-46.9383010864258","-12.9314002990723","66446",NA,"auto","Southern America","MBM254126","MBM254126",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:13:24-03","MBM","MBM","405881","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Rosario, C.S.","2012","03","05","Rosario, C.S.; Batista, J.; Batista, J.","s.n.","2012","03","05","Brazil","Pará","Vitória do Xingu","Rio Xingu, Sítio Belo Monte, MOD7","-52.0099983215332","-2.88000011444092","79439","Erva de 40 cm de altura; inflorescência em espiga creme.","auto","Southern America","MBM405881","MBM405881",NA,NA,NA,NA,NA,NA,NA
"6","2018-12-10 13:05:00-02","MO","MOBOT","101087011","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"Alfredo F. Fuentes","Fuentes Claros 1403",NA,NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-12-10 13:05:00-02","MO","MOBOT","101087015","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"Alfredo F. Fuentes","Fuentes Claros 467",NA,NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-12-10 13:05:00-02","MO","MOBOT","101087619","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"LLATAS","LLATAS 9727",NA,NA,NA,"Peru","Cajamarca","Chota",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2012-04-12 05:10:00-03","MO","MOBOT","1090742","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","A. Fuentes",NA,NA,NA,"Alfredo F. Fuentes","Fuentes Claros 1403","1996","12","9","Bolivia","Santa Cruz","Nuflo de Chavez","Estancia San Miguelito, 200 km NE de la ciudad de Santa Cruz; campamento La Pascana WCS. Bosque semideciduo chiquitano de piedemonte, 1 km al E del campamento.","-61.78333","-17.75",NA,NA,NA,"South America",NA,NA,"270.00000000","5",NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1113537","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"S.P. Cordovil|et al.","Cordovil 127","1992","10","8","Brazil","Goiás",NA,"Mpio. Uruacu. Fazenda Aranha a 8 km do corrego castelao.",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
