"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01023632","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","R. M. Harley","R. M. Harley","PCD4839","1997","02","01","South America","Brazil","Bahia","Rio de Contas","15 km. de Mucugê, estrada para Cascavel.","-41.8197","-13.5956","1000","1000","sheet","Projeto Chapada Diamantina: Convênio UFBA - Royal Botanic Gardens Kew. Herbário Alexandre Leal Costa (ALCB). <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199749' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023632","NY01023632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01023631","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley",NA,"M. L. S. Guedes","PCD5513","1997","02","13","South America","Brazil","Bahia","Mucugê","Caminhio para Abaíra.","-41.3744","-13.0067","970","970","sheet","Projeto Chapada Diamantina: Convênio UFBA - Royal Botanic Gardens Kew. Herbário Alexandre Leal Costa (ALCB). <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199736' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023631","NY01023631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00000623","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley",NA,"R. M. Harley","20934","1980","03","25","South America","Brazil","Bahia",NA,"Serra do Sincorá, 4 km S of Cascavel, on the Ibicoara road.","-41.38","-13.22","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000623","NY00000623_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:44:14-03","UNEB","HUNEB","10403","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi",NA,NA,"Guedes, M.L.","ALCB 78091",NA,NA,NA,NA,"Brasil","Bahia","Mucugê","Chapada Diamantina, Próximo ao Rio Paraguaçu.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"HUNEB0010403",NA,NA,"Dicotyledoneae","52493","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:18:01-03","UFBA","ALCB","035589","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Harley, RM","Harley, RM; Passos Júnior, LA; Guedes, ML; Stannard, B; Atkins, S; Saar, E","PCD4839","1997","02","01","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, 15 km de Mucugê, estrada para Cascavel","-41.819722","-13.595556","1000","1000",NA,"1,0 m, pouco ramificado. Folhas com face adaxial verde, abaxial verde-acinzentado. Pedúnculos, brácteas e lobos do cálice verde-vináceo, pelos eretos, esbranquiçados, corola violácea-azulada, lobos mais claros, filetes e estiletes violáceos, anteras",NA,NA,NA,NA,NA,NA,"1997","02","-41.819722","-13.595556",NA,NA,NA
"6","2019-10-09 11:18:01-03","UFBA","ALCB","035657","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Antar, GM","Guedes, ML; Stannard, B; Passos Júnior, LA; Harley, RM; Atkins, S; Saar, E","PCD5513","1997","02","13","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Caminho para Abaíra","-41.374444","-13.006667","970","970",NA,"folhas verdes. Flores singelas.",NA,NA,NA,NA,NA,NA,"2018","03","-41.374444","-13.006667",NA,NA,NA
"7","2019-10-09 11:18:01-03","UFBA","ALCB","09550","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Harley, RM","Bastos, BC","34","1980","08","21","Southern America","Brasil","Bahia","Irecê","Próximo da Fazenda Guarani. Ca. 8km de Gabriel. Margem da estrada.","-41.85","-11.3",NA,NA,NA,"Ca. 1,60m. Com flores roxas. Muito frequente.; Subst. Solo bem drenado.",NA,NA,NA,NA,NA,NA,"1995","11","-41.85","-11.3",NA,NA,NA
"8","2019-10-09 11:18:01-03","UFBA","ALCB","78091","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","13304","2007","05","01","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Próximo ao Rio Paraguaçu","-41.340833","-12.988333","1200","1200",NA,"com ramos tomentosos. Folhas cartáceas, discolores, tomentosas. Inflorescência em capítulos com flores liláses. Freqüente.",NA,NA,NA,NA,NA,NA,"2007","05","-41.340833","-12.988333",NA,NA,NA
"9","2019-10-09 11:18:01-03","UFBA","ALCB","88991","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Antar, GM","Roque, N; Acevedo-Rodríguez, P; Funk, V; Keeley, S","2099","2009","07","04","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, em frente às estufas de flores","-41.443611","-13.027222","1030","1030",NA,"ca. 0,5m alt.; folhas discolores. Sépalas róseas, flores lilases.",NA,NA,NA,NA,NA,NA,"2018","03","-41.443611","-13.027222",NA,NA,NA
"10","2019-10-09 11:18:01-03","UFBA","ALCB","95112","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Antar, GM","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","17193","2010","06","14","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Estrada de Mucugê para Abaíra","-41.528333","-13.210556","1160","1160",NA,"de ca 1 m de altura. Folhas ovadas, com ápice obtuso e base arredondada, margem crenada, pilosas. Capítulos esféricos , flores com cálice verde pálido e flores lilases a púrpuras.",NA,NA,NA,NA,NA,NA,"2018","03","-41.528333","-13.210556",NA,NA,NA
"11","2019-10-09 11:18:01-03","UFBA","ALCB","95147","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley, R.M.) Harley, R.M. & J.F.B. Pastore","Guedes, ML","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","17148","2010","06","14","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Mucugê Estrada para Abaíra","-41.498333","-13.072222","1021","1021",NA,"de ca 1m de altura. Folhas crassas, tomentosas. Inflorescência com flores passadas.",NA,NA,NA,NA,NA,NA,"2010","07","-41.498333","-13.072222",NA,NA,NA
"12","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U 0002546","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley",NA,"Harley RM; et al.",NA,"1980","03","25","Southern America","Brazil","Bahia",NA,"Estado da BahiaSerra do Sincorá. 4km S. of Cascavel, on the Ibicoara road.","-41.383333","-13.216667",NA,NA,NA,"Disturbed ''''campo geral'''': grassland rich in Dicotyledonous herbs & shrubs and acaulous palms.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002546 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002546","NL-U0002546","isotype","Magnoliopsidae",NA,NA,NA,NA,"-41.383333","-13.216667","488846 B",NA,NA
"13","2021-03-21 19:36:22-03","UFC","EAC","20526","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","Harley, R.M.","Fernandes, A.; Matos, F.J.A.; Andrade, M.","EAC20526","1994","03","27","Southern America","Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,"Subarbusto","EAC0020526","EAC0020526",NA,NA,"52493","auto","2010","12",NA,NA,NA,"07",NA
"14","2020-12-21 16:30:13-03","MBM","MBM","87730","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","Harley, R.M.","Hatschbach, G.","47537","1984","01","22","Southern America","Brazil","Bahia","Ibiquera","Ibiquara, arredores","-40.9336013793945","-12.6511001586914",NA,NA,NA,NA,"MBM087730","MBM087730",NA,NA,"32554","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:30:13-03","MBM","MBM","333872","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","Guedes, M.L.","Guedes, M.L.; et al.; et al.","13304",NA,NA,NA,"Southern America","Brazil","Bahia","Chapada Diamantina","Mucugê. Próximo ao Rio Paraguaçu",NA,NA,NA,NA,NA,"Campo rupestre. Subarbusto com ramos tomentosos. Folhas cartáceas, discolores, tomentosas. Inflorescêcnia em capítulos com flores liláses. Frequente","MBM333872","MBM333872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:30:24-03","MBM","MBM","393922","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B. Pastore","Guedes, M.L.","Guedes, M.L.; Gomes, F.S.; Guaré, F.C.; Silveira, E.R.; Gomes, F.S.; Guaré, F.C.; Silveira, E.R.","17148","2010","06","14","Southern America","Brazil","Bahia","Mucugê","Estrada para Abaíra","-41.498333","-13.072222","1021","1021",NA,"Arbusto, ca. 1m alt. Folhas crassas, tomentosas. Inflorescência com flores passadas.; Campos gerais.","MBM393922","MBM393922",NA,NA,NA,NA,"2010","07","-41.498333","-13.072222",NA,NA,NA
"17","2019-08-15 09:03:42-03","UESC","UESC","17914","S","Plantae","Angiospermae","Florideophycidae","Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","R.M.Harley","Queiroz, L.P.de","2468","1992","02","15",NA,"Brasil","Bahia","Mucugê",NA,"-41.471389","-12.975","1040","1040",NA,"Campo cerrado com árvores esparsas de Byrsonima verbascifolia, Stryphonodendron e Sclerolobium.; Arbusto de 0,5-1,0 m.","UESC0017914",NA,NA,"Dicotyledoneae",NA,NA,"1996",NA,"41W28'17''","12S58'30''",NA,NA,NA
"18","2015-08-13 05:50:00-03","MO","MOBOT","100509355","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley",NA,"R.M. Harley|et al.","Harley 20934","1980","3","25","South America","Brazil","Bahia",NA,"Serra do Sincorá, 4 km S of Ibicoara road",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2860101","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B. Pastore",NA,"S. A. Mori, R. M. King, T. S. Santos & J. Hage","12545","1979","7","25","South America - Neotropics","Brazil","Bahia",NA,"Região Cacaueira da Bahia. Município de Mucujê. A 21 km ao SW de Mucujê na estrada para Jussiape.",NA,NA,"1000",NA,NA,NA,"US02887914","US02887914_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","3020829","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B. Pastore",NA,"G. Hatschbach","47537","1984","1","22","South America - Neotropics","Brazil","Bahia",NA,"Ibiquara, arredores.",NA,NA,NA,NA,NA,NA,"US02887913","US02887913_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","3713479","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B. Pastore",NA,"N. Roque, P. Acevedo-Rodriguez, V. Funk & S. C. Keeley","2099","2009","7","4","South America - Neotropics","Brazil","Bahia",NA,"Chapada Diamantina, Mucugê, em frente às estufas de flores.","-41.4436","-13.0272","1030",NA,NA,NA,"US01944611","US01944611_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"22","2020-09-02 16:30:12-03","Cenargen","CEN","42575","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","G. M. Antar","Luciano Paganucci de Queiroz","2648","1992","02","15",NA,"Brasil","BA","MUCUGE","Ca. 16 km NW de Mucugê, na estrada para Boninal.","-41.466666","-12.966666","1040","1040","Exsicatas","Arbusto de 0,5-1m. Folhas coriáceas com face inferior acinzentada. Flores com cálice verde-acinzentado e corola lilás. Doação Universidade Estadual de Feira de Santana. HUEFS nº 10160.","CEN00042575","CEN00042575",NA,NA,NA,NA,"2017","07","-41.466666","-12.966666",NA,NA,"1"
"23","2019-11-13 11:20:45-03","USP","SPF","205328","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","carvalhoi","Hyptis carvalhoi","Harley","Harley, RM","Harley, RM","55846","2008","01","26",NA,"Brasil","Bahia","Mucugê",NA,"-41.5275","-14.036111","1166","1166",NA,NA,"SPF00205328","SPF00205328",NA,NA,NA,NA,"2008",NA,"-41.5275","-14.036111",NA,NA,NA
"24","2019-11-21 10:12:16-03","USP","SPF","129001","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","Guedes, MLS","PCD5513","1997","02","13",NA,"Brasil","Bahia","Mucugê",NA,"-41.374444","-13.006667","970","970",NA,NA,"SPF00129001","SPF00129001",NA,NA,NA,NA,"2015",NA,"-41.374444","-13.006667",NA,NA,NA
"25","2019-11-13 11:20:50-03","USP","SPF","129326","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","Harley, RM","PCD4839","1997","02","01",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.819722","-13.583333","1000","1000",NA,NA,"SPF00129326","SPF00129326",NA,NA,NA,NA,"2015",NA,"-41.819722","-13.583333",NA,NA,NA
"26","2019-11-13 11:20:50-03","USP","SPF","30809","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","Harley, RM","20934","1980","03","25",NA,"Brasil","Bahia",NA,"Serra do Sincorá, 4 km S of Cascavel, on the Ibicoara road.","-41.383333","-13.216667","1100","1100",NA,NA,"SPF00030809",NA,"isotype",NA,NA,NA,"2015",NA,"-41.383333","-13.216667",NA,NA,NA
"27","2019-11-13 11:20:50-03","USP","SPF","18280","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","Giulietti, AM","CFCR1368","1981","07","19",NA,"Brasil","Bahia","Barra da Estiva",NA,"-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"SPF00018280","SPF00018280","paratype",NA,"61861","auto","2015",NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:20:50-03","USP","SPF","18278","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Medusantha","carvalhoi","Medusantha carvalhoi","(Harley) Harley & J.F.B.Pastore","Silva-Luz, CL","Giulietti, AM","CFCR1366","1981","07","19",NA,"Brasil","Bahia","Barra da Estiva",NA,"-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,"SPF00018278","SPF00018278",NA,NA,"61861","auto","2015",NA,NA,NA,NA,NA,NA
